1396efe0479dc90a0f07fa3aed3d7c54fa0c7fe05fe4d61489d114ccdac7c0dd,876e06bd374b7b1fe702f6860b9a49aa0eee537b534efb5780f3a471c9d8c809,169e2830361e4626c13c3bc41a67e9544596eff669a1b8eb27380b0649ec97d1,496a42d746a770c9d9adb25d393a1d3d44df7d677c07372cb8c91538ae178a49,cd917eb22f7e138625918aed327765a747ed0558d674ff974501b85c9b76149b
"1","2700","1","1","0"
"2","3600","2","1","0"
"3","5400","3","1","0"
"4","3600","1","1","1"
"5","5400","2","1","1"
"6","7200","3","1","1"
"7","1800","1","2","0"
"8","2700","2","2","0"
"9","3600","3","2","0"
"10","2700","1","2","1"
"11","4050","2","2","1"
"12","5400","3","2","1"
"13","1800","1","3","0"
"14","2700","2","3","0"
"15","3600","3","3","0"
"16","2700","1","3","1"
"17","4050","2","3","1"
"18","5400","3","3","1"
"19","1800","1","4","0"
"20","2700","2","4","0"
"21","3600","3","4","0"
"22","2700","1","4","1"
"23","4050","2","4","1"
"24","5400","3","4","1"
