949926e152d24994d160969f48d32893823c138322b247eafc20fed869db8379,ce05b0285231cd8150a5e6ceb1077e5b130012754a1662c8735373d2c138aeb5,a732092f0abb1d8e17bf35dd1f3e41916887c7d8918dba1834ef40faf4655b55,abc22f8e46d02b2277dd0b7d433c46f713174f83400c77f04a5081bd6ae15b12,49f32184416832e623bd832ebb6d99d67b6f4ea377c2b951c8f8ebfd2e751ea3,d05044156934b07ac2e75e09b2717eca3186332ce17e057205abe5af1aa70fbb,591451488f5c0811f086b8bdbf20a6653b73c2844408cdc09d6c427202cea433,4324503583d7d167d8ab8b51c1b128bc8194a1bf35e13856eb955fccfe10c3f7,4a3959e70c1b6d183e24a372d81cef8b13fb7ebf2592f5d21f7eae6ff36cf3db,1e2e89f740eb32e80037e0591de8f8d69ce2ede535cf57e5d3a56f0603ae401e,06531a847bc1f2bde5addcaf3b3f0f162817f1c9604ab18ce865e09e529bba62,c21dd39a5f2f78fbe395b6473602fefd6bf66b21e48454e2201babe39c4986ab,40786399dc152f1fc02573baaaa3a79d1478df43ba180acbef95772b46c1845d,7164f2facac8fbd697a52d99de44e364e5ea5a2d9e30d9e9346bae0acab434c2,e3f4958e58f8beae87f5a4f3a4c49a221181189850d1ee206d6b8b3e5ee67f1a,dbe0c279e852bdbc9c18d1c5bb2c488c34d4bb5d738cd2c815ada15f7ce1b2af
"2","0","0","40","8","1001101","1","22002","0","0","0","0","91002","90006","40","2"
"2","0","0","60","8","1001102","2","22002","0","0","0","0","91002","90006","50","2"
"2","0","0","80","8","1001103","3","22002","0","0","0","0","91002","90006","60","2"
"2","0","0","100","8","1001104","4","22002","0","0","0","0","91002","90006","80","2"
"2","0","0","200","8","1001105","2","22003","0","0","0","0","91002","90006","150","2"
"2","0","0","20","2","1001106","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","20","2","1001107","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","20","2","1001108","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","20","2","1001109","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","20","2","1001110","0","0","0","0","0","0","90006","22003","1","0"
"2","0","0","40","8","1002101","1","22002","0","0","0","0","91002","90006","40","2"
"2","0","0","60","8","1002102","2","22002","0","0","0","0","91002","90006","50","2"
"2","0","0","80","8","1002103","3","22002","0","0","0","0","91002","90006","60","2"
"2","0","0","100","8","1002104","4","22002","0","0","0","0","91002","90006","80","2"
"2","0","0","200","8","1002105","2","22003","0","0","0","0","91002","90006","150","2"
"2","0","0","40","2","1002106","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1002107","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1002108","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1002109","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1002110","0","0","0","0","0","0","90006","22003","1","0"
"2","0","0","40","8","1003101","1","22002","0","0","0","0","91002","90006","40","2"
"2","0","0","60","8","1003102","2","22002","0","0","0","0","91002","90006","50","2"
"2","0","0","80","8","1003103","3","22002","0","0","0","0","91002","90006","60","2"
"2","0","0","100","8","1003104","4","22002","0","0","0","0","91002","90006","80","2"
"2","0","0","200","8","1003105","2","22003","0","0","0","0","91002","90006","150","2"
"2","0","0","40","2","1003106","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1003107","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1003108","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1003109","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1003110","0","0","0","0","0","0","90006","22003","1","0"
"2","0","0","40","8","1004101","1","22002","0","0","0","0","91002","90006","40","2"
"2","0","0","60","8","1004102","2","22002","0","0","0","0","91002","90006","50","2"
"2","0","0","80","8","1004103","3","22002","0","0","0","0","91002","90006","60","2"
"2","0","0","100","8","1004104","4","22002","0","0","0","0","91002","90006","80","2"
"2","0","0","200","8","1004105","2","22003","0","0","0","0","91002","90006","150","2"
"2","0","0","40","2","1004106","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1004107","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1004108","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1004109","0","0","0","0","0","0","90006","22002","1","0"
"2","0","0","40","2","1004110","0","0","0","0","0","0","90006","22003","1","0"
