ef310ae517db09dc631e927f99c53af24878e8b0f93cc23382229a7081de5306,32ef8ea394072ff5db799b403a04ae0763675ac7ca1bb4b4b793af068b738f47,bde2c6eb71473b79ddd71ddfeef82280a069a75ed0acbc59bd045b8ecf226b42,e13e7ec43c089a44b653123b33e68c83df24673d1f56ce80f9ef9efff31844ae,f0dc78e30164690234ca2b2fb90c9ea3ad751a79057ec86263dacd3c77d37bb2,63c0918b28851d0f1945cb59440df52ec171f7f790c2c01f032c18d2751596dd,34034f9276024f37923be78465c4933828ce2ab9cb2f9efa1fa419ce667c2a36,ecf80dbeee7d2baa9bee599d612e65a29db9aaae8620f1aabbbff06f7f49478e,835c12facee587bb0a6ef49818c43618536c1d14409134b093e92510b537a61c,e94839cd4ade68cae66404819e89eee7c447e0e54a4d1e7dc5a9e679a680b551,6c2b7bf9568cd51f1c61457200e6d12abfea5f37dc673a46c1b0e3672de761c8,3c0bc40b35310851fa126d2775ce2dc92bd0c9b12f03ea238afc22370d519e6a,e5b546af0b3f5bb6a3e84afbe9580e9640c857288d6fab1b4d9e2de4852b68c7
"0","1","0","1015901","0","2024/03/01 16:00:00","10130","第1張照片","0","0","10159115","10130011","1"
"91002","2","0","0","20","2024/03/01 16:00:00","10130","第1則訊息","10130011","8","0","10130012","1"
"91002","3","11001276","0","20","2024/03/04 05:00:00","10130","以偉大的冒險者為目標","0","8","0","10130013","8"
"0","1","0","0","0","2024/03/02 05:00:00","10130","第2張照片","10130011","0","0","10130021","2"
"91002","2","0","0","20","2024/03/01 16:00:00","10130","第2則訊息","10130011","8","0","10130022","1"
"0","1","0","0","0","2024/03/02 05:00:00","10130","第3張照片","10130021","0","0","10130031","3"
"91002","2","0","0","20","2024/03/02 05:00:00","10130","第3則訊息","10130021","8","0","10130032","2"
"0","1","0","0","0","2024/03/03 05:00:00","10130","第4張照片","10130031","0","0","10130041","4"
"91002","2","0","0","20","2024/03/02 05:00:00","10130","第4則訊息","10130021","8","0","10130042","2"
"0","1","0","0","0","2024/03/03 05:00:00","10130","第5張照片","10130041","0","0","10130051","5"
"91002","2","0","0","20","2024/03/02 05:00:00","10130","第5則訊息","10130031","8","0","10130052","3"
"0","1","0","0","0","2024/03/04 05:00:00","10130","第6張照片","10130051","0","0","10130061","6"
"91002","2","0","0","20","2024/03/02 05:00:00","10130","第6則訊息","10130031","8","0","10130062","3"
"0","1","0","0","0","2024/03/04 05:00:00","10130","第7張照片","10130061","0","0","10130071","7"
"91002","2","0","0","20","2024/03/03 05:00:00","10130","第7則訊息","10130041","8","0","10130072","4"
"91002","2","0","0","20","2024/03/03 05:00:00","10130","第8則訊息","10130041","8","0","10130082","4"
"91002","2","0","0","20","2024/03/03 05:00:00","10130","第9則訊息","10130051","8","0","10130092","5"
"91002","2","0","0","20","2024/03/03 05:00:00","10130","第10則訊息","10130051","8","0","10130102","5"
"91002","2","0","0","20","2024/03/04 05:00:00","10130","第11則訊息","10130061","8","0","10130112","6"
"91002","2","0","0","20","2024/03/04 05:00:00","10130","第12則訊息","10130061","8","0","10130122","6"
"91002","2","0","0","20","2024/03/04 05:00:00","10130","第13則訊息","10130071","8","0","10130132","7"
"91002","2","0","0","20","2024/03/04 05:00:00","10130","第14則訊息","10130071","8","0","10130142","7"
