46a3ddfb0558ea885e17bc64c72a73d1c9a2be4be44b296c83ec3f90be34d530,9e196386a08b8117f54d5d1facae28ec6fa250f36ebc24ee208267a18457e79c,90835b4ccfb8784e21eb85f2475bfeaaa12c25d4ce1717f71f338521ad1a0636,361f593d8765741d915d24e80fa208345b302eba7d9ed89c8c3836e34dedda64,c1d1450f3bfc659351aebb5d2f4dc4e02e4fd59448fcc8d030b810802e1334b6
"70","0","81000104","1","bgm_M125"
"110","0","81000104","2","bgm_M125"
"130","0","81000104","3","bgm_M125"
"150","0","81000104","4","bgm_M125"
"170","0","81000104","5","bgm_M125"
"190","0","81000104","6","bgm_M125"
"210","0","81000104","7","bgm_M125"
"230","0","81000104","8","bgm_M125"
"250","0","81000104","9","bgm_M125"
"270","0","81000104","10","bgm_M125"
"290","0","81000104","11","bgm_M125"
"310","0","81000104","12","bgm_M125"
"330","0","81000104","13","bgm_M125"
"350","73140350","81000104","14","bgm_M125"
"360","73150360","81000104","15","bgm_M125"
"370","73160370","81000104","16","bgm_M125"
"380","73170380","81000104","17","bgm_M125"
"390","73180390","81000104","18","bgm_M125"
"400","73190400","81000104","19","bgm_M125"
"410","73200410","81000104","20","bgm_M125"
"420","73210420","81000104","21","bgm_M125"
"430","73220430","81000104","22","bgm_M125"
"440","73230440","81000104","23","bgm_M125"
"450","73240450","81000104","24","bgm_M125"
"460","73250460","81000104","25","bgm_M125"
"470","73260470","81000104","26","bgm_M125"
"480","73270480","81000104","27","bgm_M125"
"490","73280490","81000104","28","bgm_M125"
"500","73290500","81000104","29","bgm_M125"
"510","73300510","81000104","30","bgm_M125"
"520","73310520","81000104","31","bgm_M125"
"530","73320530","81000104","32","bgm_M125"
"540","73330540","81000104","33","bgm_M125"
"550","73340550","81000104","34","bgm_M125"
"560","73350560","81000104","35","bgm_M125"
"570","73360570","81000104","36","bgm_M125"
"580","73370580","81000104","37","bgm_M125"
"590","73380590","81000104","38","bgm_M125"
"600","73390600","81000104","39","bgm_M125"
"610","73400610","81000104","40","bgm_M125"
"620","73410620","81000104","41","bgm_M125"
"630","73420630","81000104","42","bgm_M125"
"640","73430640","81000104","43","bgm_M125"
"650","73440650","81000104","44","bgm_M125"
"660","73450660","81000104","45","bgm_M125"
"670","73460670","81000104","46","bgm_M125"
"680","73470680","81000104","47","bgm_M125"
"690","73480690","81000104","48","bgm_M125"
"700","73490700","81000104","49","bgm_M125"
"710","73500710","81000104","50","bgm_M125"
"720","73510720","81000104","51","bgm_M125"
"730","73520730","81000104","52","bgm_M125"
"740","73530740","81000104","53","bgm_M125"
"750","73540750","81000104","54","bgm_M125"
