f50bad20f509276006218a57052e09e109e875720008c55bc94bbc5a1c5966cf,ffa3c6e5205c80de18471fd4f7aee39bb18e7dd6092ae7bca9f6f5c8aafe4997,a2831361709be0411975f9324dd2525d0f96631d5ed5a85d307e1fe46225def2,09ee81175cf391a6f0d2d6ec4e3ca4fcccefff4c449fc7b981d11437ebf587aa
"1","18","4301511","1"
"2","18","4301512","1"
"3","18","4301513","1"
"4","18","4301514","1"
"5","18","4301515","1"
"6","2","26202","1"
"1","18","4302511","2"
"2","18","4302512","2"
"3","18","4302513","2"
"4","18","4302514","2"
"5","18","4302515","2"
"6","2","26202","2"
"1","18","4303511","3"
"2","18","4303512","3"
"3","18","4303513","3"
"4","18","4303514","3"
"5","18","4303515","3"
"6","2","26202","3"
"1","18","4304511","4"
"2","18","4304512","4"
"3","18","4304513","4"
"4","18","4304514","4"
"5","18","4304515","4"
"6","2","26202","4"
"1","18","4305511","5"
"2","18","4305512","5"
"3","18","4305513","5"
"4","18","4305514","5"
"5","18","4305515","5"
"6","2","26202","5"
"1","18","4301516","6"
"2","18","4301517","6"
"3","18","4301518","6"
"4","18","4301519","6"
"5","18","4301520","6"
"6","2","26202","6"
"1","18","4302516","7"
"2","18","4302517","7"
"3","18","4302518","7"
"4","18","4302519","7"
"5","18","4302520","7"
"6","2","26202","7"
"1","18","4303516","8"
"2","18","4303517","8"
"3","18","4303518","8"
"4","18","4303519","8"
"5","18","4303520","8"
"6","2","26202","8"
"1","18","4304516","9"
"2","18","4304517","9"
"3","18","4304518","9"
"4","18","4304519","9"
"5","18","4304520","9"
"6","2","26202","9"
"1","18","4305516","10"
"2","18","4305517","10"
"3","18","4305518","10"
"4","18","4305519","10"
"5","18","4305520","10"
"6","2","26202","10"
