3827bd124b9201cf69f0b0112f02e5ca175f2a66d91f41e2b2ad488b594a4903,eca8b26d9d530982ae64778f2fa59e6e2c8d4d93691abeded859c3909711d501,a09983e8daac299c72f156f2856a69c7d595ec7bad52fe46c76cdb31d77f8140,e0393efe50ecc391cd04bb79f19a069cc257d13085cb1264b529724d68ab5823,6ca69c0f56eb30bdf4ceea7a88dbfc98a49061d5b151c903ec1303b8ce06447c,4acb89b26fd67e9d26f5e5e03bb3ec9fe225355c6cdbecbe8f06b43078b2c788,e86661e85e64c07fba0690edae48a1617358a3f6457898237c983241c1e39a9c,565180cbefb70d18af59bb2b0a0c3e66489e81dc351bf006253a86f19c01d82a,b6314b35c541ee8936bdff89a6d7beb11a2ab13a865b717eca8631586fb91536,5512ac7fbd55b9c1d10ea31b4b1371a14df4fec0037ad813af51c8c65b333b2c,976d423f5e0da3a39427b0950d4e5083db72cf97e92637447bbc6228333fd20a,182bfac7eff207fc639f1037500b81932768e72389bb5defc89220034df553d7,db096c8078468966f7a2fe6c58f29adb0e5f6bb7ff26866431f2f0f298daf411,8957d5e4f1f71945da876b73085b29a1ba706ef2695fa4c327773ca667ff0faf,08067bb7280588d9aa56a24520b963e76179501e8fddcc4c358aea84c9a56315,75ff74686cf88686a62a75a886ff3e1c87833fc0890d0b44ad0d0eb670ef0371,5c99475ab0811f6d333dc6c0b29192777c9f7e699206bbec809ca6526bc4d780,be68dd6ba74fbf5e3eb7b71c788bf6d4a9e2f211ea3e9b457f185f5ee3b6c21b,82f50a1916004715ddae117a6698b60f04d3dbba784996cc5c771659fcb80c82,c318abca90cd2ac6de70059cc43eb7e0ee6da38285fe5018c9e41ecbbd515cd7,a430dada137de021fac3ff0701570ad04339261682bfe43fd63ea32c30ffc809,3d9c663d6bc9cfd787e2975741bf31a90b18ad896c9a43e3a517fe09b40a53af
"0","1","1001","10010101","-480","0.6","1","1","bgm_M64","0.7","10","-30","0.8","0","101001","-30","1","250","1","-120","101001","210"
"0","1","1001","10010102","-260","0.75","1","2","bgm_M64","1","10","0","1.2","0","101001","-30","2","0","1","-120","101001","200"
"0","1","1001","10010103","-40","0.75","1","3","bgm_M64","1","0","-10","1.1","-50","101001","-30","3","100","1","0","101001","200"
"0","1","1001","10010104","240","0.7","1","4","bgm_M64","1","0","0","1","0","101001","-30","4","0","1","-50","101001","200"
"0","1","1001","10010105","480","1.2","1","5","bgm_M55","1","0","0","1.3","0","101011","-30","5","200","1","-40","101011","250"
"0","1","1002","10020101","-480","0.6","1","1","bgm_M64","0.7","10","-30","0.8","0","101021","-30","1","250","1","-155","101001","210"
"0","1","1002","10020102","-265","0.75","1","2","bgm_M64","1","10","0","1.2","0","101021","-30","2","250","1","-120","101001","200"
"-15","1","1002","10020103","-30","0.9","1","3","bgm_M64","1","0","-10","1.4","-30","101021","-30","3","100","1","30","101001","200"
"0","1","1002","10020104","220","1","1","4","bgm_M64","1.25","0","0","1.5","-30","101021","-30","4","100","1","-90","101001","200"
"0","1","1002","10020105","440","1.4","1","5","bgm_M55","1.6","0","0","1.8","0","101031","-30","5","200","1","0","101011","250"
"0","1","1003","10030101","-470","0.6","1","1","bgm_M64","0.7","10","-30","0.8","0","101041","-30","1","250","1","-155","101041","210"
"0","1","1003","10030102","-210","0.75","1","2","bgm_M64","1","10","0","1.2","0","101041","-30","2","250","1","-95","101041","200"
"0","1","1003","10030103","50","0.75","1","3","bgm_M64","1","0","-10","1.1","-50","101041","-30","3","100","1","-120","101041","200"
"0","1","1003","10030104","195","0.8","1","4","bgm_M64","1.2","0","0","1.5","-30","101041","-30","4","100","1","35","101041","200"
