8957d5e4f1f71945da876b73085b29a1ba706ef2695fa4c327773ca667ff0faf,5512ac7fbd55b9c1d10ea31b4b1371a14df4fec0037ad813af51c8c65b333b2c,c318abca90cd2ac6de70059cc43eb7e0ee6da38285fe5018c9e41ecbbd515cd7,82f50a1916004715ddae117a6698b60f04d3dbba784996cc5c771659fcb80c82,5c99475ab0811f6d333dc6c0b29192777c9f7e699206bbec809ca6526bc4d780,75ff74686cf88686a62a75a886ff3e1c87833fc0890d0b44ad0d0eb670ef0371,b6314b35c541ee8936bdff89a6d7beb11a2ab13a865b717eca8631586fb91536,be68dd6ba74fbf5e3eb7b71c788bf6d4a9e2f211ea3e9b457f185f5ee3b6c21b,6ca69c0f56eb30bdf4ceea7a88dbfc98a49061d5b151c903ec1303b8ce06447c,3827bd124b9201cf69f0b0112f02e5ca175f2a66d91f41e2b2ad488b594a4903,db096c8078468966f7a2fe6c58f29adb0e5f6bb7ff26866431f2f0f298daf411,3d9c663d6bc9cfd787e2975741bf31a90b18ad896c9a43e3a517fe09b40a53af,eca8b26d9d530982ae64778f2fa59e6e2c8d4d93691abeded859c3909711d501,08067bb7280588d9aa56a24520b963e76179501e8fddcc4c358aea84c9a56315,e0393efe50ecc391cd04bb79f19a069cc257d13085cb1264b529724d68ab5823,a09983e8daac299c72f156f2856a69c7d595ec7bad52fe46c76cdb31d77f8140,e86661e85e64c07fba0690edae48a1617358a3f6457898237c983241c1e39a9c,182bfac7eff207fc639f1037500b81932768e72389bb5defc89220034df553d7,a430dada137de021fac3ff0701570ad04339261682bfe43fd63ea32c30ffc809,565180cbefb70d18af59bb2b0a0c3e66489e81dc351bf006253a86f19c01d82a,976d423f5e0da3a39427b0950d4e5083db72cf97e92637447bbc6228333fd20a,4acb89b26fd67e9d26f5e5e03bb3ec9fe225355c6cdbecbe8f06b43078b2c788
"0","0.7","-120","1","1","-30","bgm_M64","250","-480","0","0.8","210","1","101001","10010101","1001","1","-30","101001","1","10","0.6"
"0","1","-120","1","2","-30","bgm_M64","0","-260","0","1.2","200","1","101001","10010102","1001","1","0","101001","2","10","0.75"
"-50","1","0","1","3","-30","bgm_M64","100","-40","0","1.1","200","1","101001","10010103","1001","1","-10","101001","3","0","0.75"
"0","1","-50","1","4","-30","bgm_M64","0","240","0","1","200","1","101001","10010104","1001","1","0","101001","4","0","0.7"
"0","1","-40","1","5","-30","bgm_M55","200","480","0","1.3","250","1","101011","10010105","1001","1","0","101011","5","0","1.2"
"0","0.7","-155","1","1","-30","bgm_M64","250","-480","0","0.8","210","1","101021","10020101","1002","1","-30","101001","1","10","0.6"
"0","1","-120","1","2","-30","bgm_M64","250","-265","0","1.2","200","1","101021","10020102","1002","1","0","101001","2","10","0.75"
"-30","1","30","1","3","-30","bgm_M64","100","-30","-15","1.4","200","1","101021","10020103","1002","1","-10","101001","3","0","0.9"
"-30","1.25","-90","1","4","-30","bgm_M64","100","220","0","1.5","200","1","101021","10020104","1002","1","0","101001","4","0","1"
"0","1.6","0","1","5","-30","bgm_M55","200","440","0","1.8","250","1","101031","10020105","1002","1","0","101011","5","0","1.4"
"0","0.7","-155","1","1","-30","bgm_M64","250","-470","0","0.8","210","1","101041","10030101","1003","1","-30","101041","1","10","0.6"
"0","1","-95","1","2","-30","bgm_M64","250","-210","0","1.2","200","1","101041","10030102","1003","1","0","101041","2","10","0.75"
"-50","1","-120","1","3","-30","bgm_M64","100","50","0","1.1","200","1","101041","10030103","1003","1","-10","101041","3","0","0.75"
"-30","1.2","35","1","4","-30","bgm_M64","100","195","0","1.5","200","1","101041","10030104","1003","1","0","101041","4","0","0.8"
