ab5eb488ad7b20ebbbd89d08298b85c2d02ea01754a7f65174316d385754b8e2,ef4c9d2ada42ddf6ec2bf3a106c3b16bccfcf9320f5aae9bab3cf57f819c4623,da0808ba5fedd9bb56aa3432e99eabd24c36f2d9ebca438dc5e7860d36efc2ec
"4","14","1"
"15","20","2"
"21","25","3"
"26","30","4"
"31","35","5"
"36","40","6"
"41","45","7"
"46","50","8"
"51","55","9"
"56","60","10"
"61","65","11"
"66","70","12"
"71","75","13"
"76","80","14"
"81","85","15"
"86","90","16"
"91","95","17"
"96","100","18"
"101","105","19"
"106","110","20"
"111","115","21"
"116","120","22"
"121","125","23"
"126","130","24"
"131","135","25"
"136","140","26"
"141","145","27"
"146","150","28"
"151","155","29"
"156","160","30"
"161","165","31"
"166","170","32"
"171","175","33"
"176","180","34"
"181","185","35"
"186","190","36"
"191","195","37"
"196","200","38"
"201","205","39"
"206","210","40"
"211","215","41"
"216","220","42"
"221","225","43"
"226","230","44"
"231","235","45"
"236","240","46"
"241","245","47"
"246","250","48"
"251","255","49"
"256","260","50"
"261","265","51"
"266","270","52"
"271","275","53"
"276","280","54"
"281","285","55"
"286","290","56"
"291","295","57"
"296","300","58"
"301","305","59"
"306","310","60"
"311","315","61"
"316","320","62"
"321","325","63"
"326","330","64"
"331","335","65"
"336","340","66"
"341","345","67"
"346","346","68"
"347","-1","69"
