1bc9aebdcc404b22128f20259aea989698f1b43f5c1852333c7ee2b06b122180,e4b6704ea08e7ba46ca7c18bcd328a3e0bb559a8f232face96818871aa8edfbc,98cf980e25e98486ff11d2913a6c1ab1e78a014f6e3e68a32c7acbba93cc6f72,44a98d806acec8c5f9e225bff83a3438ac35c6e2647083b329f6c5adec771437,f25b3ab79970505fcfcf6ea3559501ec78373b4b7594ae129c6068a7c6cfb616,d36536930cfcb76679c8b6f1cfca1ac64edd91ca96ef90309d29a19c37ab5c63,3ac68ea3e98f4a19ebf1884d97684e71cf7182d75699128e66c3f4a16e18ba5a,73a6d31f24154712b2ec374b070bdd728cb82cfdcbbf124c714aa4457041bb84,87467fa34955526075970a5dca5149d127bb516b6eccc1269d898b6d835a5bc3,52ef2d2c7576fea400e251200305c31bd1b65f489049c64a16a0f64a313052e9,4f25c19c04c8a4b63ce30c2d4b5001c1acc5c129846a658a7208030ef5df4c5b,214235768835b67f590835a4029fee2f172f722128dbb0f3a937bec4ac6c7e6f,03e228c46d1b487a2e6143ae30c89a5cf6736d892f7a79c13b21155501460e29,5836619721c29884c138befee2fc7f239cc227382611f45ac589b3050bef6f97,4b88a93c1d365b1deb6b5e272c2a3bfdbe0edc4a7848ec7d11d585435dee07f7
"1","-30","1.3","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407110"
"1","-30","1.3","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407120"
"1","-30","1.3","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407130"
"1","-30","1.3","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407140"
"2","20","1.45","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407210"
"2","20","1.45","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407220"
"2","20","1.45","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407230"
"2","20","1.45","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407240"
"3","-30","1.4","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407310"
"3","-30","1.4","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407320"
"3","-30","1.4","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407330"
"3","-30","1.4","-30","bgm_MC170","100198","0","0","bgm_MC170","100198","0","94002","0","0","92407340"
