21e38a7950a8a1eae72b02e868636058f50fff00f2711c15bd0b764d711deeaa,76335a37c9a36a9d2a81708fca26ce59974787a534f88cf240683da41d1fa9a0,631e35e269649bd5a9b1d221c35ca4d9b4c94035f89e78a8bf0dd8587f1eaa6c,db9fab1f14d2920b3ddf882569f444dd4042860bea3a9ed2eac93277040baca0,8db21eb9e013fe4cd95a4422b30fdb8799551e5ff74e84bfb4b373ed0362f1db,6b4a740ce4356fe783b3b1a8d737fb2c14e4180e49eb3a96e847675551083d41,a38b2380086aa833ac972779fa4be41a60e8cb7fd8c37891576107fae574dd4f,46ee90fa070c22ae6e2d6d5f80f46c557e48af3b7f7431d61f4a6de7f499eb00,ad01f6e6d52d7b3f916b594d3d99a548f029d2ea51d84a650be26b1dc3091df0,d3e050bc4ba3df51719981136055d38897926c7be53306c35b795fc172f9d6c7,d126b850cd0e242c3cfd68114a0e9a0bd024da12aaf682d84593b1aa7c12ca88,ca633b05efe3d30d6e6340ac68451e15ce7921d27465127c32d23af38229b6f0,4db4af6e1f4f5720a1db24cc9d16f033fe2cfcc84046191f66a9afa2fbef43f8,22f2515707fb7aa9ab36a858701b55ff4b4b9536d96d4362a9a16d7d9e9237a3,2d80980fec5779acea68bc29dcab45bbc96a40cb66fded8a3824e7f31da7a250,2777c6b2a39eea27fd5c3eca5f378e2b8d5484e5098fde98f35424917bd5053d,cbd0b8d31d02826c20782791dfae45835fe9b917a769ef5b7dfa5ff6fec45fcf,829100072d0295a8164c43abbcaef3f31a09be4053d19878c8a0940eaf3fe271,418d9b528441dd710af4021a28d6e36c7fb97bf35792cb360f060e966a204a74,f758d3facceb605c816030be64b18ca562aae5fdeb0b3f0242dc66d443802354,2ce5cc346ff9aa6e01bb10d6b0b09dd8388cafb09e813b978e12a4fdfb312e47,5d32a44720f4b7dc0f56f75dc9c729b0afc323a97808946ecdf9adc82b6b3efa,e2668de34219bc2d6bc66c9545dc81c3571e42d345715662378ac2c834a6f9ac,2735b9a613f81a1376ff0296d782ba2a1fdf57c9e49e7aee07ad62397d82b1ac,5571411acdd4207df312b4444e2d4289e2f6ba8b4bb980dac16831e6cd4ad0a5,a5926108cac622c192d7eab11a6f1aacdb59b79daf23cfb55d9ea11b7eef3eea,10c331fad66001e90a18252172b9160428ab9cea38c970679321c58c4bc0958a,717228cb95506f8aa007d78cd8bf6473778835d752c69072a0727430484fee8e,5d504b3e9baf5f0be38f30fa26d495b1cbb0b5505274658b35df5551adc9e8d7,61ac974e5d3fbff313e87e4ffa1b6a1a3ec4996b6e0452e1716301e4dade1174,8e59e72612fb0703e8cd664f7e317d1dc84786e3892a5d148dabb76292504c22,ab680a85d4889db85e73f07245d81c7f87d093a032544b91e2b9914288a42e1e,df5bfa44e900023c7ecf5190ae2eb69e19b6e9a56f6cf9c0bdacefe2d09a6ec2,9fb283816b3a77311198ea734bd6e1a77d30bb19cf4fceee5c0488237e1d097a,2e45eeaa604fa6c22e0aa1521034b708e560a7a296bbb7a0c580db65ef40ee4d,cec04e38cfa78e2ce71c30957e8011a04b3ec448323b5b851de17d65c6e9ce53,041133faf84d49f184c72d3036355c5ce4650055b4d26be5565c516866a5daca,133829278a73788921449df70f25984e61544291241f0b2165540e84d4e78e9a,048161c357142a1c4ccb84d1bba3135670d9548115bc854d3bd0b45c581d6149,bbf2c1c04f38f54cff6d5b152b2b100475cbf2c049f69e7c30d0e5ecf8279f19
"1","1","24","0","30","0","0","1","1","1","1","1","1","1","329","1","1","200000006","0","1","1","1","0","0","620010001","1","1","10","4","3","0","1","1","0","1","0","0","200100","1","10"
"2","2","28","0","30","0","0","2","2","2","2","2","2","2","338","2","1","200000006","0","1","2","2","0","0","620010002","2","2","10","9","3","0","2","2","0","2","0","0","200100","1","10"
"3","3","32","0","30","0","0","3","3","3","3","3","3","3","347","3","1","200000006","0","1","3","3","0","0","620010003","3","3","10","5","4","0","3","3","0","3","0","0","200100","1","10"
"4","4","32","0","30","0","0","4","4","4","4","4","4","4","347","4","1","200000006","0","1","4","4","0","0","620010004","4","4","10","5","4","0","4","4","0","4","0","0","200100","1","10"
"5","5","35","0","30","0","0","5","5","5","5","5","5","5","349","5","1","200000006","0","1","5","5","0","0","620010005","5","5","10","5","4","0","5","5","0","5","0","0","200100","1","10"
"6","6","48","0","30","0","0","6","6","6","6","6","6","6","367","6","1","200000006","0","1","6","6","0","0","620010006","6","6","10","7","6","0","6","6","0","6","0","0","200100","1","10"
"7","7","55","0","30","0","0","7","7","7","7","7","7","7","413","7","1","200000006","0","1","7","7","0","0","620010007","7","7","10","8","7","0","7","7","0","7","0","0","200100","1","10"
"8","8","62","0","30","0","0","8","8","8","8","8","8","8","459","8","1","200000006","0","1","8","8","0","0","620010008","8","8","10","9","7","0","8","8","0","8","0","0","200100","1","10"
"9","9","68","0","30","0","0","9","9","9","9","9","9","9","505","9","1","200000006","0","1","9","9","0","0","620010009","9","9","10","9","8","0","9","9","0","9","0","0","200100","1","10"
"10","10","75","0","30","0","0","10","10","10","10","10","10","10","551","10","1","200000006","0","1","10","10","0","0","620010010","10","10","10","10","9","0","10","10","0","10","0","0","200100","1","10"
"11","11","82","0","30","0","0","11","11","11","11","11","11","11","598","11","1","200000006","0","1","11","11","0","0","620010011","11","11","10","11","9","0","11","11","0","11","0","0","200100","1","10"
"12","12","89","0","30","0","0","12","12","12","12","12","12","12","644","12","1","200000006","0","1","12","12","0","0","620010012","12","12","10","12","10","0","12","12","0","12","0","0","200100","1","10"
"13","13","95","0","30","0","0","13","13","13","13","13","13","13","690","13","1","200000006","0","1","13","13","0","0","620010013","13","13","10","12","11","0","13","13","0","13","0","0","200100","1","10"
"14","14","102","0","30","0","0","14","14","14","14","14","14","14","736","14","1","200000006","0","1","14","14","0","0","620010014","14","14","10","13","11","0","14","14","0","14","0","0","200100","1","10"
"15","15","109","0","30","0","0","15","15","15","15","15","15","15","782","15","1","200000006","0","1","15","15","0","0","620010015","15","15","10","14","12","0","15","15","0","15","0","0","200100","1","10"
"16","16","123","0","30","0","0","16","16","16","16","16","16","16","851","16","1","200000006","0","1","16","16","0","0","620010016","16","16","10","15","12","0","16","16","0","16","0","0","200100","1","10"
"17","17","136","0","30","0","0","17","17","17","17","17","17","17","919","17","1","200000006","0","1","17","17","0","0","620010017","17","17","10","15","12","0","17","17","0","17","0","0","200100","1","10"
"18","18","164","0","30","0","0","18","18","18","18","18","18","18","1296","18","1","200000006","0","1","18","18","0","0","620010018","18","18","10","15","13","0","18","18","0","18","0","0","200100","1","10"
"19","19","177","0","30","0","0","19","19","19","19","19","19","19","1482","19","1","200000006","0","1","19","19","0","0","620010019","19","19","10","15","13","0","19","19","0","19","0","0","200100","1","10"
