2d80980fec5779acea68bc29dcab45bbc96a40cb66fded8a3824e7f31da7a250,22f2515707fb7aa9ab36a858701b55ff4b4b9536d96d4362a9a16d7d9e9237a3,2777c6b2a39eea27fd5c3eca5f378e2b8d5484e5098fde98f35424917bd5053d,829100072d0295a8164c43abbcaef3f31a09be4053d19878c8a0940eaf3fe271,db9fab1f14d2920b3ddf882569f444dd4042860bea3a9ed2eac93277040baca0,8e59e72612fb0703e8cd664f7e317d1dc84786e3892a5d148dabb76292504c22,133829278a73788921449df70f25984e61544291241f0b2165540e84d4e78e9a,717228cb95506f8aa007d78cd8bf6473778835d752c69072a0727430484fee8e,d126b850cd0e242c3cfd68114a0e9a0bd024da12aaf682d84593b1aa7c12ca88,f758d3facceb605c816030be64b18ca562aae5fdeb0b3f0242dc66d443802354,418d9b528441dd710af4021a28d6e36c7fb97bf35792cb360f060e966a204a74,a38b2380086aa833ac972779fa4be41a60e8cb7fd8c37891576107fae574dd4f,ca633b05efe3d30d6e6340ac68451e15ce7921d27465127c32d23af38229b6f0,9fb283816b3a77311198ea734bd6e1a77d30bb19cf4fceee5c0488237e1d097a,76335a37c9a36a9d2a81708fca26ce59974787a534f88cf240683da41d1fa9a0,cbd0b8d31d02826c20782791dfae45835fe9b917a769ef5b7dfa5ff6fec45fcf,61ac974e5d3fbff313e87e4ffa1b6a1a3ec4996b6e0452e1716301e4dade1174,d3e050bc4ba3df51719981136055d38897926c7be53306c35b795fc172f9d6c7,5d32a44720f4b7dc0f56f75dc9c729b0afc323a97808946ecdf9adc82b6b3efa,8db21eb9e013fe4cd95a4422b30fdb8799551e5ff74e84bfb4b373ed0362f1db,2e45eeaa604fa6c22e0aa1521034b708e560a7a296bbb7a0c580db65ef40ee4d,46ee90fa070c22ae6e2d6d5f80f46c557e48af3b7f7431d61f4a6de7f499eb00,cec04e38cfa78e2ce71c30957e8011a04b3ec448323b5b851de17d65c6e9ce53,ab680a85d4889db85e73f07245d81c7f87d093a032544b91e2b9914288a42e1e,df5bfa44e900023c7ecf5190ae2eb69e19b6e9a56f6cf9c0bdacefe2d09a6ec2,e2668de34219bc2d6bc66c9545dc81c3571e42d345715662378ac2c834a6f9ac,5571411acdd4207df312b4444e2d4289e2f6ba8b4bb980dac16831e6cd4ad0a5,2735b9a613f81a1376ff0296d782ba2a1fdf57c9e49e7aee07ad62397d82b1ac,a5926108cac622c192d7eab11a6f1aacdb59b79daf23cfb55d9ea11b7eef3eea,6b4a740ce4356fe783b3b1a8d737fb2c14e4180e49eb3a96e847675551083d41,2ce5cc346ff9aa6e01bb10d6b0b09dd8388cafb09e813b978e12a4fdfb312e47,10c331fad66001e90a18252172b9160428ab9cea38c970679321c58c4bc0958a,048161c357142a1c4ccb84d1bba3135670d9548115bc854d3bd0b45c581d6149,041133faf84d49f184c72d3036355c5ce4650055b4d26be5565c516866a5daca,631e35e269649bd5a9b1d221c35ca4d9b4c94035f89e78a8bf0dd8587f1eaa6c,4db4af6e1f4f5720a1db24cc9d16f033fe2cfcc84046191f66a9afa2fbef43f8,21e38a7950a8a1eae72b02e868636058f50fff00f2711c15bd0b764d711deeaa,ad01f6e6d52d7b3f916b594d3d99a548f029d2ea51d84a650be26b1dc3091df0,5d504b3e9baf5f0be38f30fa26d495b1cbb0b5505274658b35df5551adc9e8d7,bbf2c1c04f38f54cff6d5b152b2b100475cbf2c049f69e7c30d0e5ecf8279f19
"329","1","1","200000006","0","0","200100","10","1","1","0","0","1","0","1","1","3","1","1","30","1","1","0","1","1","0","620010001","0","1","0","1","1","1","0","24","1","1","1","4","10"
"338","2","2","200000006","0","0","200100","10","2","1","0","0","2","0","2","1","3","2","2","30","2","2","0","2","2","0","620010002","0","2","0","2","2","1","0","28","2","2","2","9","10"
"347","3","3","200000006","0","0","200100","10","3","1","0","0","3","0","3","1","4","3","3","30","3","3","0","3","3","0","620010003","0","3","0","3","3","1","0","32","3","3","3","5","10"
"347","4","4","200000006","0","0","200100","10","4","1","0","0","4","0","4","1","4","4","4","30","4","4","0","4","4","0","620010004","0","4","0","4","4","1","0","32","4","4","4","5","10"
"349","5","5","200000006","0","0","200100","10","5","1","0","0","5","0","5","1","4","5","5","30","5","5","0","5","5","0","620010005","0","5","0","5","5","1","0","35","5","5","5","5","10"
"367","6","6","200000006","0","0","200100","10","6","1","0","0","6","0","6","1","6","6","6","30","6","6","0","6","6","0","620010006","0","6","0","6","6","1","0","48","6","6","6","7","10"
"413","7","7","200000006","0","0","200100","10","7","1","0","0","7","0","7","1","7","7","7","30","7","7","0","7","7","0","620010007","0","7","0","7","7","1","0","55","7","7","7","8","10"
"459","8","8","200000006","0","0","200100","10","8","1","0","0","8","0","8","1","7","8","8","30","8","8","0","8","8","0","620010008","0","8","0","8","8","1","0","62","8","8","8","9","10"
"505","9","9","200000006","0","0","200100","10","9","1","0","0","9","0","9","1","8","9","9","30","9","9","0","9","9","0","620010009","0","9","0","9","9","1","0","68","9","9","9","9","10"
"551","10","10","200000006","0","0","200100","10","10","1","0","0","10","0","10","1","9","10","10","30","10","10","0","10","10","0","620010010","0","10","0","10","10","1","0","75","10","10","10","10","10"
"598","11","11","200000006","0","0","200100","10","11","1","0","0","11","0","11","1","9","11","11","30","11","11","0","11","11","0","620010011","0","11","0","11","11","1","0","82","11","11","11","11","10"
"644","12","12","200000006","0","0","200100","10","12","1","0","0","12","0","12","1","10","12","12","30","12","12","0","12","12","0","620010012","0","12","0","12","12","1","0","89","12","12","12","12","10"
"690","13","13","200000006","0","0","200100","10","13","1","0","0","13","0","13","1","11","13","13","30","13","13","0","13","13","0","620010013","0","13","0","13","13","1","0","95","13","13","13","12","10"
"736","14","14","200000006","0","0","200100","10","14","1","0","0","14","0","14","1","11","14","14","30","14","14","0","14","14","0","620010014","0","14","0","14","14","1","0","102","14","14","14","13","10"
"782","15","15","200000006","0","0","200100","10","15","1","0","0","15","0","15","1","12","15","15","30","15","15","0","15","15","0","620010015","0","15","0","15","15","1","0","109","15","15","15","14","10"
"851","16","16","200000006","0","0","200100","10","16","1","0","0","16","0","16","1","12","16","16","30","16","16","0","16","16","0","620010016","0","16","0","16","16","1","0","123","16","16","16","15","10"
"919","17","17","200000006","0","0","200100","10","17","1","0","0","17","0","17","1","12","17","17","30","17","17","0","17","17","0","620010017","0","17","0","17","17","1","0","136","17","17","17","15","10"
"1296","18","18","200000006","0","0","200100","10","18","1","0","0","18","0","18","1","13","18","18","30","18","18","0","18","18","0","620010018","0","18","0","18","18","1","0","164","18","18","18","15","10"
"1482","19","19","200000006","0","0","200100","10","19","1","0","0","19","0","19","1","13","19","19","30","19","19","0","19","19","0","620010019","0","19","0","19","19","1","0","177","19","19","19","15","10"
"1563","20","20","200000006","0","0","200100","10","20","1","0","0","20","0","20","1","13","20","20","30","20","20","0","20","20","0","620010020","0","20","0","20","20","1","0","186","20","20","20","16","10"
"1784","21","21","200000006","0","0","200100","10","21","1","0","0","21","0","21","1","15","21","21","30","21","21","0","21","21","0","620010021","0","21","0","21","21","1","0","206","21","21","21","18","10"
"2005","22","22","200000006","0","0","200100","10","22","1","0","0","22","0","22","1","17","22","22","30","22","22","0","22","22","0","620010022","0","22","0","22","22","1","0","225","22","22","22","20","10"
"2225","23","23","200000006","0","0","200100","10","23","1","0","0","23","0","23","1","18","23","23","30","23","23","0","23","23","0","620010023","0","23","0","23","23","1","0","245","23","23","23","21","10"
"2446","24","24","200000006","0","0","200100","10","24","1","0","0","24","0","24","1","20","24","24","30","24","24","0","24","24","0","620010024","0","24","0","24","24","1","0","264","24","24","24","23","10"
"2701","25","25","200000006","0","0","200100","10","25","1","0","0","25","0","25","1","21","25","25","30","25","25","0","25","25","0","620010025","0","25","0","25","25","1","0","267","25","25","25","24","10"
"2956","26","26","200000006","0","0","200100","10","26","1","0","0","26","0","26","1","21","26","26","30","26","26","0","26","26","0","620010026","0","26","0","26","26","1","0","269","26","26","26","24","10"
"3211","27","27","200000006","0","0","200100","10","27","1","0","0","27","0","27","1","21","27","27","30","27","27","0","27","27","0","620010027","0","27","0","27","27","1","0","289","27","27","27","24","10"
"3466","28","28","200000006","0","0","200100","10","28","1","0","0","28","0","28","1","21","28","28","30","28","28","0","28","28","0","620010028","0","28","0","28","28","1","0","309","28","28","28","25","10"
