2eaeefe75bf564085e3a9dcee0a93aed3f6e285d343b5211ccb41bcf18ebad43,73310379b5ba8f6c62f45350779c649c2cf7f61d11e176cb69aab3ee8ccf5604,4f33c91895dfc35e2c6a48de28987d10a69af43db59efb4a0f0bc64518703ff8,b481892aa924404566fcd7da80623daf0183708558a90a2fff68523ea328deb4,89ea19f0205719a95cb20a0ec23af9aeea5ec6d5c64f788f19ad502e90a2840c,5cc7dbca28381ace4ab44135c75ef873fdc73daabfe4e3734d6a66325b1c3653,4f9536d11dc90d590ab3ceed2730d5f8dc3b33305d560d8cb9e6794433839f5c,cab8c4ac4a19180407e968f3f283c6e455d7ebc006fcce331bd6bf4dce2a269d,663f395300c99d0133777b80775c044b86c36847bc2f31114f66ab9db352cd05,daf51a20150e34cebe2dc8cf9394a7bd42f44e97f7e0d5ed0431195bb5a012b5,3ee91d97adc28c35772fd125efc6c71c9e1c5b73a73ceb4a00d1c3b49edea106,c6595d6169c3602fa4bab207899b3d0b83cdb3de2b133f93b9236a7fcdb89ed9,9a80f16ba6545c4f54356e2a2a3653e08bf26603a24b01a29e0ff847d8b57206,3d84c94a6d6c8993c43eed75cf11cee5df077856f740b98f538be98781bab5f0,0b29d20bb77c857149730937b450b94804db65930b9149823e900ef0b0d153ed
"9001","0","660014101","1","20014","99001001","打倒 1 隻惡代官（NORMAL限定）","2019/09/03 16:00:00","2030/04/01 14:59:59","601","99001001","8006","1004110","1","0"
"9001","0","660014201","1","20014","99001002","打倒 1 隻惡代官（HARD限定）","2019/09/03 16:00:00","2030/04/01 14:59:59","601","99001002","8007","1004111","1","0"
"9001","0","660014301","1","20014","99001003","打倒 1 隻惡代官（VERY HARD限定）","2019/09/03 16:00:00","2030/04/01 14:59:59","601","99001003","8010","1004112","1","0"
"9001","0","610041401","1","10041","99001004","打倒 1 隻惡代官（SPECIAL限定）","2019/09/03 16:00:00","2030/04/01 14:59:59","601","99001004","6011","1004113","1","0"
"9001","0","610153101","1","10153","99001005","打倒 1 隻貝特魯吉烏斯（NORMAL限定）","2019/10/01 16:00:00","2030/04/01 14:59:59","601","99001005","6006","1005310","1","0"
"9001","0","610153201","1","10153","99001006","打倒 1 隻貝特魯吉烏斯（HARD限定）","2019/10/01 16:00:00","2030/04/01 14:59:59","601","99001006","6007","1005311","1","0"
"9001","0","610153301","1","10153","99001007","打倒 1 隻貝特魯吉烏斯（VERY HARD限定）","2019/10/01 16:00:00","2030/04/01 14:59:59","601","99001007","6010","1005312","1","0"
"9001","0","610153401","1","10153","99001008","打倒 1 隻貝特魯吉烏斯（SPECIAL限定）","2019/10/01 16:00:00","2030/04/01 14:59:59","601","99001008","6011","1005313","1","0"
"9001","0","660015101","1","20015","99001009","打倒 1 隻雨神大人（NORMAL限定）","2019/11/01 16:00:00","2030/04/01 14:59:59","601","99001009","8006","1004310","1","0"
"9001","0","660015201","1","20015","99001010","打倒 1 隻雨神大人（HARD限定）","2019/11/01 16:00:00","2030/04/01 14:59:59","601","99001010","8007","1004311","1","0"
