6e03fc86b994f536c80179435425de7853863fef573bfbc92e9a3b80a07859d3,aafdcee15756f439cdfba6f0f535a46f90d9ca97f0cdd237876e9e9afec73097,f9f1b0a9487696f241b7501c4efb28bbc8b525574c45b8014bd3f8d5b505a83e,3429343138e96e43709db64d196bd8de506669d514c29c265514f960485779cb,38751100d8dcb031b330ea135728c87746a117f31eae70a5771030a435bcb8e3,6255a6371e38a8836423abf3e2010261f3e3e7b3922498ac0a686c151ffc80a8,c87b7b2dbd79d6f6f110183f2d2fe98882b0d56221d71253eabe3b8c8ea01be8,48e8e30fc8ffcdb87df87c0cb54dd33326357649940dd66b1289bd4c8b816c1f,c05c04b66492ba7a118dcf800548df15f3df0edef16234bbbde951c395c20c30,ce83f3f37631cc2410f1c601838595b114b994c1f876311589e8a70ac1e80cbb,5fbfe02f9ad9cb3e275e3eab66e8e8c0b043bb49afc1e918d45fc663616beba1
"10001","50","empty","2","0","0.65","2","10001001","0","-622","5"
"10001","51","empty","1","0","0.65","1","10001002","0","-622","5"
"10001","1","","2","0","0","1","10001003","1","0","6"
"10001","1","","1","0","0","1","10001004","1","0","6"
"10001","0","","10001","","0","10001","10001005","0","1","31"
"10001","","","0","","","0","10001006","","","91"
"10001","1","","2","0","0.2","1","10001007","1","1","6"
"10001","1","","1","0","0.2","1","10001008","1","1","6"
"10001","-472","","2","0","","0","10001009","0.3","14","2"
"10001","-472","","1","0","","0","10001010","0.3","14","2"
"10001","0","","2","","0","limitedMission_congratulations","10001011","","","3"
"10001","0","","1","","0","limitedMission_congratulations","10001012","","","3"
"10001","","","10001","","","1","10001013","","","32"
"10001","","","3","","","0","10001014","","","93"
"10001","1","","2","0","0.2","1","10001015","1","0","6"
"10001","1","","1","0","0.2","1","10001016","1","0","6"
"10001","","","0.2","","","0","10001017","","","93"
