b4a4c5a3741e024f0654fac8cf0af97abb0278e5e3da0234e1dbe09b6e334584,4af06a28389d943d96ce09c8478522a9ebb617c13f421d4449924b9f167722ca,2d73d0b82d1b17b1ecad12163ee0401e3f6b57be3e5c187dc8989bfb953478c9,64c773a854dff752fb66074bfacd4c3f848a260b971b9df1034869fba5fb06c1,47b11b473d8dcd7419d0bc18e4a33134ab4c987504af7a95e1a259b8f490aa61
"30109001","91002","8","100","1"
"30109001","20002","2","10","2"
"30109002","91002","8","100","3"
"30109002","94002","12","40000","4"
"30109003","91002","8","300","5"
"30109004","91002","8","500","6"
"30109005","91002","8","500","7"
"30109005","94002","12","1000000","8"
"30109006","91002","8","500","9"
"30109006","94002","12","500000","10"
"30110001","91002","8","600","11"
"30110006","94002","12","200000","12"
