930d6e763fd00b01e22ac54379ebb8df77b29dbece5ab07b9f3bd11e85f89184,f0efb0d1bce60829f4906e3576a6d82b53ddf367874fb5f8b0a16d3939687b67,32317e474c6e5c0b99fe12ce2520e93fda18cff1f91e3f3edead76f25f88a331,4c9ea53884f79de53f6f8aea9487e70e23b8e4fb4860110b4e8f6f1d9fd6e0e4,e6c5bceae322a80f3128ad72e530af68c41dedfb7e090cddfb083915cf52122c,22a12d0a151dafdc9bd69b8d3b69a52b4be874538a07b569129a43ebfdfc5c94,e7a0fd34158844a175a6d3b9e595ed0dc76da8bbfbfe12e6ab46f342e3e18ee6,b6c5bdb8fc2e5437409e9337f2d6c1de1b4a42ca198b4cd160689a7ce3b94697,380cfe1db22563b57f006bd72e47670e9dd22052f44cfc3f65574c17f3a00c46,7cc9334043e61446582fb7602766e77b3bffc791d47f6026f29c259bd829d1ec,445188301cbd9ff93d2a36f926be8459d533af4aa9f258e28318ca4c50f280e1
"1","1","1001","1.65","1","118511","-194","72","100","taq_karin_idle","1"
"vo_minigame_1009","","1002","","1","vo_minigame_1009_top_001","","0","0","","21"
"118511","0","1003","0","1","有準備獎品喔，\n請好好加油吧♪\n","0","0","8","0","11"
"118511","","1004","0.2","1","taq_karin_talk_normal","","","1","","3"
"1003","","1005","","1","","","","","","91"
"118511","","1006","0.2","1","taq_karin_idle","","","1","","3"
"1","1","2001","1.65","2","118511","-194","72","100","taq_karin_idle","1"
"vo_minigame_1009","","2002","","2","vo_minigame_1009_top_002","","0","0","","21"
"118511","0","2003","0","2","這會考驗\n大家的知職喔。","0","0","8","0","11"
"118511","","2004","0.2","2","taq_karin_talk_thinking","","","1","","3"
"2003","","2005","","2","","","","","","91"
"118511","","2006","0.2","2","taq_karin_idle","","","1","","3"
"1","1","3001","1.65","3","118511","-194","72","100","taq_karin_idle","1"
"vo_minigame_1009","","3002","","3","vo_minigame_1009_top_003","","0","0","","21"
"118511","0","3003","0","3","這世上還有很多\n我們不知道的事。\n","0","0","8","0","11"
"118511","","3004","0.2","3","taq_karin_talk_surprise","","","1","","3"
"3003","","3005","","3","","","","","","91"
"118511","","3006","0.2","3","taq_karin_idle","","","1","","3"
"1","1","4001","1.65","4","118511","-194","72","100","taq_karin_idle","1"
"vo_minigame_1009","","4002","","4","vo_minigame_1009_top_004","","0","0","","21"
"118511","0","4003","0","4","不曉得答案時\n可以試著憑直覺。\n","0","0","8","0","11"
"118511","","4004","0.2","4","taq_karin_talk_normal2","","","1","","3"
"4003","","4005","","4","","","","","","91"
"118511","","4006","0.2","4","taq_karin_idle","","","1","","3"
"1","1","5001","1.65","5","118511","-194","72","100","taq_karin_idle","1"
"vo_minigame_1009","","5002","","5","vo_minigame_1009_top_005","","0","0","","21"
"118511","0","5003","0","5","大家齊心協力\n朝向全題答對\n努力吧♪","0","0","7","0","11"
"118511","","5004","0.2","5","taq_karin_talk_joy3","","","1","","3"
"5003","","5005","","5","","","","","","91"
"118511","","5006","0.2","5","taq_karin_idle","","","1","","3"
