4bd81f5d05126701dec10121a4a2863726239221c6f068de480af4e616e3508e,9775001e92658ef6bd418de927ead802c8afa979be2c5016cfad297fb6cc2908,2217703618c2718c5711a0b30d8932204f93d01c0caaa203842ee80a40c55c42,63b740461a366cc6d7ea507967469266006e7477180557cbc4a0ad0208ceebb9,bb76ad7e23c57533a65935c8186518cab1ffc1bb409b5809f72a34cb4e7139cb,01beff99c525daa7a3c0a06a54fbae85a200f4f066b4a7a6baad4c2b33073487,1ea8cec5b9a96b65d2145a71cc0c378823abe49d192baf6d1de198800e864d0d,50481bea4ef89ebff59d06cb73427037ca2f86686247610e4e8b5c9a77fb3c5d,b9b275e3b1e43f9f58dbf15aff64b7ef362198379fcb18339a605db24e3fe167,e0d2bb8b92f63b71096ceacdd5db4e43acb4259531ae527f6a979337a0cefd9b,8a4309c0e330993eaf266c69468a23ab944d58e565de052f695f47625565bff9
"10002","0","0","0","50061","10004","10003","0","0","0","10001"
"10002","0","0","0","50067","10005","10003","0","0","0","10001"
"10002","0","0","0","50079","10005","10003","0","0","10006","10001"
"10002","10007","0","0","50084","10005","10003","0","0","10006","10001"
"10002","10007","0","10008","50094","10005","10003","0","0","10006","10001"
"10002","10007","0","10008","50108","10005","10003","10009","0","10006","10001"
"10002","10007","0","10008","50116","10005","10003","10009","0","10006","10001"
"10002","10007","0","10008","50119","10005","10003","10009","10010","10006","10001"
"10002","10007","0","10008","50129","10005","10003","10009","10010","10006","10001"
"10002","10007","10011","10008","50140","10005","10003","10009","10010","10006","10001"
"10003","10008","10012","10009","50151","10006","10005","10010","10011","10007","10002"
"10010","0","0","0","50162","10012","10011","0","0","10013","10009"
"10011","0","0","0","50172","10013","10012","0","0","10014","10010"
"10012","0","0","0","50183","10014","10013","0","0","10015","10011"
"10014","0","0","0","50190","10007","10015","0","0","10005","10013"
"10013","0","0","0","50195","10015","10014","0","0","10016","10012"
"10015","0","0","0","50200","10003","10016","0","0","10002","10014"
"10014","0","0","0","50217","10016","10015","0","0","10017","10013"
"10016","0","0","0","50231","10010","10017","0","0","10009","10015"
"10015","0","0","0","50237","10017","10016","0","0","10018","10014"
"0","0","0","0","50248","0","0","0","0","0","10019"
"0","0","0","0","50261","0","0","0","0","0","10011"
"0","0","0","0","50267","0","0","0","0","0","10020"
"0","0","0","0","50278","0","0","0","0","0","10021"
"0","0","0","0","50291","0","0","0","0","0","10006"
"0","0","0","0","50298","0","0","0","0","0","10022"
"0","0","0","0","50309","0","0","0","0","0","10023"
"0","0","0","0","50321","0","0","0","0","0","10024"
"0","0","0","0","50331","0","0","0","0","0","10025"
