5a90ebdbefee57da9b7256f0e68c978913f15cd80a669073fd8147a466728884,8ffc347667bba3e0c57ed8c2be9cd4d2cfa780dae0d4f59c2232e0968de90e61,7ca35f7c41f9507329665dae4d973bee28c800d462762dfaf34291c5f23101e3,ef1cecf6fc83f35cead96bd77f5c268c6950cf132c73da91eeeec7c61f2330e7,e9060bf540beb9344f9b7872b921006b5ae87a86ee2fa59b39f593e92cae38a8,5030015e6c3dadf62ef1ba516c979a1f8b532620cfee4ca9b919f654aea8ddde,fa713c871363e71fd17b6540fc188b1dff2e713583459dad5d50db6db6d6f4f7,53a268b2a660d933ab4356aba9b69474dda4e4cd9400454ecd303690c3ff9007,eab1321e770d4aff37179b95ccd848c486b3b8d1b5850f0476973a8c25ef1ccf,89c58391b1db40d314f660d9a4dd54287ed9570efd0d0ee6499d18735fa28824,e55a5931afc5bd0749fc5ac95a23365f78874f877fe0a82e8a5dd338d401d77f,4329fe6ee631cf6771c9a69b98f46a2f3e6d8f3addde5733e161fb01b146b505,0b2daee3de462435dc5e360f3015bc573b3911aed1e95582920c5b4858a03dbb,d38f5f6f1e7cdddf71a2d1c7269351adf6a811ae791e43feeb3eb8b8267a38bc,92543a1e93b482ccd46080565ccc43f8cf05d473a4975b7cd91e64d36ed19584,f39ef4204f58c536680436f36724f6b33055484eca3c3602edc164982771fff2,f7d3793dfc612ceaeb78620ea7ae315cc4836961b54c64cd37f84501f4f4d4b5,1751133f1f6008d1a90a9aebc071da158f1ccdf3ed47387776875b531f40ee50,a532446086854bfec4ac5944a92cc0fb207b41852118739d7a75eb6cfd77ce01,42dbeaf7e3f52472149e3941cffcb63a54b26385a8b2c011a1148d27675f43ae,2f34e75de53952e72e20684d6897b6792793e9a38a683ca475d798f9e89dee96
"1","0","0","0","1","5","1","91002","0","90006","31043","2","8","1","2","0","1001","500","0","500","0"
"2","0","0","0","2","8","1","91002","0","90006","31043","2","8","2","2","0","1001","1000","0","1000","0"
"3","0","0","0","3","10","1","91002","0","90006","31043","2","8","3","2","0","1001","1500","0","1500","0"
"4","0","0","0","4","12","1","91002","0","90006","31043","2","8","4","2","0","1001","2000","0","2000","0"
"5","0","0","0","5","14","1","91002","0","90006","31043","2","8","5","2","0","1001","2500","0","2500","0"
"6","0","0","0","6","16","1","91002","0","90006","31043","2","8","6","2","0","1001","3000","0","3000","0"
"7","0","0","0","7","18","1","91002","0","90006","31043","2","8","7","2","0","1001","3500","0","3500","0"
"8","0","0","0","9","20","1","91002","0","90006","31043","2","8","8","2","0","1001","4000","0","4000","0"
"9","0","0","0","-1","25","1","91002","0","90006","31043","2","8","10","2","0","1001","4500","0","4500","0"
"10","0","0","0","1","5","1","91002","0","90006","31022","2","8","1","2","0","1002","500","0","500","0"
"11","0","0","0","2","8","1","91002","0","90006","31022","2","8","2","2","0","1002","1000","0","1000","0"
"12","0","0","0","3","10","1","91002","0","90006","31022","2","8","3","2","0","1002","1500","0","1500","0"
"13","0","0","0","4","12","1","91002","0","90006","31022","2","8","4","2","0","1002","2000","0","2000","0"
"14","0","0","0","5","14","1","91002","0","90006","31022","2","8","5","2","0","1002","2500","0","2500","0"
"15","0","0","0","6","16","1","91002","0","90006","31022","2","8","6","2","0","1002","3000","0","3000","0"
"16","0","0","0","7","18","1","91002","0","90006","31022","2","8","7","2","0","1002","3500","0","3500","0"
"17","0","0","0","8","20","1","91002","0","90006","31022","2","8","8","2","0","1002","4000","0","4000","0"
