4329fe6ee631cf6771c9a69b98f46a2f3e6d8f3addde5733e161fb01b146b505,42dbeaf7e3f52472149e3941cffcb63a54b26385a8b2c011a1148d27675f43ae,0b2daee3de462435dc5e360f3015bc573b3911aed1e95582920c5b4858a03dbb,8ffc347667bba3e0c57ed8c2be9cd4d2cfa780dae0d4f59c2232e0968de90e61,5a90ebdbefee57da9b7256f0e68c978913f15cd80a669073fd8147a466728884,f39ef4204f58c536680436f36724f6b33055484eca3c3602edc164982771fff2,e9060bf540beb9344f9b7872b921006b5ae87a86ee2fa59b39f593e92cae38a8,89c58391b1db40d314f660d9a4dd54287ed9570efd0d0ee6499d18735fa28824,eab1321e770d4aff37179b95ccd848c486b3b8d1b5850f0476973a8c25ef1ccf,a532446086854bfec4ac5944a92cc0fb207b41852118739d7a75eb6cfd77ce01,d38f5f6f1e7cdddf71a2d1c7269351adf6a811ae791e43feeb3eb8b8267a38bc,fa713c871363e71fd17b6540fc188b1dff2e713583459dad5d50db6db6d6f4f7,f7d3793dfc612ceaeb78620ea7ae315cc4836961b54c64cd37f84501f4f4d4b5,e55a5931afc5bd0749fc5ac95a23365f78874f877fe0a82e8a5dd338d401d77f,7ca35f7c41f9507329665dae4d973bee28c800d462762dfaf34291c5f23101e3,2f34e75de53952e72e20684d6897b6792793e9a38a683ca475d798f9e89dee96,53a268b2a660d933ab4356aba9b69474dda4e4cd9400454ecd303690c3ff9007,92543a1e93b482ccd46080565ccc43f8cf05d473a4975b7cd91e64d36ed19584,1751133f1f6008d1a90a9aebc071da158f1ccdf3ed47387776875b531f40ee50,5030015e6c3dadf62ef1ba516c979a1f8b532620cfee4ca9b919f654aea8ddde,ef1cecf6fc83f35cead96bd77f5c268c6950cf132c73da91eeeec7c61f2330e7
"2","500","8","0","1","0","1","90006","0","0","1","1","1001","31043","0","0","91002","2","500","5","0"
"2","1000","8","0","2","0","2","90006","0","0","2","1","1001","31043","0","0","91002","2","1000","8","0"
"2","1500","8","0","3","0","3","90006","0","0","3","1","1001","31043","0","0","91002","2","1500","10","0"
"2","2000","8","0","4","0","4","90006","0","0","4","1","1001","31043","0","0","91002","2","2000","12","0"
"2","2500","8","0","5","0","5","90006","0","0","5","1","1001","31043","0","0","91002","2","2500","14","0"
"2","3000","8","0","6","0","6","90006","0","0","6","1","1001","31043","0","0","91002","2","3000","16","0"
"2","3500","8","0","7","0","7","90006","0","0","7","1","1001","31043","0","0","91002","2","3500","18","0"
"2","4000","8","0","8","0","9","90006","0","0","8","1","1001","31043","0","0","91002","2","4000","20","0"
"2","4500","8","0","9","0","-1","90006","0","0","10","1","1001","31043","0","0","91002","2","4500","25","0"
"2","500","8","0","10","0","1","90006","0","0","1","1","1002","31022","0","0","91002","2","500","5","0"
"2","1000","8","0","11","0","2","90006","0","0","2","1","1002","31022","0","0","91002","2","1000","8","0"
"2","1500","8","0","12","0","3","90006","0","0","3","1","1002","31022","0","0","91002","2","1500","10","0"
"2","2000","8","0","13","0","4","90006","0","0","4","1","1002","31022","0","0","91002","2","2000","12","0"
"2","2500","8","0","14","0","5","90006","0","0","5","1","1002","31022","0","0","91002","2","2500","14","0"
"2","3000","8","0","15","0","6","90006","0","0","6","1","1002","31022","0","0","91002","2","3000","16","0"
"2","3500","8","0","16","0","7","90006","0","0","7","1","1002","31022","0","0","91002","2","3500","18","0"
"2","4000","8","0","17","0","8","90006","0","0","8","1","1002","31022","0","0","91002","2","4000","20","0"
"2","4500","8","0","18","0","9","90006","0","0","9","1","1002","31022","0","0","91002","2","4500","25","0"
"2","5000","8","0","19","0","-1","90006","0","0","10","1","1002","31022","0","0","91002","2","5000","30","0"
"2","500","8","0","20","0","1","90006","0","0","1","1","1003","31042","0","0","91002","2","500","5","0"
"2","1000","8","0","21","0","2","90006","0","0","2","1","1003","31042","0","0","91002","2","1000","8","0"
"2","1500","8","0","22","0","3","90006","0","0","3","1","1003","31042","0","0","91002","2","1500","10","0"
"2","2000","8","0","23","0","4","90006","0","0","4","1","1003","31042","0","0","91002","2","2000","12","0"
"2","2500","8","0","24","0","5","90006","0","0","5","1","1003","31042","0","0","91002","2","2500","14","0"
"2","3000","8","0","25","0","6","90006","0","0","6","1","1003","31042","0","0","91002","2","3000","16","0"
"2","3500","8","0","26","0","7","90006","0","0","7","1","1003","31042","0","0","91002","2","3500","18","0"
"2","4000","8","0","27","0","8","90006","0","0","8","1","1003","31042","0","0","91002","2","4000","20","0"
"2","4500","8","0","28","0","9","90006","0","0","9","1","1003","31042","0","0","91002","2","4500","25","0"
"2","5000","8","0","29","0","-1","90006","0","0","10","1","1003","31042","0","0","91002","2","5000","30","0"
"2","500","8","0","30","0","1","90006","0","0","1","1","1004","31018","0","0","91002","2","500","5","0"
"2","1000","8","0","31","0","2","90006","0","0","2","1","1004","31018","0","0","91002","2","1000","8","0"
"2","1500","8","0","32","0","3","90006","0","0","3","1","1004","31018","0","0","91002","2","1500","10","0"
"2","2000","8","0","33","0","4","90006","0","0","4","1","1004","31018","0","0","91002","2","2000","12","0"
"2","2500","8","0","34","0","5","90006","0","0","5","1","1004","31018","0","0","91002","2","2500","14","0"
"2","3000","8","0","35","0","6","90006","0","0","6","1","1004","31018","0","0","91002","2","3000","16","0"
"2","3500","8","0","36","0","7","90006","0","0","7","1","1004","31018","0","0","91002","2","3500","18","0"
"2","4000","8","0","37","0","8","90006","0","0","8","1","1004","31018","0","0","91002","2","4000","20","0"
"2","4500","8","0","38","0","9","90006","0","0","9","1","1004","31018","0","0","91002","2","4500","25","0"
