ef1cecf6fc83f35cead96bd77f5c268c6950cf132c73da91eeeec7c61f2330e7,5030015e6c3dadf62ef1ba516c979a1f8b532620cfee4ca9b919f654aea8ddde,0b2daee3de462435dc5e360f3015bc573b3911aed1e95582920c5b4858a03dbb,e9060bf540beb9344f9b7872b921006b5ae87a86ee2fa59b39f593e92cae38a8,e55a5931afc5bd0749fc5ac95a23365f78874f877fe0a82e8a5dd338d401d77f,42dbeaf7e3f52472149e3941cffcb63a54b26385a8b2c011a1148d27675f43ae,d38f5f6f1e7cdddf71a2d1c7269351adf6a811ae791e43feeb3eb8b8267a38bc,f7d3793dfc612ceaeb78620ea7ae315cc4836961b54c64cd37f84501f4f4d4b5,fa713c871363e71fd17b6540fc188b1dff2e713583459dad5d50db6db6d6f4f7,2f34e75de53952e72e20684d6897b6792793e9a38a683ca475d798f9e89dee96,92543a1e93b482ccd46080565ccc43f8cf05d473a4975b7cd91e64d36ed19584,4329fe6ee631cf6771c9a69b98f46a2f3e6d8f3addde5733e161fb01b146b505,a532446086854bfec4ac5944a92cc0fb207b41852118739d7a75eb6cfd77ce01,8ffc347667bba3e0c57ed8c2be9cd4d2cfa780dae0d4f59c2232e0968de90e61,53a268b2a660d933ab4356aba9b69474dda4e4cd9400454ecd303690c3ff9007,f39ef4204f58c536680436f36724f6b33055484eca3c3602edc164982771fff2,1751133f1f6008d1a90a9aebc071da158f1ccdf3ed47387776875b531f40ee50,7ca35f7c41f9507329665dae4d973bee28c800d462762dfaf34291c5f23101e3,5a90ebdbefee57da9b7256f0e68c978913f15cd80a669073fd8147a466728884,89c58391b1db40d314f660d9a4dd54287ed9570efd0d0ee6499d18735fa28824,eab1321e770d4aff37179b95ccd848c486b3b8d1b5850f0476973a8c25ef1ccf
"0","5","8","1","31043","500","1","1001","1","0","2","2","0","0","91002","0","500","0","1","90006","0"
"0","8","8","2","31043","1000","2","1001","1","0","2","2","0","0","91002","0","1000","0","2","90006","0"
"0","10","8","3","31043","1500","3","1001","1","0","2","2","0","0","91002","0","1500","0","3","90006","0"
"0","12","8","4","31043","2000","4","1001","1","0","2","2","0","0","91002","0","2000","0","4","90006","0"
"0","14","8","5","31043","2500","5","1001","1","0","2","2","0","0","91002","0","2500","0","5","90006","0"
"0","16","8","6","31043","3000","6","1001","1","0","2","2","0","0","91002","0","3000","0","6","90006","0"
"0","18","8","7","31043","3500","7","1001","1","0","2","2","0","0","91002","0","3500","0","7","90006","0"
"0","20","8","9","31043","4000","8","1001","1","0","2","2","0","0","91002","0","4000","0","8","90006","0"
"0","25","8","-1","31043","4500","10","1001","1","0","2","2","0","0","91002","0","4500","0","9","90006","0"
"0","5","8","1","31022","500","1","1002","1","0","2","2","0","0","91002","0","500","0","10","90006","0"
"0","8","8","2","31022","1000","2","1002","1","0","2","2","0","0","91002","0","1000","0","11","90006","0"
"0","10","8","3","31022","1500","3","1002","1","0","2","2","0","0","91002","0","1500","0","12","90006","0"
"0","12","8","4","31022","2000","4","1002","1","0","2","2","0","0","91002","0","2000","0","13","90006","0"
"0","14","8","5","31022","2500","5","1002","1","0","2","2","0","0","91002","0","2500","0","14","90006","0"
"0","16","8","6","31022","3000","6","1002","1","0","2","2","0","0","91002","0","3000","0","15","90006","0"
"0","18","8","7","31022","3500","7","1002","1","0","2","2","0","0","91002","0","3500","0","16","90006","0"
"0","20","8","8","31022","4000","8","1002","1","0","2","2","0","0","91002","0","4000","0","17","90006","0"
"0","25","8","9","31022","4500","9","1002","1","0","2","2","0","0","91002","0","4500","0","18","90006","0"
"0","30","8","-1","31022","5000","10","1002","1","0","2","2","0","0","91002","0","5000","0","19","90006","0"
"0","5","8","1","31042","500","1","1003","1","0","2","2","0","0","91002","0","500","0","20","90006","0"
"0","8","8","2","31042","1000","2","1003","1","0","2","2","0","0","91002","0","1000","0","21","90006","0"
"0","10","8","3","31042","1500","3","1003","1","0","2","2","0","0","91002","0","1500","0","22","90006","0"
"0","12","8","4","31042","2000","4","1003","1","0","2","2","0","0","91002","0","2000","0","23","90006","0"
"0","14","8","5","31042","2500","5","1003","1","0","2","2","0","0","91002","0","2500","0","24","90006","0"
"0","16","8","6","31042","3000","6","1003","1","0","2","2","0","0","91002","0","3000","0","25","90006","0"
"0","18","8","7","31042","3500","7","1003","1","0","2","2","0","0","91002","0","3500","0","26","90006","0"
"0","20","8","8","31042","4000","8","1003","1","0","2","2","0","0","91002","0","4000","0","27","90006","0"
"0","25","8","9","31042","4500","9","1003","1","0","2","2","0","0","91002","0","4500","0","28","90006","0"
"0","30","8","-1","31042","5000","10","1003","1","0","2","2","0","0","91002","0","5000","0","29","90006","0"
"0","5","8","1","31018","500","1","1004","1","0","2","2","0","0","91002","0","500","0","30","90006","0"
"0","8","8","2","31018","1000","2","1004","1","0","2","2","0","0","91002","0","1000","0","31","90006","0"
"0","10","8","3","31018","1500","3","1004","1","0","2","2","0","0","91002","0","1500","0","32","90006","0"
