5a90ebdbefee57da9b7256f0e68c978913f15cd80a669073fd8147a466728884,e55a5931afc5bd0749fc5ac95a23365f78874f877fe0a82e8a5dd338d401d77f,89c58391b1db40d314f660d9a4dd54287ed9570efd0d0ee6499d18735fa28824,f39ef4204f58c536680436f36724f6b33055484eca3c3602edc164982771fff2,53a268b2a660d933ab4356aba9b69474dda4e4cd9400454ecd303690c3ff9007,8ffc347667bba3e0c57ed8c2be9cd4d2cfa780dae0d4f59c2232e0968de90e61,d38f5f6f1e7cdddf71a2d1c7269351adf6a811ae791e43feeb3eb8b8267a38bc,1751133f1f6008d1a90a9aebc071da158f1ccdf3ed47387776875b531f40ee50,7ca35f7c41f9507329665dae4d973bee28c800d462762dfaf34291c5f23101e3,ef1cecf6fc83f35cead96bd77f5c268c6950cf132c73da91eeeec7c61f2330e7,0b2daee3de462435dc5e360f3015bc573b3911aed1e95582920c5b4858a03dbb,4329fe6ee631cf6771c9a69b98f46a2f3e6d8f3addde5733e161fb01b146b505,eab1321e770d4aff37179b95ccd848c486b3b8d1b5850f0476973a8c25ef1ccf,5030015e6c3dadf62ef1ba516c979a1f8b532620cfee4ca9b919f654aea8ddde,42dbeaf7e3f52472149e3941cffcb63a54b26385a8b2c011a1148d27675f43ae,a532446086854bfec4ac5944a92cc0fb207b41852118739d7a75eb6cfd77ce01,2f34e75de53952e72e20684d6897b6792793e9a38a683ca475d798f9e89dee96,92543a1e93b482ccd46080565ccc43f8cf05d473a4975b7cd91e64d36ed19584,fa713c871363e71fd17b6540fc188b1dff2e713583459dad5d50db6db6d6f4f7,e9060bf540beb9344f9b7872b921006b5ae87a86ee2fa59b39f593e92cae38a8,f7d3793dfc612ceaeb78620ea7ae315cc4836961b54c64cd37f84501f4f4d4b5
"1","31043","90006","0","91002","0","1","500","0","0","8","2","0","5","500","0","0","2","1","1","1001"
"2","31043","90006","0","91002","0","2","1000","0","0","8","2","0","8","1000","0","0","2","1","2","1001"
"3","31043","90006","0","91002","0","3","1500","0","0","8","2","0","10","1500","0","0","2","1","3","1001"
"4","31043","90006","0","91002","0","4","2000","0","0","8","2","0","12","2000","0","0","2","1","4","1001"
"5","31043","90006","0","91002","0","5","2500","0","0","8","2","0","14","2500","0","0","2","1","5","1001"
"6","31043","90006","0","91002","0","6","3000","0","0","8","2","0","16","3000","0","0","2","1","6","1001"
"7","31043","90006","0","91002","0","7","3500","0","0","8","2","0","18","3500","0","0","2","1","7","1001"
"8","31043","90006","0","91002","0","8","4000","0","0","8","2","0","20","4000","0","0","2","1","9","1001"
"9","31043","90006","0","91002","0","10","4500","0","0","8","2","0","25","4500","0","0","2","1","-1","1001"
"10","31022","90006","0","91002","0","1","500","0","0","8","2","0","5","500","0","0","2","1","1","1002"
"11","31022","90006","0","91002","0","2","1000","0","0","8","2","0","8","1000","0","0","2","1","2","1002"
"12","31022","90006","0","91002","0","3","1500","0","0","8","2","0","10","1500","0","0","2","1","3","1002"
"13","31022","90006","0","91002","0","4","2000","0","0","8","2","0","12","2000","0","0","2","1","4","1002"
"14","31022","90006","0","91002","0","5","2500","0","0","8","2","0","14","2500","0","0","2","1","5","1002"
"15","31022","90006","0","91002","0","6","3000","0","0","8","2","0","16","3000","0","0","2","1","6","1002"
"16","31022","90006","0","91002","0","7","3500","0","0","8","2","0","18","3500","0","0","2","1","7","1002"
"17","31022","90006","0","91002","0","8","4000","0","0","8","2","0","20","4000","0","0","2","1","8","1002"
