42dbeaf7e3f52472149e3941cffcb63a54b26385a8b2c011a1148d27675f43ae,92543a1e93b482ccd46080565ccc43f8cf05d473a4975b7cd91e64d36ed19584,0b2daee3de462435dc5e360f3015bc573b3911aed1e95582920c5b4858a03dbb,4329fe6ee631cf6771c9a69b98f46a2f3e6d8f3addde5733e161fb01b146b505,2f34e75de53952e72e20684d6897b6792793e9a38a683ca475d798f9e89dee96,89c58391b1db40d314f660d9a4dd54287ed9570efd0d0ee6499d18735fa28824,ef1cecf6fc83f35cead96bd77f5c268c6950cf132c73da91eeeec7c61f2330e7,5a90ebdbefee57da9b7256f0e68c978913f15cd80a669073fd8147a466728884,d38f5f6f1e7cdddf71a2d1c7269351adf6a811ae791e43feeb3eb8b8267a38bc,7ca35f7c41f9507329665dae4d973bee28c800d462762dfaf34291c5f23101e3,e9060bf540beb9344f9b7872b921006b5ae87a86ee2fa59b39f593e92cae38a8,f7d3793dfc612ceaeb78620ea7ae315cc4836961b54c64cd37f84501f4f4d4b5,e55a5931afc5bd0749fc5ac95a23365f78874f877fe0a82e8a5dd338d401d77f,a532446086854bfec4ac5944a92cc0fb207b41852118739d7a75eb6cfd77ce01,1751133f1f6008d1a90a9aebc071da158f1ccdf3ed47387776875b531f40ee50,eab1321e770d4aff37179b95ccd848c486b3b8d1b5850f0476973a8c25ef1ccf,5030015e6c3dadf62ef1ba516c979a1f8b532620cfee4ca9b919f654aea8ddde,8ffc347667bba3e0c57ed8c2be9cd4d2cfa780dae0d4f59c2232e0968de90e61,53a268b2a660d933ab4356aba9b69474dda4e4cd9400454ecd303690c3ff9007,fa713c871363e71fd17b6540fc188b1dff2e713583459dad5d50db6db6d6f4f7,f39ef4204f58c536680436f36724f6b33055484eca3c3602edc164982771fff2
"500","2","8","2","0","90006","0","1","1","0","1","1001","31043","0","500","0","5","0","91002","1","0"
"1000","2","8","2","0","90006","0","2","2","0","2","1001","31043","0","1000","0","8","0","91002","1","0"
"1500","2","8","2","0","90006","0","3","3","0","3","1001","31043","0","1500","0","10","0","91002","1","0"
"2000","2","8","2","0","90006","0","4","4","0","4","1001","31043","0","2000","0","12","0","91002","1","0"
"2500","2","8","2","0","90006","0","5","5","0","5","1001","31043","0","2500","0","14","0","91002","1","0"
"3000","2","8","2","0","90006","0","6","6","0","6","1001","31043","0","3000","0","16","0","91002","1","0"
"3500","2","8","2","0","90006","0","7","7","0","7","1001","31043","0","3500","0","18","0","91002","1","0"
"4000","2","8","2","0","90006","0","8","8","0","9","1001","31043","0","4000","0","20","0","91002","1","0"
"4500","2","8","2","0","90006","0","9","10","0","-1","1001","31043","0","4500","0","25","0","91002","1","0"
"500","2","8","2","0","90006","0","10","1","0","1","1002","31022","0","500","0","5","0","91002","1","0"
"1000","2","8","2","0","90006","0","11","2","0","2","1002","31022","0","1000","0","8","0","91002","1","0"
"1500","2","8","2","0","90006","0","12","3","0","3","1002","31022","0","1500","0","10","0","91002","1","0"
"2000","2","8","2","0","90006","0","13","4","0","4","1002","31022","0","2000","0","12","0","91002","1","0"
"2500","2","8","2","0","90006","0","14","5","0","5","1002","31022","0","2500","0","14","0","91002","1","0"
"3000","2","8","2","0","90006","0","15","6","0","6","1002","31022","0","3000","0","16","0","91002","1","0"
"3500","2","8","2","0","90006","0","16","7","0","7","1002","31022","0","3500","0","18","0","91002","1","0"
"4000","2","8","2","0","90006","0","17","8","0","8","1002","31022","0","4000","0","20","0","91002","1","0"
"4500","2","8","2","0","90006","0","18","9","0","9","1002","31022","0","4500","0","25","0","91002","1","0"
"5000","2","8","2","0","90006","0","19","10","0","-1","1002","31022","0","5000","0","30","0","91002","1","0"
"500","2","8","2","0","90006","0","20","1","0","1","1003","31042","0","500","0","5","0","91002","1","0"
"1000","2","8","2","0","90006","0","21","2","0","2","1003","31042","0","1000","0","8","0","91002","1","0"
