ee087a1cc5439e62a97921e84957b6269dc021b565b074d1137010d5d0d77506,d4638c59d3d6083440b7af418a2e18b1a5f0c60cef7dd3aa13dc1a10b37132ee,beeb9126e2ee0f773175674aba9a82731bb5ddcaa286e20f13182e698c4274d3,47bc91d1353515c88563cd57d44ea3d66fc50af702739e92d447956389e21697,09a041c89230e438ae9953b2c0a0eb8ab3c1998996018f3245571adc2a129a43,338fecdc4b8e68d89e2431bc6191941c4515696b03456dd5a38aec036f1d9fe1,2a40ce941a7bf52845af125730ab2245172a6c4ddc3b6f1a96a7bc812420a0ec,481478f3e31948d6f2e8f3f25e8af95b13e0e8efcdc651f876bfba66f53e4057,bb95be496a1519bfff22bb5b974d7267cd66b8d118732d1d17e8e3bc7aab7d38,42fe8553844eb60a3c17ff5ae8dcb6aae95a71aabf3679a23491674510beadc9,a296aaef3724785261f39a70505315c28ab4827aef73806f0931b68f94f98aba,63cf5a06dc100f55840cf540b917d736bc8e2e8f39e942eaab55a41fd975d3cb
"2","20000","0","隨機 EXP 藥水BOX","0","2030/08/01 14:59:59","1","0","2015/12/17 15:00:00","0","可獲得隨機的 EXP 藥水。","6"
"1","20001","80","小型 EXP 藥水","0","2030/08/01 14:59:59","999999","60","2015/12/17 15:00:00","0","用來強化角色的 Lv，使用後增加 60 的 EXP。","1"
"2","20002","400","普通 EXP 藥水","0","2030/08/01 14:59:59","999999","300","2015/12/17 15:00:00","0","用來強化角色的 Lv，使用後增加 300 的 EXP。","1"
"3","20003","2000","高劑量 EXP 藥水","0","2030/08/01 14:59:59","999999","1500","2015/12/17 15:00:00","0","用來強化角色的 Lv，使用後增加 1500 的 EXP。","1"
"4","20004","10000","特級 EXP 藥水","0","2030/08/01 14:59:59","999999","7500","2015/12/17 15:00:00","0","用來強化角色的 Lv，使用後增加 7500 的 EXP。","1"
"5","20005","50000","究極EXP藥水","0","2030/08/01 14:59:59","999999","37500","2015/12/17 15:00:00","0","用來強化角色的 Lv，使用後增加 37500 的 EXP。","1"
"1","21001","0","優花梨（聖誕節）專用水晶球 / Lv180","0","2030/08/01 14:59:59","999","1","2021/04/01 16:00:00","0","優花梨（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","21"
"1","21002","0","矛依未（新年）專用水晶球 / Lv180","0","2030/08/01 14:59:59","999","2","2021/05/04 16:00:00","0","矛依未（新年）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","21"
"1","21003","0","優衣（祭服）專用水晶球 / Lv180","0","2030/08/01 14:59:59","999","3","2021/06/02 16:00:00","0","優衣（祭服）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","21"
"1","21004","0","莉瑪（灰姑娘）專用水晶球 / Lv180","0","2030/08/01 14:59:59","999","5","2021/07/05 16:00:00","0","莉瑪（灰姑娘）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","21"
"1","21005","0","珠希（工作服）專用水晶球 / Lv180","0","2030/08/01 14:59:59","999","6","2021/05/31 12:00:00","0","珠希（工作服）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","21"
"1","21006","0","紡希（夏日）專用水晶球 / Lv180","0","2030/08/01 14:59:59","999","7","2021/07/31 12:00:00","0","紡希（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","21"
"1","21007","0","妮諾（萬聖節）專用水晶球 / Lv180","0","2030/08/01 14:59:59","999","8","2021/09/30 12:00:00","0","妮諾（萬聖節）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","21"
"1","21008","0","真陽（聖誕節）專用水晶球 / Lv215","0","2030/08/01 14:59:59","999","9","2022/04/01 16:00:00","0","真陽（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","21"
"1","21009","0","流夏（新年）專用水晶球 / Lv215","0","2030/08/01 14:59:59","999","10","2022/05/02 16:00:00","0","流夏（新年）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","21"
