60e3bc11e0fa161b414b0e92647b90f2486d9117cc5fc142231beeedf4ed8332,eb841865449830eb62eb9220c7f3231b789246a5b11ea044a43f25a24ab96ca7,2ab05544e9c23f52deb23a2a8e1d5ade75f84974b602a5414e8d0458d79b66e4,ffa42021bbfa2b935240018d98bd471c2edee7722667adba279017a385e1aea1,5b61af8f8c9655fa2c37282f38c26da57da56db8a845170e692393aab084321d,26239a340c2b979cf24f95a660d41137be208e379344835b2ac642530ab2ebe7,91e30cb929490e29e884bebada9465b9b8d6d73eeed8fbe4c1776affa788e327,d38f060242c9f531e51e7bfba97ee096d0ae26e67bdb3d8e99ae1c28638e66f1,90f90d4f9faaff78c75a7118ecb4fffb7756eb69635529abecb69ef5b0ba1fe3,48c8aa03b9dd988741fbd47911d50e04150345eb30dee66696829243266d1e8a,1622aa71a6fe5543d1217377b76b2fde7089555d0fa25c515d97b97d7d22a7af,4fbe4ca94e474fc30c7e284f18c9ab0bbe129a92c08d55956c2ecfa143399982,7223ac35b8f69e5dbdfc817cb2016f2ce34df724667c61549eb9496b11210ae5,39c45a2acb3b7502849c6d0552693fc5ce5232656b48b88f38584e8bb1b410c2,9f87500f9349adf2bcd826483fbbe7548b43fba75d29a79bf1cb71a4810a705e,da6ed13f77082e57d7446b121866136a05adf8c7b1f41bf87c31bc8845971250,be097eea70d8e5629e7dbc7b838f40a9afbe7050a2dca876110cc9e4b0c8005a,eecb4440009ff6e2689eeda66dd6b5dc74f9914695a0e86aa37044fc4022f934,9869a193d1b8d2a207edaca413aa2845f8b04365d0f4f98b8e86b1d5d26c4ad8,18e9d1924b5d9c7932138a48474b246bfc9ae12a775cc0080d5a239e0034ad50,89502fc7e6f514f821cccfe3525dba12bfa8764a6ee6f4cb43426aed7c146853,13c12a95e1ad819fb894e0c06dd8415f8c1cf8c0a07c8bf13f1d8dc5822ba3f2
"1","210","10","0","1001","0.7","0","1","bgm_M64","10010101","101001","-30","-120","-480","250","1","0.8","1","-30","101001","0.6","1"
"2","200","10","0","1001","1","0","1","bgm_M64","10010102","101001","0","-120","-260","0","1","1.2","1","-30","101001","0.75","2"
"3","200","0","0","1001","1","-50","1","bgm_M64","10010103","101001","-10","0","-40","100","1","1.1","1","-30","101001","0.75","3"
"4","200","0","0","1001","1","0","1","bgm_M64","10010104","101001","0","-50","240","0","1","1","1","-30","101001","0.7","4"
"5","250","0","0","1001","1","0","1","bgm_M55","10010105","101011","0","-40","480","200","1","1.3","1","-30","101011","1.2","5"
"1","210","10","0","1002","0.7","0","1","bgm_M64","10020101","101001","-30","-155","-480","250","1","0.8","1","-30","101021","0.6","1"
"2","200","10","0","1002","1","0","1","bgm_M64","10020102","101001","0","-120","-265","250","1","1.2","1","-30","101021","0.75","2"
"3","200","0","-15","1002","1","-30","1","bgm_M64","10020103","101001","-10","30","-30","100","1","1.4","1","-30","101021","0.9","3"
"4","200","0","0","1002","1.25","-30","1","bgm_M64","10020104","101001","0","-90","220","100","1","1.5","1","-30","101021","1","4"
"5","250","0","0","1002","1.6","0","1","bgm_M55","10020105","101011","0","0","440","200","1","1.8","1","-30","101031","1.4","5"
"1","210","10","0","1003","0.7","0","1","bgm_M64","10030101","101041","-30","-155","-470","250","1","0.8","1","-30","101041","0.6","1"
"2","200","10","0","1003","1","0","1","bgm_M64","10030102","101041","0","-95","-210","250","1","1.2","1","-30","101041","0.75","2"
"3","200","0","0","1003","1","-50","1","bgm_M64","10030103","101041","-10","-120","50","100","1","1.1","1","-30","101041","0.75","3"
"4","200","0","0","1003","1.2","-30","1","bgm_M64","10030104","101041","0","35","195","100","1","1.5","1","-30","101041","0.8","4"
