329ccf73d3adba4246b8ea2f604c58b1452183e10247587a07c40b6ab49f3c7b,bc1f8850154376c793866f39dc783ad5e01ac8a1124a029eed331d69876dc6c6,0e70e6fe303807dbc1cc8256c63bc569707fd1d85ae204ed8126e385eb918a52,bb87debb40cd375b163666f1556c58d88e96a43b58c077ce423ad0c7a2eac9e4,f5ad5d8694e56387b0bfed3a775d9b8ab528e7051d4c7f0923036cbc17560def,d77f8327e87533c82bb20be88a81f64d252e4c5562092d82d25f565941d0f3bd,860788e0fc8e36915edd7bffd67fd545588dd875d8fabf6b06209e70844dc015,6c893f46f47b45c50fa9ce05aade70dcb0bc0f4c9f87b5caf1bf607912545144,883a6e62eb606ac3bc746634f9789e7533a7f21839d21006f6904b7387b56a4c,acc7ebe5b292388e814d408e96977597e0ed3bf9deaa4609b26f4b3217f1cd35,4d77cf5465ac6ac60dabeea0620f646f3db93f1b03bbccdc181d1e57e5e8e710,758c0c882510fb78c502ee2d5e98b30e70b80861a7b3d7dad8e5f321b0e49e02,8e4da3d4e2bfceda2584dd1beaa5bfb0ca301a533d953c16f3511ee2911a31e5,0f988bc80b1c240b775d003be83cad452293848270e186e4a6fd5afbbc2caddb,15eb114888809a20db81a6c1d60c074fb607b298074e225cb8884bf49e1e0c83,475320f8536d364df13b573c07bb2eb85f3e64449c870f1d376da054a0d3989a
"0","0","bgm_M32","bgm_M32","塔爾格姆地區","10001","1","2018/08/28 16:00:00","0","0","2018/09/17 15:59:59","10001101","201","0","0","0"
"0","0","bgm_M32","bgm_M32","塔爾格姆地區","10001","1","2018/08/28 16:00:00","0","0","2018/09/17 15:59:59","10001201","201","0","0","0"
"0","0","bgm_M98_2","bgm_M98","馬席納地區","10002","1","2018/10/03 16:00:00","0","0","2018/10/24 15:59:59","10002101","201","0","0","0"
"0","0","bgm_M98_2","bgm_M98","馬席納地區","10002","1","2018/10/03 16:00:00","0","0","2018/10/24 15:59:59","10002201","201","0","0","0"
"0","0","bgm_M106","bgm_M106","蘭德索爾郊外","10003","1","2018/11/01 15:59:59","0","0","2018/11/20 15:59:59","10003101","201","0","0","0"
"0","0","bgm_M106","bgm_M106","蘭德索爾郊外","10003","1","2018/11/01 15:59:59","0","0","2018/11/20 15:59:59","10003201","201","0","0","0"
"0","0","bgm_M112","bgm_M112","塔帕斯海灘 周邊","10004","1","2018/12/01 16:00:00","0","0","2018/12/20 15:59:59","10004101","201","0","0","0"
"0","0","bgm_M112","bgm_M112","塔帕斯海灘 周邊","10004","1","2018/12/01 16:00:00","0","0","2018/12/20 15:59:59","10004201","201","0","0","0"
"0","0","bgm_M121","bgm_M121","伊爾席翁的孤島","10005","1","2019/01/03 16:00:00","0","0","2019/01/22 15:59:59","10005101","201","0","0","0"
"0","0","bgm_M121","bgm_M121","伊爾席翁的孤島","10005","1","2019/01/03 16:00:00","0","0","2019/01/22 15:59:59","10005201","201","0","0","0"
"0","0","bgm_M128","bgm_M128","王城蘭德索爾","10006","1","2019/02/01 12:00:00","0","0","2019/02/19 15:59:59","10006101","201","0","0","0"
"0","0","bgm_M128","bgm_M128","王城蘭德索爾","10006","1","2019/02/01 12:00:00","0","0","2019/02/19 15:59:59","10006201","201","0","0","0"
"0","0","bgm_M135","bgm_M135","蘭德索爾郊外","10007","1","2019/03/06 16:00:00","0","0","2019/03/25 15:59:59","10007101","201","0","0","1"
"1","0","bgm_M29","bgm_M29","靈界","10007","1","2019/03/06 16:00:00","0","80","2019/03/25 15:59:59","10007102","201","202","208","2"
"1","1","bgm_M135","bgm_M135","蘭德索爾中央地區","10007","1","2019/03/06 16:00:00","0","0","2019/03/25 15:59:59","10007103","201","202","209","3"
"0","1","bgm_M135","bgm_M135","蘭德索爾郊外","10007","1","2019/03/06 16:00:00","0","0","2019/03/25 15:59:59","10007201","201","0","0","1"
"0","0","bgm_M162","bgm_M162","蘭德索爾近郊","10008","1","2019/04/03 16:00:00","35","0","2019/04/17 15:59:59","10008101","201","0","0","0"
"0","0","bgm_M162","bgm_M162","蘭德索爾近郊","10008","1","2019/04/03 16:00:00","0","0","2019/04/17 15:59:59","10008201","201","0","0","0"
"0","11","bgm_M171","bgm_M171","咲戀育幼院","10009","1","2019/05/02 16:00:00","110","0","2019/05/16 15:59:59","10009101","201","0","0","1"
