2ac0202f9dce44fd7f01577359ece172505ac229127157337bcdec944804769d,5ebc75b29d1aafd6bddc3955e148de2646f7ceaee8da4e0b7fb8e2a0fe764ae0,643e14cc03d7c70f6a510e5fbdbf4f1bcdbd46b7d76ad529d3cbee14e3fb3534,2499d9127297e47e7e88fe2c510d21ff4e4fe3fcae85cef0f4e21eadf5b0912b,4021a9a51eed12aa4fd8eb9187817d658a8762074df06aba2167841dcf6b4f11,7d364a687a4271d731d9479edf7699ab3183862882c9c2b2fadc7078c3a22ab5
"150","150","10","1","1","0"
"400","250","10","1","2","0"
"800","400","10","1","3","0"
"150","150","20","2","1","0"
"400","250","20","2","2","0"
"800","400","20","2","3","0"
"1300","500","20","2","4","1"
"800","800","30","3","1","0"
"1800","1000","30","3","2","0"
"3000","1200","30","3","3","0"
"4400","1400","30","3","4","1"
"6000","1600","30","3","5","2"
"800","800","40","4","1","0"
"1800","1000","40","4","2","0"
"3000","1200","40","4","3","0"
"4400","1400","40","4","4","1"
"6000","1600","40","4","5","2"
"0","0","0","5","0","0"
