463a292ef96dc8251867f4d6492c42bd3b9009781476ec77737f02099cdec298,18a0b54b3d753a1d77f0e56e0b3f1a0dc1ad414038663a69d29960673faf5774,30d6ff83ea5c779f6245da29bc44ccfa12d702b5096b0ce0423b1e70588bb5c5,2d0442a0f846e7ad9279fa63225c9724677221582a293e1238f01b8a40158bbd,50f34be191dfbf53b4bd45981d9bf79ba10bcd3b2b23d2904e5a03065356b9ec
"12","150000","94002","100001011","10000101"
"2","6","22003","100001012","10000101"
"12","500000","94002","100001021","10000102"
"2","6","22003","100001022","10000102"
"12","500000","94002","100001031","10000103"
"4","3","140001","100001032","10000103"
"2","3","25001","100001033","10000103"
"12","500000","94002","100001041","10000104"
"2","6","22003","100001042","10000104"
"12","500000","94002","100001051","10000105"
"4","4","140001","100001052","10000105"
"2","4","25001","100001053","10000105"
"12","500000","94002","100001061","10000106"
"2","6","22003","100001062","10000106"
"12","500000","94002","100001071","10000107"
"4","4","140001","100001072","10000107"
"2","4","25001","100001073","10000107"
"12","500000","94002","100001081","10000108"
"2","6","22003","100001082","10000108"
"12","500000","94002","100001091","10000109"
"4","4","140001","100001092","10000109"
"2","4","25001","100001093","10000109"
"12","120000","94002","100505011","10050501"
"2","3","22003","100505012","10050501"
"12","120000","94002","100505021","10050502"
"2","4","22003","100505022","10050502"
"12","120000","94002","100505031","10050503"
"2","4","22003","100505032","10050503"
"12","120000","94002","100505111","10050511"
"2","3","22003","100505112","10050511"
"12","160000","94002","100505121","10050512"
"2","4","22003","100505122","10050512"
"12","120000","94002","100606011","10060601"
"2","3","22003","100606012","10060601"
"12","120000","94002","100606021","10060602"
"2","4","22003","100606022","10060602"
"12","120000","94002","100606031","10060603"
"2","4","22003","100606032","10060603"
"12","120000","94002","100606111","10060611"
"2","3","22003","100606112","10060611"
"12","160000","94002","100606121","10060612"
"2","4","22003","100606122","10060612"
"12","120000","94002","100707011","10070701"
"2","3","22003","100707012","10070701"
"12","120000","94002","100707021","10070702"
"2","4","22003","100707022","10070702"
"12","120000","94002","100707031","10070703"
"2","4","22003","100707032","10070703"
"12","120000","94002","100707111","10070711"
"2","3","22003","100707112","10070711"
"12","160000","94002","100707121","10070712"
"2","4","22003","100707122","10070712"
"12","120000","94002","100808011","10080801"
"2","3","22003","100808012","10080801"
"12","120000","94002","100808021","10080802"
"2","4","22003","100808022","10080802"
"12","120000","94002","100808031","10080803"
"2","4","22003","100808032","10080803"
"12","120000","94002","100808111","10080811"
"2","3","22003","100808112","10080811"
"12","160000","94002","100808121","10080812"
"2","4","22003","100808122","10080812"
