2e22af11540b14545ce1e6ec87bad18c9c3d1674dba9c9cc42716a9a23d91eb3,b91609602f54dba86e2598f5c2c5569fb1ca44a3e83474821e7ef757c09bee04,67fb39ae756e81f3ff0fc93f4d9b6c7b4621a86f126afb415c723a7fba8819ee
"1","10101","1"
"2","10102","1"
"3","10103","1"
"4","10104","1"
"1","10201","2"
"2","10202","2"
"3","10203","2"
"4","10204","2"
"1","10301","3"
"2","10302","3"
"3","10303","3"
"4","10304","3"
"1","10401","4"
"2","10402","4"
"3","10403","4"
"4","10404","4"
"1","10501","5"
"2","10502","5"
"3","10503","5"
"4","10504","5"
"1","10601","6"
"2","10602","6"
"3","10603","6"
"4","10604","6"
"1","10701","7"
"2","10702","7"
"3","10703","7"
"4","10704","7"
"1","10801","8"
"2","10802","8"
"3","10803","8"
"4","10804","8"
"0","99999","0"
