6b0297d668ec237fa4281e8b137a91c504a799158bec30da0f0b4c12639c940b,fd612b91258f97397361da79de9909544372d8769f18b12d73541f19784663c7,8f81b950becf03aaf693590b369a4d3cf05f7a18fa860d4ad60838c5d0474a73,6ac7c0c9285fa85fa300d55c503c7edeba31baec55ea217cda8a9f5f825765ea,11f1afde6cff8e2795869cc209dbebf057ac367ba20870f5e88db8b72d28283f,950cf54792aa98db9c9b29c1f4893e09d59f04938d01b04d7784c4d5bf7a1ac3,097654b9a2f5e6cc189d0a182dae9405f43748c5a883c67c41c841004bc7efab,5269ad1d1e3ef9cdf8fdb2ed7a3b5d3b4db48db1f15dda7f5514149fef2b66c2,e8cec2e738e68917418069b5d375926bde4c425675c13f31ec854ca1576552eb,5622ba0a686bc8492e7f08afe92b44a469acc4382b5f59fae7d408e75ee670a7,f4f527540ad0b8ac7fc916cbf7db2ba3c823a75affb7790d3c8c90931b7bbb60,c3df8e1eb7ac8dcab2a115e814f256348fa8bf57f8fdf629a260b75e8bc0ec64,c3129666d33d735f31d4c91beb0c7005ef3f0e46e096a4c1e0286737adc02acd,79534c3df13c037662a73ff281ad3f9c5d5603d4041bab9c0c61bd1b34f17862,5a2e9d4c95541595dd964e1f80e0ff526623b9f8fcd8cd36f2f5f7a0f0376884,433076d3bdbba6fbebfed91d9db908b5203c7b8741067ab165e3e8c0ccdfc794
"0","0","0","0","0","0","0","0","80000","2","0","0","26202","0","0","275000001"
"0","0","0","0","0","0","0","0","85000","2","0","0","26202","0","0","275000002"
"0","0","0","0","0","0","0","0","90000","2","0","0","26202","0","0","275000003"
"0","0","0","0","0","0","0","0","95000","2","0","0","26202","0","0","275000004"
"0","0","0","0","0","0","0","0","100000","2","0","0","26202","0","0","275000005"
"0","0","0","0","0","0","0","0","105000","2","0","0","26202","0","0","275000006"
"0","0","0","0","0","0","0","0","110000","2","0","0","26202","0","0","275000007"
"0","0","0","0","0","0","0","0","115000","2","0","0","26202","0","0","275000008"
"0","0","0","0","0","0","0","0","120000","2","0","0","26202","0","0","275000009"
"0","0","0","0","0","0","0","0","125000","2","0","0","26202","0","0","275000010"
"0","0","0","0","0","0","0","0","130000","2","0","0","26202","0","0","275000011"
"0","0","0","0","0","0","0","0","135000","2","0","0","26202","0","0","275000012"
"90013","0","4109501","2","18","0","0","0","50000","2","0","1","26202","0","400","276010001"
"90013","0","0","2","0","0","0","0","50000","2","0","0","26202","0","425","276010002"
"90013","0","0","2","0","0","0","0","50000","2","0","0","26202","0","450","276010003"
"90013","0","0","2","0","0","0","0","100000","2","0","0","26202","0","475","276010004"
"90013","0","26203","2","2","0","0","0","100000","2","0","1","26202","0","500","276010005"
"90013","0","4101501","2","18","0","0","0","50000","2","0","1","26202","0","400","276020001"
"90013","0","0","2","0","0","0","0","50000","2","0","0","26202","0","425","276020002"
"90013","0","0","2","0","0","0","0","50000","2","0","0","26202","0","450","276020003"
"90013","0","0","2","0","0","0","0","100000","2","0","0","26202","0","475","276020004"
"90013","0","26203","2","2","0","0","0","100000","2","0","1","26202","0","500","276020005"
"90013","0","4201501","2","18","0","0","0","50000","2","0","1","26202","0","400","276030001"
"90013","0","0","2","0","0","0","0","50000","2","0","0","26202","0","425","276030002"
"90013","0","0","2","0","0","0","0","50000","2","0","0","26202","0","450","276030003"
"90013","0","0","2","0","0","0","0","100000","2","0","0","26202","0","475","276030004"
"90013","0","26203","2","2","0","0","0","100000","2","0","1","26202","0","500","276030005"
