25d1f4b89ba953cf99126821ce016450859cb7cde41bbaebbe81d4d8518fb7e7,da749b707436f5f90c8f341174e99b6df8430015bec7f19fd837296493da788d,35735a7a7293b69f40a5c4958fa3ec9ce572d6a87048c840f79668d77c4d6537,f751ff0c2d7f3419c65438a40b2a3ce2d0fdc70539fddaf4925595d5c2ef6778,dcf8c48273f2b399fd7e3d915649e8393e78ab45f8b2eee9d9a7e4c0a2862d54
"0","0","0","1","0"
"0","0","0","2","0"
"0","0","0","3","0"
"0","0","2","4","0"
"0","0","2","5","0"
"0","0","2","6","0"
"0","0","3","7","0"
"0","0","3","8","0"
"0","0","3","9","0"
"0","0","4","10","0"
"0","0","4","11","0"
"0","0","4","12","0"
"0","0","0","13","0"
"0","0","0","14","0"
"0","0","0","15","0"
"0","0","0","16","2"
"0","0","0","17","2"
"0","0","0","18","2"
"0","0","0","19","3"
"0","0","0","20","3"
"0","0","0","21","3"
"0","0","3","22","0"
"0","0","3","23","0"
"0","0","2","24","0"
"0","0","2","25","0"
"0","0","0","26","2"
"0","0","0","27","2"
"3","0","2","28","0"
"3","0","2","29","0"
"0","0","3","30","2"
"0","0","3","31","2"
"0","0","3","32","3"
"0","0","0","33","3"
"4","0","3","34","0"
"0","0","0","35","0"
"0","0","2","36","2"
"0","0","2","37","2"
"0","0","4","38","3"
