3e236330ec9bb3139134351dc247d4358874d89dc812e3eac3994ea36393fb72,681a05472fb19b3311a7c4c8f6b4a9942ad04c5a7f8e5249b94c265f0843bf4e,946e59cede6e171eb6f9114763760c36011bb92a63c4a87f40633b1111d76a72,27fbcd48d544c4a16e294f780460b51c0e2ef66de5714a1310a5e04bd876fe72,8fa632a9cd8072c50ee03b0764bb7142e19d313d0cfcbd21519470369b1e9f78,defc272fa963be2eb1bfb0132df3e6aaa6ab8b8dbfd3b342bd4ebddf922fc1ef,760c335153bb76c710847c119c034a1c41094287c2abd2bcc42c43062bd3fdbf,46f7ae3a9a58d50beceecc02ccd1ecce51ee855f14fb2a10d961733daeafa952,ccef9b51c69ba03a7c429a51cd4bf96190953deebbc4cb3325384175daf855d8,2bff4fef308deca7ce70b98bab1aac2b5fc1ccad008af2226bcaf97abd833dd8,8e385d78c2d5e195fedccbfbb901d64196a8b7dc3dc6ac640a5e1f549fb6d258
"1","0","0","mhp_sit_idle","100211","1","1.7","0","100","1002011","1002011001"
"3","","","","mhp_sit_talk_memory","100211","0.2","","1","1002011","1002011002"
"21","0","","","vo_mhp_0401","vo_mhp","","","0","1002011","1002011003"
"11","0","0","0","好久沒見到\n深月小姐了，\n我有點期待♪","100211","0","0","5","1002011","1002011004"
"91","","","","","0","","","","1002011","1002011005"
"3","","","","mhp_sit_idle_memory","100211","0.2","","1","1002011","1002011006"
"1","0","0","mhp_sit_idle","100211","1","1.7","0","100","1002012","1002012001"
"3","","","","mhp_sit_talk_sad","100211","0.2","","1","1002012","1002012002"
"21","0","","","vo_mhp_0402","vo_mhp","","","0","1002012","1002012003"
"11","0","0","0","唉……如果是什麼\n不好的病，\n我該怎麼辦……","100211","0","0","5","1002012","1002012004"
"91","","","","","0","","","","1002012","1002012005"
"3","","","","mhp_sit_idle_sad","100211","0.2","","1","1002012","1002012006"
"1","0","0","mhp_sit_idle","100211","1","1.7","0","100","1002013","1002013001"
"3","","","","mhp_yui_sit_talk_wish","100211","0.2","","1","1002013","1002013002"
"21","0","","","vo_mhp_0403","vo_mhp","","","0","1002013","1002013003"
"11","0","0","0","診察結果終於……\n我、我緊張到\n心跳加快了……！","100211","0","0","4","1002013","1002013004"
"91","","","","","0","","","","1002013","1002013005"
"3","","","","mhp_sit_idle_sad","100211","0.2","","1","1002013","1002013006"
