676fa800971f58dfba63b9a7454adedeba26ab46a2430786dc4d470b0a9f80ef,edc26b7e42c5bf69de45ccae9aee7b3455747f9bb050216b5e7a6792fee53039,2ec7d9c995398654bfe158fd184c6839a6d0d032b9d222234daf8293f0ebcda2,9d63c08a4f2f19f088475a0beb3a44f96dfa4953318ef23c2cfdee52336ab129,b420cf5dc69a6a07e9c47fde263a2f7d179170868c996ca1b4cde71dd6884dca,e0451f0d7c31c83a8d01a0a2134859cc3c75f4b745c444a8800076b13cad5dec,0febc8ef3a4583ea82b61c77dd95ba7efb4ff61c8f208b0a2f19ce45a82e9f94,3d716d270fc22a8c9e0e85d779f0b9b8d65b772be5d65f2e5778c41bf3f956b8,29ba48285d3bd3d4fbda0e802e017f53dc2f4b930f20e7f08f90e0ec1c1fd770,0f8cba49f252044d7b430b66fe52c0e7d5b638434cd391674c639c19d2ed0ec9,f4ea0df1d60d2bec1ebfc92615accb6bb70e5b947a5360536d21a0e5f1e0592c,6b94156eaa6504ccbfdaf4b5f377b89a230c44316b46ee04d1153014df705c3a,533be05d9666e942cb00f2f5fd43239d0072e355f8c0e492d621d9b46760ba99
"1","0","2025/03/01 16:00:00","2.1","任務嗎……\n剛剛好，\n我們就來賭一下\n能解決到哪裡吧。","2","130011","100","2030/01/01 14:59:59","倭","3001100","3001","-416.5"
"4","0","2025/03/01 16:00:00","5.68","雖然乖乖照別人指示\n去執行任務這種事，\n不合我的個性就是了……\n不過，就去收下報酬吧。","2","130011","101","2030/01/01 14:59:59","倭","3001101","3001","-416.5"
"1","0","2025/03/01 16:00:00","0","什麼事？\n要做的話就快點做完吧。\n布武機在抱怨說\n快點把要做的事情做完了喔。","1","130011","102","2030/01/01 14:59:59","倭","3001102","3001","-416.5"
"1","0","2025/03/01 16:00:00","0","咦～？你有事情要拜託我～？\n要怎麼辦才好呢～\n如果你能好好拜託我的話，\n我可以考慮幫你看看喔～？","1","130211","100","2030/01/01 14:59:59","布武機","3002100","3002","-416.5"
"1","0","2025/03/01 16:00:00","0","好啦好啦，\n你想要這個對吧～？\n真拿你沒辦法呢～\n雜碎哥～哥♡","1","130211","101","2030/01/01 14:59:59","布武機","3002101","3002","-416.5"
"5","0","2025/03/01 16:00:00","8.53","嘿～你想要嗎～？\n想要我重‧要‧的‧東‧西，\n啊哈哈！你在想什麼啊？\n你真是變態又可疑呢～ｗ","2","130211","102","2030/01/01 14:59:59","布武機","3002102","3002","-416.5"
"7","0","2025/03/01 16:00:00","5.67","什麼什麼～？\n難道說你又打算來求我了嗎？\n你雖然是那麼說，\n但是會不會其實只是想來見我吧～？","1","130211","103","2030/01/01 14:59:59","布武機","3002103","3002","-416.5"
"1","0","2025/03/01 16:00:00","0","雜碎哥哥\n你拜託人的方式只有一種嗎～？\n你不再拼命一點的話，\n是打動不了我的心的喔～","1","130211","104","2030/01/01 14:59:59","布武機","3002104","3002","-416.5"
"3","0","2025/03/01 16:00:00","0","我說啊～雜碎哥哥，\n你是不是有點～得意忘形了啊？\n你是不是把我當成\n什麼都會給你的好哄的人了啊？","3","130211","300","2030/01/01 14:59:59","布武機","3002300","3004","-416.5"
"7","0","2025/03/01 16:00:00","0","很遺憾～♪\n我已經不會給很煩人的哥哥任～何東西了～♡\n你真是丟臉呢～♪\n掰掰～♡","7","130211","301","2030/01/01 14:59:59","布武機","3002400","3005","-416.5"
"2","0","2025/03/01 16:00:00","4.4","呀哈哈，真的很拼命～♡\n哈～真有趣。\n因為讓我笑了所以可以喔～\n拿去吧，這是賞你的～♪","1","130211","200","2030/01/01 14:59:59","布武機","3003200","3003","-416.5"
"7","0","2025/03/01 16:00:00","0","哈～真拿你沒辦法呢～♡\n雜碎哥哥\n你真的有夠弱的，\n真丟臉呢～ｗ","7","130211","201","2030/01/01 14:59:59","布武機","3003201","3003","-416.5"
"1","0","2025/03/01 16:00:00","5.6","哥哥你沒有我在的話，\n真的非常雜碎呢～\n你要再多感謝我一點啊～♪","2","130211","202","2030/01/01 14:59:59","布武機","3003202","3003","-416.5"
