2ec7d9c995398654bfe158fd184c6839a6d0d032b9d222234daf8293f0ebcda2,edc26b7e42c5bf69de45ccae9aee7b3455747f9bb050216b5e7a6792fee53039,3d716d270fc22a8c9e0e85d779f0b9b8d65b772be5d65f2e5778c41bf3f956b8,533be05d9666e942cb00f2f5fd43239d0072e355f8c0e492d621d9b46760ba99,0f8cba49f252044d7b430b66fe52c0e7d5b638434cd391674c639c19d2ed0ec9,9d63c08a4f2f19f088475a0beb3a44f96dfa4953318ef23c2cfdee52336ab129,29ba48285d3bd3d4fbda0e802e017f53dc2f4b930f20e7f08f90e0ec1c1fd770,0febc8ef3a4583ea82b61c77dd95ba7efb4ff61c8f208b0a2f19ce45a82e9f94,b420cf5dc69a6a07e9c47fde263a2f7d179170868c996ca1b4cde71dd6884dca,6b94156eaa6504ccbfdaf4b5f377b89a230c44316b46ee04d1153014df705c3a,676fa800971f58dfba63b9a7454adedeba26ab46a2430786dc4d470b0a9f80ef,f4ea0df1d60d2bec1ebfc92615accb6bb70e5b947a5360536d21a0e5f1e0592c,e0451f0d7c31c83a8d01a0a2134859cc3c75f4b745c444a8800076b13cad5dec
"2025/03/01 16:00:00","0","100","-416.5","倭","2.1","2030/01/01 14:59:59","130011","任務嗎……\n剛剛好，\n我們就來賭一下\n能解決到哪裡吧。","3001","1","3001100","2"
"2025/03/01 16:00:00","0","101","-416.5","倭","5.68","2030/01/01 14:59:59","130011","雖然乖乖照別人指示\n去執行任務這種事，\n不合我的個性就是了……\n不過，就去收下報酬吧。","3001","4","3001101","2"
"2025/03/01 16:00:00","0","102","-416.5","倭","0","2030/01/01 14:59:59","130011","什麼事？\n要做的話就快點做完吧。\n布武機在抱怨說\n快點把要做的事情做完了喔。","3001","1","3001102","1"
"2025/03/01 16:00:00","0","100","-416.5","布武機","0","2030/01/01 14:59:59","130211","咦～？你有事情要拜託我～？\n要怎麼辦才好呢～\n如果你能好好拜託我的話，\n我可以考慮幫你看看喔～？","3002","1","3002100","1"
"2025/03/01 16:00:00","0","101","-416.5","布武機","0","2030/01/01 14:59:59","130211","好啦好啦，\n你想要這個對吧～？\n真拿你沒辦法呢～\n雜碎哥～哥♡","3002","1","3002101","1"
"2025/03/01 16:00:00","0","102","-416.5","布武機","8.53","2030/01/01 14:59:59","130211","嘿～你想要嗎～？\n想要我重‧要‧的‧東‧西，\n啊哈哈！你在想什麼啊？\n你真是變態又可疑呢～ｗ","3002","5","3002102","2"
"2025/03/01 16:00:00","0","103","-416.5","布武機","5.67","2030/01/01 14:59:59","130211","什麼什麼～？\n難道說你又打算來求我了嗎？\n你雖然是那麼說，\n但是會不會其實只是想來見我吧～？","3002","7","3002103","1"
"2025/03/01 16:00:00","0","104","-416.5","布武機","0","2030/01/01 14:59:59","130211","雜碎哥哥\n你拜託人的方式只有一種嗎～？\n你不再拼命一點的話，\n是打動不了我的心的喔～","3002","1","3002104","1"
"2025/03/01 16:00:00","0","300","-416.5","布武機","0","2030/01/01 14:59:59","130211","我說啊～雜碎哥哥，\n你是不是有點～得意忘形了啊？\n你是不是把我當成\n什麼都會給你的好哄的人了啊？","3004","3","3002300","3"
"2025/03/01 16:00:00","0","301","-416.5","布武機","0","2030/01/01 14:59:59","130211","很遺憾～♪\n我已經不會給很煩人的哥哥任～何東西了～♡\n你真是丟臉呢～♪\n掰掰～♡","3005","7","3002400","7"
"2025/03/01 16:00:00","0","200","-416.5","布武機","4.4","2030/01/01 14:59:59","130211","呀哈哈，真的很拼命～♡\n哈～真有趣。\n因為讓我笑了所以可以喔～\n拿去吧，這是賞你的～♪","3003","2","3003200","1"
"2025/03/01 16:00:00","0","201","-416.5","布武機","0","2030/01/01 14:59:59","130211","哈～真拿你沒辦法呢～♡\n雜碎哥哥\n你真的有夠弱的，\n真丟臉呢～ｗ","3003","7","3003201","7"
"2025/03/01 16:00:00","0","202","-416.5","布武機","5.6","2030/01/01 14:59:59","130211","哥哥你沒有我在的話，\n真的非常雜碎呢～\n你要再多感謝我一點啊～♪","3003","1","3003202","2"
