edc26b7e42c5bf69de45ccae9aee7b3455747f9bb050216b5e7a6792fee53039,676fa800971f58dfba63b9a7454adedeba26ab46a2430786dc4d470b0a9f80ef,e0451f0d7c31c83a8d01a0a2134859cc3c75f4b745c444a8800076b13cad5dec,2ec7d9c995398654bfe158fd184c6839a6d0d032b9d222234daf8293f0ebcda2,0febc8ef3a4583ea82b61c77dd95ba7efb4ff61c8f208b0a2f19ce45a82e9f94,29ba48285d3bd3d4fbda0e802e017f53dc2f4b930f20e7f08f90e0ec1c1fd770,9d63c08a4f2f19f088475a0beb3a44f96dfa4953318ef23c2cfdee52336ab129,533be05d9666e942cb00f2f5fd43239d0072e355f8c0e492d621d9b46760ba99,b420cf5dc69a6a07e9c47fde263a2f7d179170868c996ca1b4cde71dd6884dca,0f8cba49f252044d7b430b66fe52c0e7d5b638434cd391674c639c19d2ed0ec9,3d716d270fc22a8c9e0e85d779f0b9b8d65b772be5d65f2e5778c41bf3f956b8,f4ea0df1d60d2bec1ebfc92615accb6bb70e5b947a5360536d21a0e5f1e0592c,6b94156eaa6504ccbfdaf4b5f377b89a230c44316b46ee04d1153014df705c3a
"0","1","2","2025/03/01 16:00:00","130011","2030/01/01 14:59:59","2.1","-416.5","任務嗎……\n剛剛好，\n我們就來賭一下\n能解決到哪裡吧。","倭","100","3001100","3001"
"0","4","2","2025/03/01 16:00:00","130011","2030/01/01 14:59:59","5.68","-416.5","雖然乖乖照別人指示\n去執行任務這種事，\n不合我的個性就是了……\n不過，就去收下報酬吧。","倭","101","3001101","3001"
"0","1","1","2025/03/01 16:00:00","130011","2030/01/01 14:59:59","0","-416.5","什麼事？\n要做的話就快點做完吧。\n布武機在抱怨說\n快點把要做的事情做完了喔。","倭","102","3001102","3001"
"0","1","1","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","0","-416.5","咦～？你有事情要拜託我～？\n要怎麼辦才好呢～\n如果你能好好拜託我的話，\n我可以考慮幫你看看喔～？","布武機","100","3002100","3002"
"0","1","1","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","0","-416.5","好啦好啦，\n你想要這個對吧～？\n真拿你沒辦法呢～\n雜碎哥～哥♡","布武機","101","3002101","3002"
"0","5","2","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","8.53","-416.5","嘿～你想要嗎～？\n想要我重‧要‧的‧東‧西，\n啊哈哈！你在想什麼啊？\n你真是變態又可疑呢～ｗ","布武機","102","3002102","3002"
"0","7","1","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","5.67","-416.5","什麼什麼～？\n難道說你又打算來求我了嗎？\n你雖然是那麼說，\n但是會不會其實只是想來見我吧～？","布武機","103","3002103","3002"
"0","1","1","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","0","-416.5","雜碎哥哥\n你拜託人的方式只有一種嗎～？\n你不再拼命一點的話，\n是打動不了我的心的喔～","布武機","104","3002104","3002"
"0","3","3","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","0","-416.5","我說啊～雜碎哥哥，\n你是不是有點～得意忘形了啊？\n你是不是把我當成\n什麼都會給你的好哄的人了啊？","布武機","300","3002300","3004"
"0","7","7","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","0","-416.5","很遺憾～♪\n我已經不會給很煩人的哥哥任～何東西了～♡\n你真是丟臉呢～♪\n掰掰～♡","布武機","301","3002400","3005"
"0","2","1","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","4.4","-416.5","呀哈哈，真的很拼命～♡\n哈～真有趣。\n因為讓我笑了所以可以喔～\n拿去吧，這是賞你的～♪","布武機","200","3003200","3003"
"0","7","7","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","0","-416.5","哈～真拿你沒辦法呢～♡\n雜碎哥哥\n你真的有夠弱的，\n真丟臉呢～ｗ","布武機","201","3003201","3003"
"0","1","2","2025/03/01 16:00:00","130211","2030/01/01 14:59:59","5.6","-416.5","哥哥你沒有我在的話，\n真的非常雜碎呢～\n你要再多感謝我一點啊～♪","布武機","202","3003202","3003"
