2356e127d5d2725b5b8ed290e60380c27f39da2a4a31a840efceb8c2bc491cda,f2282b687bf4b07fef0511fbd09e758421b4ac672affd3d4a8696ccf2106d226,80a5ca6e9137b079457a57bb8a31763a2b0dc89297b5071c89261e99b835a15f,3da6ca8d1ecc7c0fbe2951a9540762675b0e0da7984efc7645df0363ca556cf0,2af6f8b35512815c598ab13562a7e97fa9ae04874e51bbc0e0c34073e6e6d21b,c5dbde305dfce1384b8e639c509883b82125ceb3751d27ae024e8bed3306c03a,0765d49aa4a11b547fdef3e958538525fb0ee7a77df2076bc5ff045f3c0daa8b,aa8c016db18130a056b421242998a2f9eedf1a223dfba5a95b0e9025fbf48174,f05202e68ba8eaeddb4224adc81a549bf9a3c9f1288a1786be81e2c8938a4e66,4acd72565759017f7efa241ef5d1f5ada4a16357efde73d021d392decdc71d6f,5a7c5688c62c98658ec1ee2892cea76bb4bd50b29234418a5e1f1a6145fcc1dc,c4ab612bdfee9179862b963ce8c23632b8df85b39eee45b49c50a8884e979f39
"0","4","1","0","0","1","12","3","0","1120001","0","0"
"0","2","0","vo_nyx","0","2","12","0","vo_nyx_0101","1120002","0","0"
"1","1","0","0","2.698","3","12","0","0","1120003","278","0"
"0","4","3.334","0","0","4","12","1","0","1120004","0","0"
"0","2","0","vo_nyx","0","5","12","0","vo_nyx_0102","1120005","0","0"
"1","1","0","0","1.055","6","12","0","0","1120006","382","278"
"0","4","1.055","0","0","7","12","1","0","1120007","0","0"
"2","1","0","0","0.732","8","12","0","0","1120008","78","0"
"0","4","1.05","0","0","9","12","1","0","1120009","0","0"
"2","1","0","0","2.42","10","12","0","0","1120010","365","78"
"0","4","3.5","0","0","11","12","1","0","1120011","0","0"
"0","4","2","0","0","12","12","3","0","1120012","0","0"
"0","2","0","vo_nyx","0","13","12","0","vo_nyx_0103","1120013","0","0"
"3","1","0","0","0.815","14","12","0","0","1120014","79","0"
"0","4","1.157","0","0","15","12","1","0","1120015","0","0"
"3","1","0","0","2.763","16","12","0","0","1120016","372","79"
"0","4","2.763","0","0","17","12","1","0","1120017","0","0"
"4","1","0","0","2.388","18","12","0","0","1120018","250","0"
"0","4","3.338","0","0","19","12","1","0","1120019","0","0"
"0","2","0","vo_nyx","0","20","12","0","vo_nyx_0104","1120020","0","0"
"5","1","0","0","0.778","21","12","0","0","1120021","108","0"
"0","4","1.214","0","0","22","12","1","0","1120022","0","0"
"5","1","0","0","3.167","23","12","0","0","1120023","375","108"
"0","4","3.61","0","0","24","12","1","0","1120024","0","0"
"6","1","0","0","2.618","25","12","0","0","1120025","279","0"
"0","4","3.198","0","0","26","12","1","0","1120026","0","0"
"0","2","0","vo_nyx","0","27","12","0","vo_nyx_0105","1120027","0","0"
"6","1","0","0","1.4","28","12","0","0","1120028","392","279"
"0","4","1.448","0","0","29","12","1","0","1120029","0","0"
"7","1","0","0","2.927","30","12","0","0","1120030","309","0"
"0","4","3.811","0","0","31","12","1","0","1120031","0","0"
"0","4","3","0","0","32","12","3","0","1120032","0","0"
