5a6439c8882391d6ac95ce5d7ade4ce5b496a1b0260a510a729512cbe270fd93,719ccd4292875e1adf3b6e4c4604d40cac05eed6f6a6608fc9f5d83669e695ca,4514544abbab51716f0f812fedffd12587fc9c45a441b38a58d8aeeef0db9f6a,deddce9cd8df0c791a0d0391c3eb76c7814e479638e21a49eae5e35928ee28c0
"2","1061002","1061101","1061001"
"2","1061003","1061102","1061001"
"2","1061012","1061111","1061001"
"2","1067001","1067101","1067001"
"2","1068001","1068103","1068001"
"2","1068002","1068101","1068001"
"2","1068003","1068102","1068001"
"2","1068012","1068111","1068001"
"2","1069001","1069101","1069001"
"2","1144003","1144101","1144003"
"2","1144013","1144111","1144003"
"1","1158001","1158100","1158001"
"2","1158002","1158101","1158001"
"2","1158003","1158102","1158001"
"2","1158012","1158111","1158001"
"2","1158203","1158102","1158001"
"2","1164001","1164101","1164001"
"2","1182001","1182101","1182001"
"2","1185001","1185101","1185001"
"2","1186001","1186101","1186001"
"2","1208002","1208101","1208001"
"2","1208012","1208111","1208001"
"2","1220001","1220101","1220001"
"2","1223002","1223101","1223001"
"2","1223003","1223102","1223001"
"1","1223011","1223110","1223001"
"2","1223012","1223111","1223001"
"2","1227001","1227101","1227001"
"2","1230001","1230101","1230001"
"2","1250002","1250101","1250001"
"2","1250003","1250102","1250001"
"2","1250012","1250111","1250001"
"2","1258001","1258101","1258001"
"2","1260001","1260101","1260001"
"2","1261001","1261101","1261001"
"2","1262001","1262101","1262001"
"2","1264001","1264103","1264001"
"2","1264002","1264101","1264001"
"2","1264003","1264102","1264001"
"2","1265001","1265101","1265001"
"2","1290001","1290101","1290001"
"2","1293001","1293101","1293001"
"2","1294001","1294101","1294001"
"2","1295001","1295101","1295001"
"2","1296001","1296101","1296001"
"2","1297001","1297101","1297001"
"2","1300001","1300101","1300001"
"2","1301001","1301101","1301001"
"2","1312001","1312101","1312001"
"2","1318001","1318101","1318001"
"2","1320001","1320101","1320001"
"1","1321001","1321100","1321001"
"2","1321002","1321101","1321001"
"2","1321003","1321102","1321001"
"2","1321012","1321111","1321001"
"2","1324003","1324101","1324003"
"2","1329001","1329101","1329001"
"2","1331001","1331101","1331001"
"2","1338001","1338101","1338003"
"2","1338002","1338102","1338003"
"2","1345001","1345101","1345001"
"2","1349001","1349101","1349001"
"2","1350001","1350101","1350001"
"2","1350002","1350102","1350001"
"2","1351001","1351101","1351001"
"2","1352001","1352101","1352001"
"2","1356001","1356101","1356001"
"2","1359001","1359101","1359001"
"2","1360001","1360101","1360001"
"2","1361001","1361101","1361001"
"2","1364001","1364101","1364002"
"2","1365001","1365101","1365001"
"2","1374002","1374101","1374002"
"2","1374003","1374102","1374003"
"2","1812001","1812101","1812001"
"2","4319012","4319101","4319012"
