fee49caa095409a1cd1f4906ef5cec625b32e6f833fdaa84e5b0c577af9fcf90,eef941550d524062d85be1307f2e7de3ef231b687c44112e42b128a83388668a,98c165273367cb1c25343c962107486bebdf26b1963c3e430901e826aa8cff6c,7520920d680fa65d11e1ad241a697bfce88cb6328cb8e3ffa15bea352b03912b,ac87a462cbc5e789854ad2eeff9346ced6e66f30d51ab2a1932ab9d803bd6747
"1","10141107","10141","6114101","信賴度"
"1","10144102","10144","6144101","信賴度"
"1","10151110","10151","6124101","信賴度"
"1","10153102","10153","6017101","信賴度"
"1","0","20015","0","信賴度"
"1","0","20017","0","信賴度"
"1","0","20018","0","信賴度"
"1","0","20019","0","信賴度"
"1","0","20020","0","信賴度"
"1","0","20022","0","信賴度"
"1","0","20023","0","信賴度"
"1","0","20024","0","信賴度"
"1","0","20025","0","信賴度"
"1","0","20026","0","信賴度"
"1","0","20028","0","信賴度"
"1","0","20029","0","信賴度"
"1","0","20030","0","信賴度"
"1","0","20031","0","信賴度"
"1","0","20032","0","信賴度"
"1","0","20035","0","信賴度"
"1","0","20037","0","信賴度"
"1","0","20038","0","信賴度"
"1","0","20042","0","信賴度"
"1","0","20043","0","信賴度"
"1","0","20048","0","信賴度"
"1","0","20049","0","信賴度"
"1","0","20051","0","信賴度"
"1","0","20054","0","信賴度"
"1","0","20055","0","信賴度"
"1","0","20056","0","信賴度"
