a2716ee03505143d4ba3a8949b837cf7c06c68ff414b3e6492ef7faef2a8b93c,c270de9a5ba5f9f91d618097950c9c026e8d7c7033ec1af47e532ca1c24ecddb,eac74ce1c915519644762f44797bdfb1831f90f5cb9eb51d9e985a352812a2d1,ed9b7df125f491db1f78b0f188840643d4f8f34f9f612f8cb76d224a97404275,050ee3364338820cfb469239f695e3791ab92eca703fd4823665958162161658,96cbb9c0dcc852cb417006f135ecc55938b58c17df3fb318b07294c5dc496a4a,3e3448be854637d024487b419196593ed5609569bc35b69772045962b971689c,1c3b1519edef2a25b3682cad43ee3b81c1146f05c7da5dada41db6009fde1a61,2b7e04bfe12283d48c455da9b584c16398049944be05de9c07d64b12cf8abd58,e81d1406811c2bc8950932a4e165b036cead899374259c2dbe292a147f2d8d23,b487f623274912651f2d9ebebb2835147a41bbb0dbf7672f5737c0bf2dae5698
"10000","bgm_M199_juke","哥哥爭奪戰！\n誰的巧克力更好吃SHOW","來動手製作\n充滿愛意的巧克力蛋糕吧！\n超可愛的點擊遊戲！","bgm_M199","","2030/12/31 15:00:00","2030/12/31 15:00:00","2020-06-22 16:00:00","1001","1002"
"10000","bgm_M227_juke","空花大旋轉\n飛行絕頂體驗","大旋轉！空花！\n最棒的絕頂體驗就在這裡！\n一起往上飛翔，空中的旅行！","bgm_M227","","2030/12/31 15:00:00","2030/12/31 15:00:00","2020-06-22 16:00:00","1002","1003"
"10000","bgm_M249_juke","香織的靈魂式空手道場","這就是琉球魂！\n打倒蜂擁而上的奄美魔物\n令人爽快的動作遊戲！","bgm_M249","","2030/12/31 15:00:00","2030/12/31 15:00:00","2020-06-22 16:00:00","1003","1004"
"10000","bgm_M277_juke","大激戰！龍人們的接龍競賽","戰鬥白熱化！\n龍族巢穴流的\n單挑動動腦接龍！","bgm_M277","","2030/12/31 15:00:00","2030/12/31 15:00:00","2020-06-22 16:00:00","1004","1005"
"10000","bgm_M355_Lofi_juke","啾啾大恐慌！\n保衛起司大作戰！","你有辦法保護好起司嗎！？\n考驗瞬發力的\n訓練反射神經休閒小遊戲！","bgm_M355_Lofi","","2030/12/31 15:00:00","2030/12/31 15:00:00","2020-09-01 16:00:00","1005","1006"
"10000","bgm_M399","猛訓打擊道！\n美里的全壘打訓練場","目標成為全壘打強打！\n掌握關鍵時機擊球的\n運動類型動作小遊戲！","bgm_M399","","2030/12/31 15:00:00","2030/12/31 15:00:00","2021-01-06 16:00:00","1006","1007"
"10000","bgm_M500","慈樂之音的夏日演唱會\n演唱會會場 周邊區 ","慈樂之音粉絲大興奮！\n獲得演唱會加油周邊，\n成為「慈樂之音神推」為目標！","bgm_M500","","2030/12/31 15:00:00","2030/12/31 15:00:00","2022-01-03 16:00:00","1007","1008"
"10000","bgm_M540","宮子廚房　通往究極之路","Let's cooking！\n和宮子一起製作蒐集布丁，\n精通布丁之道吧！","bgm_M540","","2030/12/31 15:00:00","2030/12/31 15:00:00","2022-04-25 16:00:00","1008","1009"
"0","bgm_M569","Happy Anniv.特別版　\n蘭德索爾猜謎連結！","5人小隊合力挑戰各式各\n樣類型的謎題！\n以當上猜謎公主為目標吧！","bgm_M569","蘭德索爾猜謎連結！","2022/08/01 21:00:00","2022/08/21 23:59:59","2022-08-01 21:00:00","1009","1010"
"10000","bgm_M605","飛奔吧常夏！\n極限沙灘搶旗","於沙灘上奔馳的公主！\n挑戰亂七八糟的路線的\n南島沙灘搶旗！","bgm_M605","","2030/12/31 15:00:00","2030/12/31 15:00:00","2022-11-25 16:00:00","1010","1011"
"10000","bgm_MC068","凱留與鈴奈的\n放學後的猜謎讀書會","目標是全部答對！\n與凱留和鈴奈在放學後的教室中\n進行兩人獨處的猜謎讀書會！","bgm_MC068","放學後的猜謎讀書會　{0}","2030/12/31 15:00:00","2030/12/31 15:00:00","2024-01-17 16:00:00","1012","1012"
"10000","bgm_MC141","惠理子和真琴的\n行軍A-Go-Go！","前往突破魔物橫行的街道！\n率領【王宮騎士團】\n的士兵們，挑戰訓練吧！","bgm_MC141","行軍A-Go-Go！","2030/12/31 15:00:00","2030/12/31 15:00:00","2024-08-15 16:00:00","1013","1013"
