f3bd011e2ca356de085a3c53444ead2954c840e8c7a17331eb076ca05f204d19,937c316b6d125317137ae7840f61d9cb9fbb46e1d192f6c7f5643eeba25a341c,af8a99a1dd02fd333f5427cfff1d6f6559eb844db61405a466a6c2011b43c45b,7f6596682d08839a148e10b3ac80147bc4b8490ee5f27e0df01f0016ee0d82e2,47c6fd4a5070f3ef1e0d949e910274a8c3564907ffb80d27f2deaa8210578132,f5eea86b1c401fae541003b142202212c6cfe5bcb3e6a92bd3ad5787d44e410e,738f409605e121877f6f460fcc983942c39ae00ff8549e2ad361dd892d13da42,8402a17357f3ef318953bd2f33f71649bd79c1832a41b8cda12ef7b5abf2957a
"0","190801","2020-06-22 16:00:00","13","1000","2030-04-01 14:00:00","準備了各式各樣的\n小遊戲哦！\n要遊玩哪個小遊戲呢？","1000001"
"0","190801","2020-06-22 16:00:00","13","1000","2030-04-01 14:00:00","介紹你有趣的小遊戲！\n你要遊玩哪個\n小遊戲呢？","1000002"
"0","190801","2020-06-22 16:00:00","13","1001","2030-04-01 14:00:00","這個賣\n{0}盧幣！\n請務必購買\n遊玩哦！","1001001"
"0","190801","2020-06-22 16:00:00","12","1002","2030-04-01 14:00:00","請點擊動來動去的愛心！\n來幫忙\n靜流和惠理子\n製作巧克力蛋糕吧！","1002001"
"0","190801","2020-06-22 16:00:00","11","1003","2030-04-01 14:00:00","請拉空花，\n讓她飛得越遠越好吧！\n利用各種事件讓空花\n得到絕頂體驗吧！","1003001"
"0","190801","2020-06-22 16:00:00","3","1004","2030-04-01 14:00:00","點擊左邊右邊，\n打倒奄美魔物吧！\n釋放！\n琉球犬大迴旋踢擊！","1004001"
"0","190801","2020-06-22 16:00:00","7","1005","2030-04-01 14:00:00","要不要點擊面板，\n和龍族巢穴的大家一起\n進行接龍對決？\n用韻腳把字詞連接起來吧！","1005001"
"0","190801","2020-09-01 16:00:00","2","1006","2030-04-01 14:00:00","配合老鼠靈敏的動作，\n點擊擊退牠吧！\n和充滿幹勁的鈴一起\n保護重要的起司吧！","1006001"
"0","190801","2021-01-06 16:00:00","4","1007","2030-04-01 14:00:00","這是美里與社員們的\n打擊特訓喔！\n以全壘打為目標，\n看準擊球時機把球打出去吧。","1007001"
"0","190801","2022-01-03 16:00:00","6","1008","2030-04-01 14:00:00","使用慈樂之音代幣\n來獲得加油道具吧！\n代幣可以用盧幣來交換喔。\n","1008001"
"0","190801","2022-04-25 16:00:00","13","1009","2030-04-01 14:00:00","試著在布丁筆記本中確認\n吃掉的布丁吧！\n布丁的材料可以使用\n盧幣購買喔。","1009001"
"0","190801","2022-08-01 16:00:00","4","1010","2030-04-01 14:00:00","小隊一起來挑戰謎題看看吧！\n看是要單獨試試自己的實力，還是要和多\n位夥伴一起遊玩，請選擇\n喜歡的模式吧♪","1010001"
"0","190801","2022-11-25 16:00:00","6","1011","2030-04-01 14:00:00","在3個回合內盡情奔馳，\n以綜合排名第１名為目標吧！\n各參加角色與GP的特徵，\n也是值得注目喔♪","1011001"
"0","190801","2024-01-17 16:00:00","6","1012","2030-04-01 14:00:00","跟凱留同學、鈴奈同學一起\n用猜謎來學習吧！\n放學後兩個人單獨待在教室……\n總覺得很令人怦然心動呢♪","1012001"
"0","190801","2024-08-15 16:00:00","6","1013","2030-04-01 14:00:00","開始行軍，出發討伐魔物！\n惠理子小姐和真琴小姐她們\n那可靠的背影，\n真是令新兵們十分景仰呢♪","1013001"
"0","190801","2025-03-15 16:00:00","6","1014","2030-04-01 14:00:00","跟蠻賊三姊妹一起\n挑戰戰車戰鬥！\n依照零件跟成員不同的搭配組合\n機器的特徵也會改變唷♪","1014001"
