47c6fd4a5070f3ef1e0d949e910274a8c3564907ffb80d27f2deaa8210578132,af8a99a1dd02fd333f5427cfff1d6f6559eb844db61405a466a6c2011b43c45b,8402a17357f3ef318953bd2f33f71649bd79c1832a41b8cda12ef7b5abf2957a,7f6596682d08839a148e10b3ac80147bc4b8490ee5f27e0df01f0016ee0d82e2,738f409605e121877f6f460fcc983942c39ae00ff8549e2ad361dd892d13da42,f5eea86b1c401fae541003b142202212c6cfe5bcb3e6a92bd3ad5787d44e410e,937c316b6d125317137ae7840f61d9cb9fbb46e1d192f6c7f5643eeba25a341c,f3bd011e2ca356de085a3c53444ead2954c840e8c7a17331eb076ca05f204d19
"1000","2020-06-22 16:00:00","1000001","13","準備了各式各樣的\n小遊戲哦！\n要遊玩哪個小遊戲呢？","2030-04-01 14:00:00","190801","0"
"1000","2020-06-22 16:00:00","1000002","13","介紹你有趣的小遊戲！\n你要遊玩哪個\n小遊戲呢？","2030-04-01 14:00:00","190801","0"
"1001","2020-06-22 16:00:00","1001001","13","這個賣\n{0}盧幣！\n請務必購買\n遊玩哦！","2030-04-01 14:00:00","190801","0"
"1002","2020-06-22 16:00:00","1002001","12","請點擊動來動去的愛心！\n來幫忙\n靜流和惠理子\n製作巧克力蛋糕吧！","2030-04-01 14:00:00","190801","0"
"1003","2020-06-22 16:00:00","1003001","11","請拉空花，\n讓她飛得越遠越好吧！\n利用各種事件讓空花\n得到絕頂體驗吧！","2030-04-01 14:00:00","190801","0"
"1004","2020-06-22 16:00:00","1004001","3","點擊左邊右邊，\n打倒奄美魔物吧！\n釋放！\n琉球犬大迴旋踢擊！","2030-04-01 14:00:00","190801","0"
"1005","2020-06-22 16:00:00","1005001","7","要不要點擊面板，\n和龍族巢穴的大家一起\n進行接龍對決？\n用韻腳把字詞連接起來吧！","2030-04-01 14:00:00","190801","0"
"1006","2020-09-01 16:00:00","1006001","2","配合老鼠靈敏的動作，\n點擊擊退牠吧！\n和充滿幹勁的鈴一起\n保護重要的起司吧！","2030-04-01 14:00:00","190801","0"
"1007","2021-01-06 16:00:00","1007001","4","這是美里與社員們的\n打擊特訓喔！\n以全壘打為目標，\n看準擊球時機把球打出去吧。","2030-04-01 14:00:00","190801","0"
"1008","2022-01-03 16:00:00","1008001","6","使用慈樂之音代幣\n來獲得加油道具吧！\n代幣可以用盧幣來交換喔。\n","2030-04-01 14:00:00","190801","0"
"1009","2022-04-25 16:00:00","1009001","13","試著在布丁筆記本中確認\n吃掉的布丁吧！\n布丁的材料可以使用\n盧幣購買喔。","2030-04-01 14:00:00","190801","0"
"1010","2022-08-01 16:00:00","1010001","4","小隊一起來挑戰謎題看看吧！\n看是要單獨試試自己的實力，還是要和多\n位夥伴一起遊玩，請選擇\n喜歡的模式吧♪","2030-04-01 14:00:00","190801","0"
"1011","2022-11-25 16:00:00","1011001","6","在3個回合內盡情奔馳，\n以綜合排名第１名為目標吧！\n各參加角色與GP的特徵，\n也是值得注目喔♪","2030-04-01 14:00:00","190801","0"
"1012","2024-01-17 16:00:00","1012001","6","跟凱留同學、鈴奈同學一起\n用猜謎來學習吧！\n放學後兩個人單獨待在教室……\n總覺得很令人怦然心動呢♪","2030-04-01 14:00:00","190801","0"
"1013","2024-08-15 16:00:00","1013001","6","開始行軍，出發討伐魔物！\n惠理子小姐和真琴小姐她們\n那可靠的背影，\n真是令新兵們十分景仰呢♪","2030-04-01 14:00:00","190801","0"
"1014","2025-03-15 16:00:00","1014001","6","跟蠻賊三姊妹一起\n挑戰戰車戰鬥！\n依照零件跟成員不同的搭配組合\n機器的特徵也會改變唷♪","2030-04-01 14:00:00","190801","0"
