22af00fd3257ba4b9929f7279c6ec71229ef907f64b41c5fa3da484b5791628f,7a0eccc7f238aeca616238a3b0e2b110c4b0436c77426a7f3a3d5a16a0964349,27031a9d3f8dc06b73c8b9fe32aa1629cda31f7d1226d1a5bcf13d1d88836566,9cc4682271c3c70dc92c81c560dde60072b22735574ed17085110a763044b46d,a8042b2b246db059104d4cc86ea7bd9cdca5b4a710a2a4382016bc9d42cebbb0,e8ba9fbfc62167fbec0c2b33860a86ac8633aba32233cdfde84200e550e04b02,6699bd03689294f7279c71c2c55d3449dad1c9e6f6f639220c84900e6cdc461e,05d7fe25e12d1577fbc920a6de6fc443720754a9712ce1df208b11638d653330,f4a9dec9086edfd13b2595564063f9b0e0f13546851e939a20915b8afe3a4ab0,d8fd67d29227c9cb45e952acdf4a0da69571e674515ebd4631fb5d458e097b1d,dbe3ebcc9a643871b042e760610e02d6f5dfd5bc8511514c4775625848a4a124,06105587f5f1de5c721411ae95c291ef91f685967fd992e5933680db966e429e,2479a2259ea4b29a140db839ed1fa6e5f263890d9c1433244f37cca5b110af21,059d6a285a45484fe4676b6bec1a67f807f799ce08313dd1d10b84ca878e2262,de24452d6b646ac205e03a505a557074ecc3d95ad5ca8e0ba0603f66c54c1b47,980c4dfb96856305e4b6793d67ecc6be19a6fe99f69f10a7c2cc31ae0ebdaef1,335f70d25cf51ae9aa9d318c829dc288e844023487b07afef1301b7175150ba7,6ebfa5f1523b16a8bead8cb17ff8c3b3631390870f3155abcb1b408b36c8bd50
"20004","91002","2","150003","8","1","1001","94002","4","90005","8","3","30","100","2","12","3","300000"
"140001","91002","4","150004","8","2","1001","94002","4","90005","60","3","30","150","2","12","3","400000"
"20004","91002","2","150005","8","3","1001","94002","4","90005","10","3","30","150","2","12","3","500000"
"140001","91002","4","150006","8","4","1001","94002","4","90005","90","3","30","200","2","12","3","750000"
"21951","91002","2","150007","8","5","1001","94002","4","90005","1","3","30","200","2","12","3","1000000"
"20004","91002","2","150003","8","1","1002","94002","4","90005","8","3","30","100","2","12","3","300000"
"140001","91002","4","150004","8","2","1002","94002","4","90005","60","3","30","150","2","12","3","400000"
"20004","91002","2","150005","8","3","1002","94002","4","90005","10","3","30","150","2","12","3","500000"
"140001","91002","4","150006","8","4","1002","94002","4","90005","90","3","30","200","2","12","3","750000"
"21951","91002","2","150007","8","5","1002","94002","4","90005","1","3","30","200","2","12","3","1000000"
"20004","91002","2","150003","8","1","1003","94002","4","150004","8","3","100","50","4","12","100","300000"
"140001","91002","4","150005","8","2","1003","94002","4","90005","60","3","50","100","2","12","5","400000"
"20004","91002","2","150006","8","3","1003","0","4","94002","10","3","50","100","12","0","500000","0"
"140001","91002","4","150007","8","4","1003","94002","4","90005","90","3","50","150","2","12","10","750000"
"21951","91002","2","150008","8","5","1003","0","4","94002","1","3","50","150","12","0","1000000","0"
"20004","91002","2","150003","8","1","1004","94002","4","150004","8","3","100","50","4","12","100","300000"
"140001","91002","4","150005","8","2","1004","94002","4","90005","60","3","50","100","2","12","5","400000"
"20004","91002","2","150006","8","3","1004","0","4","94002","10","3","50","100","12","0","500000","0"
"140001","91002","4","150007","8","4","1004","94002","4","90005","90","3","50","150","2","12","10","750000"
"21951","91002","2","150008","8","5","1004","0","4","94002","1","3","50","150","12","0","1000000","0"
"20004","91002","2","150003","8","1","1005","94002","4","150004","8","3","100","50","4","12","100","300000"
"140001","91002","4","150005","8","2","1005","94002","4","90005","60","3","50","100","2","12","5","400000"
"20004","91002","2","150006","8","3","1005","0","4","94002","10","3","50","100","12","0","500000","0"
"140001","91002","4","150007","8","4","1005","94002","4","90005","90","3","50","150","2","12","10","750000"
"21951","91002","2","150008","8","5","1005","0","4","94002","1","3","50","150","12","0","1000000","0"
"20004","91002","2","150004","8","1","1006","94002","4","150005","8","3","100","50","4","12","100","300000"
"140001","91002","4","150006","8","2","1006","94002","4","90005","60","3","50","100","2","12","5","400000"
"20004","91002","2","150007","8","3","1006","0","4","94002","10","3","50","100","12","0","500000","0"
"140001","91002","4","150008","8","4","1006","94002","4","90005","90","3","50","150","2","12","10","750000"
"21951","91002","2","150009","8","5","1006","0","4","94002","1","3","50","150","12","0","1000000","0"
