6f32578680b0ac8b1e6942e3f2307be671a9534dca54157c86863d57d9ceb7d0,665c12544543e964bf23e3f90d030c0d04df89debee5eb5589f590cd2f6d6c41,2a336102e20e4247869136173cbe310941932e068dc1c717c12a7544bc7e5a50,180877b48b8ffa21b00f8c9a7355c5130a331db4c4268a5287cabeb942f5f48d,d057952d29e0a8c195749543d9e9dbc5a411e70c9b353e9cbd5ebcd286c3202e,66ab43d87a7572730a60fea814ee996a15e999aa2fa3bd4ff6630f97370aaa1c,f71b1359ed3f2f04a642565eb1118138d0e54a9de0474bff0de12a15a8e54274,919144ac107ec4be24318367462fbac98058c915e220399224b9ed93dd8404e8,0d7ba0b9c467e9ceeadb76feb3f91482cbd482623dfc1bc30ab3021617910245,9638c7fe62d6743002fb2c6f6e692204c35a3627b21123268c45c0034407b5cc
"0","10062","0","10062103","1","0","卯月和凜的回憶","7001","0","0"
"0","10062","0","10062107","2","0","new generations的回憶","7002","0","0"
"0","10062","0","10062107","4","0","卯月與未央的回憶","7003","0","0"
"0","10062","0","10062111","6","0","美食殿堂的回憶","7004","0","0"
"0","10062","0","10062111","7","0","凜與未央的回憶","7005","0","0"
"0","10062","0","10062111","8","0","new generations的回憶","7006","0","0"
"0","10062","0","10062115","9","0","new generations與美食殿堂的回憶","7007","0","0"
"0","10062","0","10062115","10","0","美食殿堂的回憶","7008","0","0"
"0","10063","0","10063111","14","0","new generations與美食殿堂的回憶","7009","0","0"
"0","10062","0","10062107","3","0","new generations的回憶","7102","0","0"
"0","10062","0","10062107","5","0","美食殿堂的回憶","7103","0","0"
"0","10062","0","10062115","11","0","new generations與美食殿堂的回憶","7104","0","0"
"0","10063","0","10063111","12","0","new generations與美食殿堂的回憶","7105","0","0"
"0","10063","0","10063111","13","0","new generations與美食殿堂的回憶","7106","0","0"
"7","10062","1","10062103","15","1","","7201","2405","0"
