faf8b9507e6fba650f233572f36e42093d06ff373424180f3f28654b42116ce3,2b80c06ef888055802bdb27ac7498153de70af492a4bf972c294dbce4850c225,0606526b380a1a4bcedfdd2a1cf2cce2e2754cd1fdae321e7bcc657d6380c0d6,1696028b76dff96fb604ddb8f15d40cf4407e838698c8e06b2c6acdaf2a674e1,5053a82c7d8daa5ca8726b396a4383673e235a94c31bba7c72f3c029cd5e669d
"1","97501","1","1","97501"
"2","97502","2","3","97502"
"1","97503","3","1","97503"
"1","97504","4","1","97504"
"1","97505","5","1","97505"
"2","97506","6","3","97506"
"2","97507","7","3","97507"
"2","97508","8","3","97508"
"1","97509","9","1","97509"
"1","97510","10","1","97510"
"2","97511","11","3","97511"
"2","97512","12","3","97512"
"2","97513","13","3","97513"
"2","97514","14","3","97514"
"1","97515","15","1","97515"
"2","97516","16","3","97516"
"2","97517","17","3","97517"
"2","97518","18","3","97518"
"2","97519","19","3","97519"
"2","97520","20","3","97520"
"1","97521","21","1","99657"
"1","97522","22","1","99668"
"1","97523","23","1","99686"
"1","97524","24","1","99696"
"1","97525","25","1","99711"
