e2d775b6e967bb784f3813fed3e4ae6f906c0c32c9b947902d2a3c0218804cff,98995fab30d1aa6a9c267575dd4ba603220837044900893cd57cd22b5d57455a,2077fe527fea255c4b2baf9f99ee7e5f2643d09271a1883a41c1e8faa04a0081,90915ee43deb71d6762d0a443bc1c4160466544e0990046171ab3cb173bf7214,0bcbc5699804e0d5709a9d4a650cecd5a90f56d23e3a429adce9b3b87acbadbf,1f99865e1bbe5ab291dc5c5cf4ceec6d3cf7bc26813ab5eb78070620526a4cb5,73744c5b8d1f475d221fefc0e11c9e083c0c419a005b8dbf6acc2b06be053d8e,26145180aa64c556daeb24f15d5b8cdb7553a76a3141632adeb9c2928cb8d90c,115f36a970de090e016cefcef79daf15bd382093f5efda30e5c8dd3addd93fe3,8c744899b6ef2ded61e534e6a033931b1c6f6d1d8706942a5451fa7ad14896ea,e003aa68d1d3815a2ede848f7e9ceb5ee30a7e96d33016d329323e377117bad1,9a580ae5f36564dc71008039ad4f1bffe430647cf3cc761df624f5666d6b8c5d,593f935e1c3ee10542ee76f23a5870df39c3ed10e3ee5da77cd30e7400df290b,70a09e21b89bdb043799ab6f1b36a499b5871ee0ccc3e3d9d1a11e4d2fcaabf6,0e0e6f7fafcb40b7f33543304ce85d8d841eed764e26609269ffe11efed73c8e
"1","1","2099/12/17 14:59:59","凱留","0","0","7","1","0","偶爾參加共鬥\n好像也不錯吼？\n我也助你一臂之力吧。","106001","7001","0","-363","2015/12/17 15:00:00"
"1","1","2099/12/17 14:59:59","可可蘿","0","0","7","1","0","似乎可以和許多人\n協力戰鬥呢。\n要是主人的話，\n想必能夠非常活躍吧。","105901","7002","0","-363","2015/12/17 15:00:00"
"1","1","2099/12/17 14:59:59","貪吃佩可","0","0","7","1","0","和許多人一起\n共同戰鬥！\n一起加油吧☆　","105801","7003","0","-363","2015/12/17 15:00:00"
"1","1","2099/12/17 14:59:59","貪吃佩可","0","0","10","1","0","用寶石可以換食物…\n不對，是換貴重物品啦！","105801","10001","0","-363","2015/12/17 15:00:00"
"1","1","2099/12/17 14:59:59","凱留","0","0","10","1","0","寶石要好好想清楚\n再使用哦！\n別亂花喔！","106001","10002","0","-363","2015/12/17 15:00:00"
"1","1","2099/12/17 14:59:59","可可蘿","0","0","10","1","0","用主人的寶石\n可以買到各種貴重的物品\n雖然如此，浪費還是\n『壞壞』呦。","105901","10003","0","-363","2015/12/17 15:00:00"
"1","1","2030/12/17 14:59:59","雪菲","2104010","0","10","2","0","只要有寶石\n似乎就能交換貴重物品\n珍惜著使用吧","106401","10004","0","-363","2015/12/17 15:00:00"
"1","1","2099/12/17 14:59:59","貪吃佩可","0","0","12","1","0","達到特定條件的話\n可以得到報酬喔！\n一起加油吧♪　","105801","12001","0","-416.5","2015/12/17 15:00:00"
"1","1","2099/12/17 14:59:59","凱留","0","0","13","1","0","雖然經歷了各種事，\n回頭一看，\n感覺卻挺不賴吶？","106001","13001","0","-363","2015/12/17 15:00:00"
"1","1","2099/12/17 14:59:59","可可蘿","0","0","13","1","0","和主人度過的快樂每一天……\n到這裡可以隨意\n想回想幾次就回想幾次♪　","105901","13002","0","-363","2015/12/17 15:00:00"
