30224ab4dc6bb79d21a71eb8affe09fdaf8202285b9e840f17658053ede1e768,dae071424a15d7fc19b273ece99c6f7b40253ac35eea9cbf09427b61ac475206,ebe271199a1b0d60d7050c8e0ecd1b7404b5a8a91f35c0a76da19499ab87aa45,144fc3bdafc4fea040aad23fa5f697fd0c52f7f0d95f87111e0a256b6fbed6a8,338c540a8ce6e6610bf7e75a0e7ff274b618742cac2db7b52326207e2ddc69d5,dcb17e8f2653ed144be60bc92d7456facada3d087c3cc0380bfdbedfceeb12e2,e512814e856979014e45eeeb27d33b26b2aafc0fd40b4bf0af9d9f832cac3de9
"10004","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","107601","71004025","討伐BOSS解放！\n還有{0}隻","1","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]"
"10005","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","108001","71005025","討伐BOSS解放！\n還有{0}隻","2","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]"
"10007","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108201","71007031","討伐NORMAL BOSS解放！","3","[3C404E]討伐NORMAL BOSS解放！"
"10009","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108501","71009031","討伐NORMAL BOSS解放！","4","[3C404E]討伐NORMAL BOSS解放！"
"10010","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108901","71010031","討伐NORMAL BOSS解放！","5","[3C404E]討伐NORMAL BOSS解放！"
"10011","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109001","71011031","討伐NORMAL BOSS解放！","6","[3C404E]討伐NORMAL BOSS解放！"
"10013","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109301","71013031","討伐NORMAL BOSS解放！","7","[3C404E]討伐NORMAL BOSS解放！"
"10017","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109801","71017031","討伐NORMAL BOSS解放！","8","[3C404E]討伐NORMAL BOSS解放！"
"10019","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","110101","71019031","討伐NORMAL BOSS解放！","9","[3C404E]討伐NORMAL BOSS解放！"
"20004","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","107601","72004021","討伐NORMAL BOSS解放！","10","[3C404E]討伐NORMAL BOSS解放！"
"10021","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","110501","71021035","討伐NORMAL BOSS解放！","11","[3C404E]討伐NORMAL BOSS解放！"
"20005","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108001","72005021","討伐NORMAL BOSS解放！","12","[3C404E]討伐NORMAL BOSS解放！"
