d16c3ea02cbef860bb7d2b58bcc700c0e5be8989593229017d6608b8b263e8eb,ee499dd023750bda1a807ce88f90d0c519e391e90186118a4aec53b9bc471357,0ec116d8d562931a528394d6c6b6ede685356fe81366ff80eacfcf8710143ddc,9da98735718f0102286a1f446016976a7edc146fe6410e57d209d756ba2ea280,b4517dbfaea946479785d9ad7e95a65385af0c4740d48b7a423b9966aa96c517,8fdcbdb60714d30da2335d8513a1bb1129f6a9a01faf958d0773cf2547554075,2b17e1776fefa801d82a3fb0252c9cf16ed5bac22c7c994a391feadd883aa8ab,c374b9ead7942c94ef30d336412a16a6d32d7fd05e1e9659bd4628a411f22ede,468ea72a0b8ecd26e135ce4d869ac75eeec5da3e559c01c50b9aedb5e75a500e,9a070d061a84427d8431dc6608090314704f768cc336eb87b215e4990dd9325e,8345137f7df60bbb2918d1a4c422eb546e2428315cf357728a6d50c8ff772fc5,0454e0e894d44a6a85522f7bd78418a78ecd368b11db7da45b6cdbf880d633f4
"0","0","0","全目標的自選印記","11000000","0","1","0","0","99999999","可從全目標角色中選擇1位成為夥伴。","1"
"999","0","0","公主祭典的自選印記","11000999","0","1","0","0","3600","可從公主祭典的角色中選擇1位成為夥伴。","1"
"0","0","0","攻擊者職階的自選印記","11001000","1","1","0","0","2800","可從攻擊者職階的角色中選擇1位成為夥伴。","1"
"0","0","0","破防者職階的自選印記","11002000","2","1","0","0","2800","可從破防者職階的角色中選擇1位成為夥伴。","1"
"0","0","0","增益者職階的自選印記","11003000","3","1","0","0","2800","可從增益者職階的角色中選擇1位成為夥伴。","1"
"0","0","0","減益者職階的自選印記","11004000","4","1","0","0","2800","可從減益者職階的角色中選擇1位成為夥伴。","1"
"0","0","0","增幅者職階的自選印記","11005000","5","1","0","0","2800","可從增幅者職階的角色中選擇1位成為夥伴。","1"
"0","0","0","治療者職階的自選印記","11006000","6","1","0","0","2800","可從治療者職階的角色中選擇1位成為夥伴。","1"
"0","0","0","掩護者職階的自選印記","11007000","7","1","0","0","2800","可從掩護者職階的角色中選擇1位成為夥伴。","1"
"0","0","0","妨礙者職階的自選印記","11008000","8","1","0","0","2800","可從妨礙者職階的角色中選擇1位成為夥伴。","1"
"0","0","0","【美食殿堂】的自選印記","13000001","0","3","1","1","99999999","可從【美食殿堂】的角色中選擇3位成為夥伴。","1"
"0","0","0","【破曉之星】的自選印記","13000002","0","3","1","2","99999999","可從【破曉之星】的角色中選擇3位成為夥伴。","1"
"0","0","0","【拉比林斯】的自選印記","13000003","0","3","1","3","99999999","可從【拉比林斯】的角色中選擇3位成為夥伴。","1"
"0","0","0","【慈樂之音】的自選印記","13000004","0","3","1","4","99999999","可從【慈樂之音】的角色中選擇3位成為夥伴。","1"
"0","0","0","【惡魔偽王國軍】的自選印記","13000007","0","3","1","7","99999999","可從【惡魔偽王國軍】的角色中選擇3位成為夥伴。","1"
"0","0","0","【王宮騎士團】的自選印記","13000008","0","3","1","8","99999999","可從【王宮騎士團】的角色中選擇3位成為夥伴。","1"
"0","0","0","【咲戀育幼院】的自選印記","13000009","0","3","1","9","99999999","可從【咲戀育幼院】的角色中選擇3位成為夥伴。","1"
"0","0","0","【伊麗莎白牧場】的自選印記","13000011","0","3","1","11","99999999","可從【伊麗莎白牧場】的角色中選擇3位成為夥伴。","1"
"0","0","0","【墨丘利財團】的自選印記","13000012","0","3","1","12","99999999","可從【墨丘利財團】的角色中選擇3位成為夥伴。","1"
"0","0","0","【暮光流星群】的自選印記","13000013","0","3","1","13","99999999","可從【暮光流星群】的角色中選擇3位成為夥伴。","1"
"0","0","0","戰鬥獎勵隨機印記","21000000","0","1","0","0","99999999","","2"
"0","0","0","全目標的隨機印記","31000000","0","1","0","0","99999999","可從全目標角色中隨機獲得1位夥伴。","3"
"999","0","0","公主祭典的隨機印記","31000999","0","1","0","0","1800","可從公主祭典的角色中隨機獲得1位夥伴。","3"
"0","0","0","攻擊者職階的隨機印記","31001000","1","1","0","0","1200","可從攻擊者職階的角色中隨機獲得1位夥伴。","3"
"0","0","0","破防者職階的隨機印記","31002000","2","1","0","0","1200","可從破防者職階的角色中隨機獲得1位夥伴。","3"
"0","0","0","增益者職階的隨機印記","31003000","3","1","0","0","1200","可從增益者職階的角色中隨機獲得1位夥伴。","3"
"0","0","0","減益者職階的隨機印記","31004000","4","1","0","0","1200","可從減益者職階的角色中隨機獲得1位夥伴。","3"
"0","0","0","增幅者職階的隨機印記","31005000","5","1","0","0","1200","可從增幅者職階的角色中隨機獲得1位夥伴。","3"
"0","0","0","治療者職階的隨機印記","31006000","6","1","0","0","1200","可從治療者職階的角色中隨機獲得1位夥伴。","3"
"0","0","0","掩護者職階的隨機印記","31007000","7","1","0","0","1200","可從掩護者職階的角色中隨機獲得1位夥伴。","3"
"0","0","0","妨礙者職階的隨機印記","31008000","8","1","0","0","1200","可從妨礙者職階的角色中隨機獲得1位夥伴。","3"
"40005","0","0","拉比林斯達印記","31040005","0","1","0","0","99999999","可讓拉比林斯達成為夥伴。","3"
"40006","0","0","純印記","31040006","0","1","0","0","99999999","可讓純成為夥伴。","3"
"0","1","0","火屬性的隨機印記","31100000","0","1","0","0","1200","可從火屬性角色中隨機獲得1位夥伴。","3"
"0","2","0","水屬性的隨機印記","31200000","0","1","0","0","1200","可從水屬性角色中隨機獲得1位夥伴。","3"
"0","3","0","風屬性的隨機印記","31300000","0","1","0","0","1200","可從風屬性角色中隨機獲得1位夥伴。","3"
"0","4","0","光屬性的隨機印記","31400000","0","1","0","0","1200","可從光屬性角色中隨機獲得1位夥伴。","3"
"0","5","0","闇屬性的隨機印記","31500000","0","1","0","0","1200","可從闇屬性角色中隨機獲得1位夥伴。","3"
