ca17f3dc64aaf0b6298b5a93930f504589cb5b1d3156b16e773d2c0025f6919b,826ee95fa92c1f811c9740f4aa6f50bd193ee4c215bd778f1cd0e9a0a3634b47,875ac65aaa37011d83aeebce74d0f358be986aa543b9dc10e36eb32c53236507,3e6a081f9ac6d3877309d3b2ecd54ce4540d1a21ded2cb8b211b5eddddf3682b,db1932fcadb93957e6afe018f38bd36fc2b53b51bf1cd5c921fa5803b82b1704
"0","0","0","0","1"
"0","0","0","0","2"
"0","0","0","0","3"
"0","2","0","0","4"
"0","2","0","0","5"
"0","2","0","0","6"
"0","3","0","0","7"
"0","3","0","0","8"
"0","3","0","0","9"
"0","4","0","0","10"
"0","4","0","0","11"
"0","4","0","0","12"
"0","0","0","0","13"
"0","0","0","0","14"
"0","0","0","0","15"
"0","0","2","0","16"
"0","0","2","0","17"
"0","0","2","0","18"
"0","0","3","0","19"
"0","0","3","0","20"
"0","0","3","0","21"
"0","3","0","0","22"
"0","3","0","0","23"
"0","2","0","0","24"
"0","2","0","0","25"
"0","0","2","0","26"
"0","0","2","0","27"
"3","2","0","0","28"
"3","2","0","0","29"
"0","3","2","0","30"
"0","3","2","0","31"
"0","3","3","0","32"
"0","0","3","0","33"
"4","3","0","0","34"
"0","0","0","0","35"
"0","2","2","0","36"
"0","2","2","0","37"
"0","4","3","0","38"
