cad23924f07d63e23c8f8a9139cd95e3d2052926a973ab06886e76e9b846f84f,face9fddccac021412595bcdccae2f161b4a546a8ecb5f1573787793c8ce4cef,92876fae2805a1f741025657075057428595a6aed48bfcc9ea3981681291146f,9100a978d359f316a645187f3e6fa8158b8b304fed3007ac16aad8b555254cbe,325694a3d939675ed7e0d746147d9d6e5b87237b1d69ab075237289942005461,31b8da74faefc71eddec4f0cbec33847c169721967c8b5dd1b131cfabda9db48,137960a94f04f43f24f5f02c0c455ff9b2f997b9802fcbb9d520164e02be83b3,81efbd5d62ee6f91816c5d78c3fc81369e6ceb18a463afbfad731d7a77859994,a40a004e2ab5dce6a44fdf90c3057879d0e699dc1a63898f754e9a3872a661e6,e6fdfd5576fa233839fa11fc84121f89cdb90f55e368384efdba4e11677768bb,748ce1234bde31602f2a0ba74947cd97d83a23c80fd6387883e0596d3a2c0689,e34367fe1fcdb77642c2578e6cb3298a5edc1d6fd1fa9df4a4988ef8e1b96fb7,ed870fae62a51c99c3fee742563e2c9b4de865bafd9853e9eb186b2d69148e39,fa15255afea9cc6c6d948c95ec7a91ea813cb4a54db84914bda35ffefee37b1d,ef361871bdc1a2844eca6ab20e2bd0f96fafcc0019027269687f679fb1002a01,c1f67e38dd4d64ca5cde122088b977f30f5ec78c43603f22558c7e0311a7cfe5,038d17eee449c36c5e4431ef2cb22775079a339a0856b0173da3bb4f4fccc4cb,fd45d598786c841a4ae6f1e0723a224af6c1bc8f6ebb580b242fe72a5349222f
"94002","0","0","0","20000","0","0","0","0","0","0","5000","0","1","12","分數累積獲得 20000 分","0","0"
"94002","0","0","0","40000","0","0","0","0","0","0","10000","0","2","12","分數累積獲得 40000 分","0","0"
"94002","0","0","0","60000","0","0","0","0","0","0","15000","0","3","12","分數累積獲得 60000 分","0","0"
"94002","0","0","0","80000","0","0","0","0","0","0","20000","0","4","12","分數累積獲得 80000 分","0","0"
"91002","0","5","0","100000","0","0","2","0","0","0","50","23001","5","8","分數累積獲得 100000 分","0","0"
"94002","0","0","0","120000","0","0","0","0","0","0","25000","0","6","12","分數累積獲得 120000 分","0","0"
"94002","0","0","0","140000","0","0","0","0","0","0","30000","0","7","12","分數累積獲得 140000 分","0","0"
"94002","0","0","0","160000","0","0","0","0","0","0","35000","0","8","12","分數累積獲得 160000 分","0","0"
"94002","0","0","0","180000","0","0","0","0","0","0","40000","0","9","12","分數累積獲得 180000 分","0","0"
"91002","0","5","0","200000","0","0","2","0","0","0","50","23001","10","8","分數累積獲得 200000 分","0","0"
"94002","0","0","0","220000","0","0","0","0","0","0","55000","0","11","12","分數累積獲得 220000 分","0","0"
"94002","0","0","0","240000","0","0","0","0","0","0","35000","0","12","12","分數累積獲得 240000 分","0","0"
"94002","0","0","0","260000","0","0","0","0","0","0","40000","0","13","12","分數累積獲得 260000 分","0","0"
"94002","0","0","0","280000","0","0","0","0","0","0","45000","0","14","12","分數累積獲得 280000 分","0","0"
"11001021","0","150","0","300000","10","0","8","0","23001","0","1","91002","15","15","分數累積獲得 300000 分","0","2"
