6e4ab255babc850c1910898e5515cf2b21b1072a2db977d2b645766a944863e6,da17d9d4c59fb5cb726e216faedd8d78a32335b191ac6061785afafca3561b76,d5a6056d7f082cbda1a23a53f592431446e3c2c04eddb252f85d826320887ab5,5fc88d982df3e89f24ff53e4099727606867c2a642054975daa76d0e288a3895,0f876256510977144aafe3711916875d7c5e8860f773c35836b25223c800c517,9376f035d0fa1afa4bae5a74b68049d0c92bbbea8eaeda1897ce40c5887f7a2e,d6d9346c557529531a3e152e9a8e7f8558c641bddbc59bb381176b4dcf6dcd42,67d02401fdcab9d6ccdd02025b659e4a86c3e8627b75045f193239761ae66c28,8f62facd733e805ec7f34e44570d557d85465b8d0d7780673d9eed1319e918a1,37c4f558ca6fee189a6735f1a05019ce70f9d182420c93c38c7fbbe843972fe9
"5038600","0","1","","11","","0","1","20023105","1"
"0","0","2","高中部1年級　琪愛兒","12","理應繼承至次世代的新語言","0","0","20023105","1"
"0","0","3","高中部2年級　克蘿依","13","我超級不會寫作文","0","0","20023107","1"
"0","0","4","高中部3年級　優妮","14","直至飛翔為止","0","0","20023109","1"
"5038601","0","5","","21","","0","2","20023111","2"
"0","0","6","紀錄人　秋乃","22","靈光一閃了呢！","0","0","20023111","2"
"0","0","7","紀錄人　珠希","23","組合喵！","0","0","20023112","2"
"0","0","8","紀錄人　優花梨","24","我寫過這種東西嗎…？","0","0","20023113","2"
"0","0","9","紀錄人　美冬","25","不能放任繼續這樣下去了","0","0","20023114","2"
"0","0","10","總結","26","特別講座結束了","0","0","20023115","2"
"5038602","0","11","","31","","1","2","20023115","3"
"0","0","12","浪漫繼承計畫","32","開發記—考察","1","0","20023115","3"
"0","0","13","彌補不足計畫","33","開發記—試作機完成","2","0","20023115","3"
"0","0","14","畫龍點睛計畫","34","開發記—最終工程","3","0","20023115","3"
"5038603","2022/05/25 16:00:00","15","","35","","3","3","20023115","3"
