4b93b7e89b75b6865911b5adacb15cb460174614be38eb965087232a6e77ba0a,9de155cdfde4aaf334d1858d57a440fe2fb8a7a462c88e65167d60be3f22ea7b,61f66c8645784d7911923150032d37bc983864cf1f42476a70bd6d33e1acb020
"20114","180701","118301"
"20115","180701","118301"
"20116","180701","118401"
"20117","180701","118401"
"20118","180701","118401"
"20123","180801","120501"
"20124","180801","120401"
"20125","180801","120601"
"20126","180801","120401"
"20127","180801","120501"
"20128","180801","120601"
"30157","180801","120601"
"20129","180901","121801"
"20130","180901","121801"
"20131","180901","121701"
"20132","180901","121801"
"20133","180901","121701"
"20134","180901","121701"
"20135","180901","121701"
"20148","181001","124301"
"20149","181001","124301"
"20150","181001","124401"
"20151","181001","124401"
"20167","181101","128101"
"20168","181101","128101"
"20169","181101","128101"
"20170","181101","128101"
"20171","181101","128201"
"20172","181101","128201"
"20175","181101","128101"
