b0b0f5242438a21774f022f6c36375b90bc33b18d72a42d87da108a122f10f3f,b59b754771be5c9a6eb1b443332ec76d6f94728f102b116e812648342e04659a,67238ab88302f84a289afc4f7ccd499a7ccedb453a9826d5f48d870ac7501759,14e84bdfe10a6edda667b5eb3fd3557fc79b6fa56d52273bfa7a3486925f661b,891a61d05ca2b659a09690f5fbfcf66ac6a7f65fd5e2d21b30e561903a69dac9,5d4f43481fc82c2e8ad9be681ce3fb05510ef20d4f3cacf00a4ff49c9a8ad3e7,ab066b0b395aca486971cac6c572484af12b59d2944ef6ea85012023dc50bfcd,158c7c212cf47f9fd75e46126611946fdeaa313eff27179ea3dccd1372f9c6fb,e822454302e7ea648c4730e04e08461f2cedcd041884bdfc205c303575f512fe,695f6a4e68a35c24e1c289f1ac1aeea12affe13fae04ea75d3d6e76538c0a149,2b245088e3b42edd1aaac508139fb587bb696d6d6292ec480cd265d516b3b962,9e414c8d01ec812661c134c5e4789a2be34a7c3162cf5a6e6a552e54dcd0c56e
"1150001","0","2","0","15","vo_10011600_1501","0","1","0","0","0","vo_10011600"
"1150002","1","1","0","15","0","240","2","0.997402597402597","0","0","0"
"1150003","1","4","2.4974025974026","15","0","0","3","0","0","1","0"
"1150004","0","2","0","15","vo_10011600_1502","0","4","0","0","0","vo_10011600"
"1150005","2","1","0","15","0","118","5","0.748051948051948","0","0","0"
"1150006","2","4","0.848051948051948","15","0","0","6","0","0","1","0"
"1150007","0","2","0","15","vo_10011600_1503","0","7","0","0","0","vo_10011600"
"1150008","2","1","0","15","0","460","8","1.16363636363636","118","0","0"
"1150009","2","4","1.96363636363636","15","0","0","9","0","0","1","0"
"1150010","0","2","0","15","vo_10011600_1504","0","10","0","0","0","vo_10011600"
"1150011","3","1","0","15","0","500","11","2.07792207792208","0","0","0"
"1150012","3","4","3.47792207792208","15","0","0","12","0","0","1","0"
"1150013","0","2","0","15","vo_10011600_1505","0","13","0","0","0","vo_10011600"
"1150014","4","1","0","15","0","248","14","1.24675324675325","0","0","0"
"1150015","4","4","2.24675324675325","15","0","0","15","0","0","1","0"
"1150016","0","2","0","15","vo_10011600_1506","0","16","0","0","0","vo_10011600"
"1150017","4","1","0","15","0","770","17","1.95324675324675","248","0","0"
"1150018","4","4","1.95324675324675","15","0","0","18","0","0","1","0"
"1150019","0","2","0","15","vo_10011600_1507","0","19","0","0","0","vo_10011600"
"1150020","5","1","0","15","0","359","20","2.07792207792208","0","0","0"
"1150021","5","4","2.97792207792208","15","0","0","21","0","0","1","0"
"1150022","0","2","0","15","vo_10011600_1508","0","22","0","0","0","vo_10011600"
"1150023","5","1","0","15","0","770","23","1.12207792207792","359","0","0"
