59788ec5cc6da2d7742698ecfa8ab33815431408855762bc6650cacb69bf2b90,0bcc99c07c73b2397db99bcecf9ad66490ce1e6f19e58bf74d2bf60076de5e68,0779382d9fed23ced8d4516d903223acedcf2d71c06ab9219f70835fa3f52aa2,ecda7fa3dc6bee92ed5eca005eb24e51f339fef06c3d1fc11be4966a6358dd88,21255f6b629da18d7b2bf0935dd49a7f47ae7b9a6b7777764b6f6bf461bdd591,976bc8c14acbbd57b116715c0ec8bfef225ec4d38bd2a449bf3fac5588aaaaed
"#2B5BAA","1","1","1","#76C5FD","#3F75C7"
"#AA552B","2","3","2","#FEAC7B","#BA5E36"
"#64737E","4","6","3","#B3C0DF","#616593"
"#A37B10","7","10","4","#FFD200","#CC8200"
"#7b318a","11","17","5","#f374ff","#95289f"
"#a60134","18","20","6","#ff5c77","#CE0030"
"#2c824e","21","23","7","#2db075","#31635c"
"#b6401f","24","27","8","#ffae00","#cc2200"
"#0082E4","28","31","9","#6EB6C4","#027FE9"
"#ea6363","32","39","10","#ffb193","#f2523d"
"#8c941a","40","50","11","#c0d400","#606820"
