6d9e4e0cc2d4df47a6e4fda63757f3ae7fd1cd79344104e369d4ae209d0c772a,20d0e94cb87a9ab78b896f1f08cbd4cb83b1850e86d6aa7f1a09aeec6e80b786,adfca8b45739638dad6ef9881c6c8275b6f5c054af919cc3e905f6be45dfeea2,e4af8cbd9a081c6f83a9a5c4e6da445707663aae06f8ab740d0082b8334c21a8,9d399c0a7cae78e90c5c4c583f37e868c84c297a95437f817a56dc18b268e44b
"92407010","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","1","火屬性獎勵特大幅度提升"
"92407010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","2","提升物理防禦力（不可降低）"
"92407010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","3","提升魔法防禦力（不可降低）"
"92407010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","4","賦予TP上升的上限"
"92407010","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","5","降低HP吸收"
"92407020","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","6","火屬性獎勵特大幅度提升"
"92407020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","7","提升物理防禦力（不可降低）"
"92407020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","8","提升魔法防禦力（不可降低）"
"92407020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","9","賦予TP上升的上限"
"92407020","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","10","降低HP吸收"
"92407030","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","11","火屬性獎勵特大幅度提升"
"92407030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","12","提升物理防禦力（不可降低）"
"92407030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","13","提升魔法防禦力（不可降低）"
"92407030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","14","賦予TP上升的上限"
"92407030","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","15","降低HP吸收"
"92407110","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","16","火屬性獎勵特大幅度提升"
"92407110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","17","傷害值衰減"
"92407110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","18","提升物理防禦力（不可降低）"
"92407110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","19","提升魔法防禦力（不可降低）"
"92407110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","20","賦予TP上升的上限"
"92407110","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","21","降低HP吸收"
