6c180144a2bb0fb276616b369dacb8e612fd9b4d82bc2354e31ac7cf25e7c396,ef9462b66318da19f7e18496afdd638dbcc83e922f6c540ad2087323bb6a2c21,38f0d1202fd977774973d12f54f27dcbaf4d3ccad2773f9e4f0efbc38c99dd9a,67e8bc4b47d3995b2a5cfab24e225e929bf26ff23aa95c8358f6f58da9ca04a8,6d65ef8d0e2847a4a297e62cac2d97c2665862667b36e1db9324b8a2f4ad8c0d,4266011291a9bcb4b2d2bfcf6e7266fa5a7710eb9eadf0962f6853afdae70f9e,89b1a75d220c8a2ecc0c1566d46a8544ec7f0cfbf22293c4b5efca79bdaf7bd0,6793ea7b6e6d4809077aba9567b8b20713ac63f7e1a66617f1d19d8cf067bdaf,64eda3c086a491aad52227dc9c8c40cccc1d5ab47a1c0adaf44fb33889115439,263f2d5b2edf6e361a52e194cc3635e33215245ca0a9f0bc25d59d16f7e9657a,fe66d5b93a8eed30cffb75849ff9c5022c98e002693e6ab50ea14b70577533d9,d7bc55ff153aeea42925ecb04d17c9b885febd8f42a7467a32f43a8f321f9cc5,9a124796ffcbf0ddf3293e0a4c7b8ccdc044c055952463b2342e37cc2e5db34e,97f424932234e7a541cd187d9bcaab7fb15473893860dbf01af2c58697b3a391,520b1d6069a61b9b11dd3e2c00dee9ea3b9bedad2b3bef26517a8ab737529566,2d24070d731e5724e1bf753a21eafdad60c96560bafc24a1eb8f9d8a49ff2de5,a07645275814c889b6a4528665429282f744b7650a457a3d887b4888ed7723b1,60ad415449a9c83c6c61ceb1458c129844b468d2be0af54552b087938c990c2a,f759319ed0ec9f74cdcf120f531287a89ecc433a6feb1a14cbad1ab3bafe619a,ee6ca56de259870cc4f7b838b55314e7dec6b8a4c7666629a512ae48da8b1882
"把你變成布丁喲","1001","24067","1","1","1","這個的名稱是什麼？","1001","6","把你變成布丁喲","6","35722","6","6","19969","21938","「宮子」的口頭禪，同時也是其必殺技名稱的詞語。","6","變成布丁喲","25104"
"蘭德索爾盃","1008","32034","1","1","1","這個的名稱是什麼？","0","6","","6","34349","6","6","29246","30403","每半年舉行一次的障礙物賽跑。來猜猜四名跑者中哪一名角色會跑第一吧！","6","蘭德索爾盃","24503"
"斬擊暴風雨","1010","26292","1","1","1","這個的名稱是什麼？","0","6","","6","26028","6","6","39080","38632","「怜（★6）」的必殺技。","6","斬擊暴風雨","25802"
"歡樂軟綿綿突擊","1011","36575","1","1","1","這個的名稱是什麼？","0","6","歡樂軟綿綿突擊","6","27489","6","6","32191","32191","「莉瑪（★6）」的必殺技。","6","歡樂軟綿綿","27138"
"喵咪喵咪幻影大暴走","1012","22823","1","1","2","這個的名稱是什麼？","0","6","喵咪喵咪幻影大暴走","6","24187","6","6","26292","36208","「珠希（★6）」的必殺技。","6","幻影大暴走","24433"
"七七香‧∞‧閃亮","1013","39321","1","1","2","這個的名稱是什麼？","0","6","","6","19971","6","6","38275","20142","「七七香（★6）」的必殺技。","6","七七香閃亮","19971"
"認知與發展性的哲學","1014","30332","1","1","2","這個的名稱是什麼？","0","6","認知與發展性的哲學","6","35469","6","6","23637","24615","「優妮」的必殺技。","6","認知發展性","30693"
"心型Love颶風","1015","111","1","1","2","這個的名稱是什麼？","0","2","心型Love颶風","3","24515","6","3","118","101","「伊緒（★6）」的必殺技。","3","心Love","76"
"兔子先生旋風","1016","20808","1","1","2","這個的名稱是什麼？","0","6","","6","20820","6","6","29983","26059","「美美（★6）」的必殺技。","6","兔子先生旋","23376"
"忍法‧烈火之紅蓮旋風","1017","20043","1","1","2","這個的名稱是什麼？","0","6","忍法‧烈火之紅蓮旋風","6","28872","6","6","32005","34030","「妮諾（★6）」的必殺技。","6","烈火之紅蓮","28779"
