7037692ddf9113da95aec0603d57b94fac132b93c7f2005cc064222fa4f8f94f,66efa90db42a8df9ca330f79bdcc6e3be00dbfdf85373fb2219e39477184fca9,2bb0f2ec767d0507824ca2927b2faf6b2e3bb71ec0baaf9e921a58599c42f083,8e1b1684f673af872198d538eed161f7e14ca4484a3251f03dff6150024a1d70,f188693e330b45b843a54d929d3f94f2c1dccc711d3a4a756f08ff48476819ac,ea85bbe2fdbf22202ff21998da2310dbd6266774997bb00cdcc74075c80cd9ee
"特別講座發表報告","1","切嚕嚕衝擊","12","13","101"
"特別講座發表報告","1","克蘿依明察秋毫","13","14","102"
"特別講座發表報告","1","消失吧學姐架子","14","22","103"
"墨丘利財團活動日誌","2","秋乃的領導力","22","23","201"
"墨丘利財團活動日誌","2","燃燒吧鯛魚燒之魂","23","24","202"
"墨丘利財團活動日誌","2","麥酒沒有不可能","24","25","203"
"墨丘利財團活動日誌","2","美冬的1日說教課程","25","32","204"
"優妮的筆記本","3","起泡與生菓子的哲學","32","33","301"
"優妮的筆記本","3","不入虎穴","33","34","302"
"優妮的筆記本","3","動作測試與破滅的誘惑","34","0","303"
