a40f97fc687b6977b820dfe71056402ff567089588aee370d8469433e5ffcdd8,1c7f14d225b4cf27ccbb8fbcc4b54c284a3e797b34acdb47ae3b1344bc5b57e1,195e877ff1cff5603f3886a279efe63b2842d987a9b2cd118b5108237527918c,9bab04c12dde3e3000b5eed2349bab73046eb9684c3ac49cbcfe72260667fe96,f51423e2082d4ad42ab7f2768ce281db0bb4c1bbdd80e90a3a64e5f110a708e8,f36d244965d7561eaa480e916bf3074d29bc909e6c3b2d3177b2ded2071ff364,fcf403207ca7a454a50046ca8da0993c122f08fd398a01de0f02a7389556cf25,8161c4bbc46c3164632e078a6778017ea1a1fd827173e25aa1a18f9d75ea2996,3e3d862c0b8fab39f95a3aef4b7f3c96c4b2dbe806cb9443bac9c3d6240400a0,53895c2119b082fb05233d5de86bbcea60d75a238b961374768cf81a01852d07,806d7fdad68b739236083cd51f2bfe5e999081c84c26e0acf92c21bd194a9eca,21704069990ae05e6e884759ba59b80c650050a50b6cdb6f668e7676bf35e76b,f32e9630cbf5de8c9a95ffc07da43b585e0101ad66980a216ea7798102048a5d,f969889345f2b6d3a754e6ee62cd89c65a9d9bad835773fa5b1c721df947a3b0
"香織（夏日）","24015","1","2.3","110501","0","1","2019/12/02 16:00:00","2030/12/17 14:59:59","0","4","24","10021","啊啊～好可惜～\n難道你的魂被奄美魔物奪走了嗎～？"
"香織（夏日）","24016","1","2.3","110501","0","2","2019/12/02 16:00:00","2030/12/17 14:59:59","0","4","24","10021","今天的舞蹈也跳得很糟糕呢～\n吃點像苦瓜的東西恢復元氣吧～！"
"香織（夏日）","24017","1","2.3","110501","0","3","2019/12/02 16:00:00","2030/12/17 14:59:59","0","4","24","10021","到處都是奄美魔物，看得我眼花瞭亂～！\n腦袋也昏昏的～！"
"香織（夏日）","24018","1","2.3","110501","0","4","2019/12/02 16:00:00","2030/12/17 14:59:59","0","1","24","10021","船到橋頭自然直、船到橋頭自然直\n下次再努力就好了～！\n到海邊游泳，讓自己煥然一新吧～！"
"香織（夏日）","24019","1","2.3","110501","0","5","2019/12/02 16:00:00","2030/12/17 14:59:59","0","5","24","10021","丟臉的一面\n被你看見了～\n泳裝？　我指的不是泳裝喔～？"
"香織（夏日）","24020","3","2.3","110501","0","6","2019/12/02 16:00:00","2030/12/17 14:59:59","0","2","24","10021","狀態絕佳～！　就按照這個步調\n取回大海的和平吧～！\n歡樂的夏天正在等著我們～！"
"香織（夏日）","24021","3","2.3","110501","0","7","2019/12/02 16:00:00","2030/12/17 14:59:59","0","1","24","10021","不管有幾隻魔物來襲，\n我都不會嚇掉魂喔～！\n哈啾！　啊……不過可能會因為剛剛的噴嚏而掉魂～？"
"香織（夏日）","24022","3","2.3","110501","0","8","2019/12/02 16:00:00","2030/12/17 14:59:59","0","2","24","10021","咿――呀――呀――啊――♪\n戰鬥結束後跳個舞蹈，\n精神百倍呀～！"
"香織（夏日）","24023","3","2.3","110501","0","9","2019/12/02 16:00:00","2030/12/17 14:59:59","0","6","24","10021","咦～？　戰鬥途中\n泳衣不知道跑去哪了～？\n喂，你有看到嗎～？\n為什麼要離開呢～？"
"香織（夏日）","24024","3","2.3","110501","0","10","2019/12/02 16:00:00","2030/12/17 14:59:59","0","1","24","10021","我還很有精神喔～！\n不管是奄美魔物還是別的，\n儘管來～吧～♪"
"香織（夏日）","24025","3","2.3","110501","0","11","2019/12/02 16:00:00","2030/12/17 14:59:59","0","2","24","10021","我的空手道可是世界最強的～！\n只要夏日陽光和蔚藍大海常伴左右，\n我們就能所向無敵喔～！"
