b18e94a349b8aee894f1aba83a24b747020fe4891f1c1ca87ae418cba8aab085,c70c2c563ebbaa4658fa65083682d2d8b45aad5e1a65586257b1dcc7d32a9752,e611706ed7805db4f388df507ebbc969693511ab3fcccb7386a532984914c3c8,b7b6a7fd57f23262c130cf8aafa525c5354f06c499496e63520288fefc8a18c1,dcb7f63efb646823cf8a96c168fd78461fc574faaaa7f9b54c5bb6157915a891,4f73714263c3ca662368412d754e90d01b4f0968f866cf259039c612b1f23de6
"70001","2024/11/19 15:59:59","朱火深淵","1","92407","2024/11/15 16:00:00"
"70002","2024/12/09 15:59:59","轟流深淵","2","92408","2024/12/05 16:00:00"
"70003","2025/01/10 04:59:59","玄闇深淵","5","92409","2025/01/05 16:00:00"
"70004","2025/02/10 04:59:59","燦爛深淵","4","92410","2025/02/05 16:00:00"
"70005","2025/03/10 04:59:59","朱火深淵","1","92411","2025/03/05 16:00:00"
"70006","2025/04/10 04:59:59","烈風深淵","3","92412","2025/04/05 16:00:00"
"70007","2025/05/10 04:59:59","玄闇深淵","5","92413","2025/05/05 16:00:00"
"70008","2025/06/10 04:59:59","轟流深淵","2","92414","2025/06/05 16:00:00"
"70009","2025/07/10 04:59:59","烈風深淵","3","92415","2025/07/05 16:00:00"
"70010","2025/08/10 04:59:59","燦爛深淵","4","92416","2025/08/05 16:00:00"
"70011","2025/09/10 04:59:59","玄闇深淵","5","92417","2025/09/05 16:00:00"
"70012","2025/10/15 04:59:59","朱火深淵","1","92418","2025/10/10 16:00:00"
"70013","2025/11/10 04:59:59","烈風深淵","3","92419","2025/11/05 16:00:00"
"70014","2025/12/15 04:59:59","燦爛深淵","4","92420","2025/12/10 16:00:00"
"70015","2026/01/10 04:59:59","朱火深淵","1","92421","2026/01/05 16:00:00"
"70016","2026/02/10 04:59:59","轟流深淵","2","92422","2026/02/05 16:00:00"
