c70c2c563ebbaa4658fa65083682d2d8b45aad5e1a65586257b1dcc7d32a9752,b18e94a349b8aee894f1aba83a24b747020fe4891f1c1ca87ae418cba8aab085,b7b6a7fd57f23262c130cf8aafa525c5354f06c499496e63520288fefc8a18c1,e611706ed7805db4f388df507ebbc969693511ab3fcccb7386a532984914c3c8,dcb7f63efb646823cf8a96c168fd78461fc574faaaa7f9b54c5bb6157915a891,4f73714263c3ca662368412d754e90d01b4f0968f866cf259039c612b1f23de6
"2024/11/19 15:59:59","70001","1","朱火深淵","92407","2024/11/15 16:00:00"
"2024/12/09 15:59:59","70002","2","轟流深淵","92408","2024/12/05 16:00:00"
"2025/01/10 04:59:59","70003","5","玄闇深淵","92409","2025/01/05 16:00:00"
"2025/02/10 04:59:59","70004","4","燦爛深淵","92410","2025/02/05 16:00:00"
"2025/03/10 04:59:59","70005","1","朱火深淵","92411","2025/03/05 16:00:00"
"2025/04/10 04:59:59","70006","3","烈風深淵","92412","2025/04/05 16:00:00"
"2025/05/10 04:59:59","70007","5","玄闇深淵","92413","2025/05/05 16:00:00"
"2025/06/10 04:59:59","70008","2","轟流深淵","92414","2025/06/05 16:00:00"
"2025/07/10 04:59:59","70009","3","烈風深淵","92415","2025/07/05 16:00:00"
"2025/08/10 04:59:59","70010","4","燦爛深淵","92416","2025/08/05 16:00:00"
"2025/09/10 04:59:59","70011","5","玄闇深淵","92417","2025/09/05 16:00:00"
"2025/10/15 04:59:59","70012","1","朱火深淵","92418","2025/10/10 16:00:00"
"2025/11/10 04:59:59","70013","3","烈風深淵","92419","2025/11/05 16:00:00"
"2025/12/15 04:59:59","70014","4","燦爛深淵","92420","2025/12/10 16:00:00"
"2026/01/10 04:59:59","70015","1","朱火深淵","92421","2026/01/05 16:00:00"
"2026/02/10 04:59:59","70016","2","轟流深淵","92422","2026/02/05 16:00:00"
