ebafc07f7709a2662d70eb419a5a88ada99a078cc67926b595b38489faaaa698,0264948cdd62e901f2ace755c67ddcfd54215dbc70fb0ea75a77a7b7c56ec8da,91b7b106bb25cbe3a75b1ead362a5cec1e11a887a6cfcf445aa6da3a4e369728,c4f14f4cb8c6c725499c2596500fa7931b7abe52b1606cb950c16407916e3bce,9d2fd652579d62f6f2978f2395449dc24e2277f8e4e70d664320b0f47cf1d463,570a90d830265e51daf8773eb465d529d686ad945bfade51da39fac7dcf6c61b,7d5d80bc32e875293bdd5a733814c20c08915dd3ef812d42ae0d585ca81fa95b,560bd5294b28fa836855934a548f16e7be5348e0ce2aa773ead957b1fda23212,8fefd7b1001e815299ee0c8478649f0c0e6f0de78bea1b6aafde7cecb59536b8,2086caee8a51cd151eb6a30c97c0449a2b1ef5cde4d671e249ca12a0a6158485,20c86492af1555072c3e92cca099ec68dde75744a44254b724583612756aeb87,e4bc9d45959f9019d522505fb08e369dba92d3afe5243d66859bfc82a357b559,649e594bb88e396a2ef14e7002c9164b908d4d548ee39a486d6f7cacc4cc5c88
"1","","","","29","","","","","","","31001_01","3100101"
"30","","","","59","","","","","","","31001_03","3100101"
"60","","","","-1","","","","","","","31001_05","3100101"
"1","","","31001_01","29","","","","","","","31001_01","3100102"
"30","","","31001_03","59","","","","","","","31001_03","3100102"
"60","","","31001_05","-1","","","","","","","31001_05","3100102"
"1","","","31001_01","29","","31001_01","","","","","31001_01","3100103"
"30","","","31001_03","59","","31001_03","","","","","31001_03","3100103"
"60","","","31001_05","-1","","31001_05","","","","","31001_05","3100103"
"1","","","31001_01","29","","31001_01","31001_01","","","","31001_01","3100104"
"30","","","31001_03","59","","31001_03","31001_03","","","","31001_03","3100104"
"60","","","31001_05","-1","","31001_05","31001_05","","","","31001_05","3100104"
"1","","","61003_02","29","","","","","","","61003_01","3100201"
"30","","","61003_04","49","","","","","","","61003_03","3100201"
"50","","","61003_06","79","","","","","","","61003_05","3100201"
"80","","","61003_08","99","","","","","","","61003_07","3100201"
"100","","","61003_10","109","","","","","","","61003_09","3100201"
"110","","","61003_12","119","","","","","","","61003_11","3100201"
"120","","","61003_14","129","","","","","","","61003_13","3100201"
"130","","","61003_16","139","","","","","","","61003_15","3100201"
"140","","","61003_18","149","","","","","","","61003_17","3100201"
"150","","","61003_20","159","","","","","","","61003_19","3100201"
"160","","","61003_22","169","","","","","","","61003_21","3100201"
"170","","","61003_24","179","","","","","","","61003_23","3100201"
"180","","","61003_26","189","","","","","","","61003_25","3100201"
"190","","","61003_28","199","","","","","","","61003_27","3100201"
"200","","","61003_30","209","","","","","","","61003_29","3100201"
"210","","","61003_32","219","","","","","","","61003_31","3100201"
"220","","","61003_34","229","","","","","","","61003_33","3100201"
"230","","","61003_36","239","","","","","","","61003_35","3100201"
"240","","","61003_38","249","","","","","","","61003_37","3100201"
"250","","","61003_40","259","","","","","","","61003_39","3100201"
"260","","","61003_42","269","","","","","","","61003_41","3100201"
"270","","","61003_44","279","","","","","","","61003_43","3100201"
"280","","","61003_46","289","","","","","","","61003_45","3100201"
"290","","","61003_48","299","","","","","","","61003_47","3100201"
"300","","","61003_50","309","","","","","","","61003_49","3100201"
"310","","","61003_52","-1","","","","","","","61003_51","3100201"
