a7789fc6efea6c3e59851fa49ff8561f18e5a960a1d5143871ed76a1d25d3695,814cb3dc2a4e53969d8462afcdc024012043e2f92a9b816b40ccd82165600b3d,488f9e452af5cd84e564cb8d65bd698baee829f5fa6c6b97d1ffadedf83ce882,04f4fe809109cb5413b15edfedc1150cca62a0e87c6bcd9a55ba50c7a62c34aa,a8d60f260523cc4a21444df44194fa85e091b5c4217effac606fef19e024ca2c,3b3a4cf9b1398fd3c9c26003edf57940a7980166f86ab46ac32d00356c6355be,e1ee374dcdc9471e6072eac9867d08fe98a16da9da09c8b3499d99cb5ece53d8
"100721","0.8","300900","31001","-10","0.8","0"
"100722","0.7","302300","31002","-40","0.7","0"
"100261","0.8","302400","31003","-40","0.8","0"
"100283","0.9","302500","31004","-20","0.9","0"
"101611","0.9","301700","31005","-10","0.9","0"
"102174","0.7","310100","31006","-40","0.7","0"
"102751","0.3","399800","31007","-60","0.3","-80"
"103001","0.9","314901","31008","20","0.9","-20"
"103232","0.7","318405","31009","-110","0.7","30"
"103371","1","320100","31010","-10","1","0"
