e14861ef3be3353e871662cf2928f4904c73e095e78e64d73319288c248021a5,557f3d5a5a6adab65b9be54fafeb4fe62962e202db60214acfad8b15be68c8ca,b93fa691853778a7d1294f72e3ed394b82febe1d862d42457c46063f864b5624,a07380e1e12d8e0dee7697851258e05464439a8194fee9ea479ccd3ff7b3ceeb,1ca27ee8e7a65ce1577d7af3fb52454110deebdc553235e09376072d22f3c6b8,06eca624af6a7eaee87412771fa42caa43c7021397f571129d7ab4822065c43e,edf41453c9d00a0e8acf29904f737b4cf8a531700cc97201ba99b31d9c2bda5e,929e2f3c065b1578009ef4a3901b12384751ec8422324b112ccfc31cb38c63be,e19b93d4087b5e98d71d041854154a4233384e603bad182c18f04da102bdeb82,3332ab8a1ac0e14b951e39191dd36111ce55d520b3d925f402d5382206cc3789,1c6f2482c643d6f2fe55cde2dbc9d17909cec8bfdb1ad4e8a6dbdb70e44717f9
"0","10","1000","2021/12/24 15:59:59","1","10000101","進行1場戰鬥","7000","10000101","2021/12/17 16:00:00","0"
"0","10","1000","2021/12/24 15:59:59","5","10000102","進行5場戰鬥","7000","10000102","2021/12/17 16:00:00","0"
"0","10","1000","2021/12/24 15:59:59","10","10000103","進行10場戰鬥","7000","10000103","2021/12/17 16:00:00","0"
"0","10","1000","2021/12/24 15:59:59","15","10000104","進行15場戰鬥","7000","10000104","2021/12/17 16:00:00","0"
"0","10","1000","2021/12/24 15:59:59","20","10000105","進行20場戰鬥","7000","10000105","2021/12/17 16:00:00","0"
"0","10","1000","2021/12/24 15:59:59","25","10000106","進行25場戰鬥","7000","10000106","2021/12/17 16:00:00","0"
"0","10","1000","2021/12/24 15:59:59","30","10000107","進行30場戰鬥","7000","10000107","2021/12/17 16:00:00","0"
"0","10","1000","2021/12/24 15:59:59","35","10000108","進行35場戰鬥","7000","10000108","2021/12/17 16:00:00","0"
"0","10","1000","2021/12/24 15:59:59","40","10000109","進行40場戰鬥","7000","10000109","2021/12/17 16:00:00","0"
"0","50","1005","2021/12/24 15:59:59","3000000","10050501","對美空造成300萬累積傷害","7001","10050501","2021/12/17 16:00:00","1005"
"0","50","1005","2021/12/24 15:59:59","9000000","10050502","對美空造成900萬累積傷害","7001","10050502","2021/12/17 16:00:00","1005"
"0","50","1005","2021/12/24 15:59:59","15000000","10050503","對美空造成1500萬累積傷害","7001","10050503","2021/12/17 16:00:00","1005"
"1000000","51","1005","2021/12/24 15:59:59","1","10050511","在1場戰鬥中對美空造成100萬傷害","7002","10050511","2021/12/17 16:00:00","1005"
"3000000","51","1005","2021/12/24 15:59:59","1","10050512","在1場戰鬥中對美空造成300萬傷害","7002","10050512","2021/12/17 16:00:00","1005"
"0","60","1006","2021/12/24 15:59:59","5000000","10060601","對蘭法造成500萬累積傷害","7001","10060601","2021/12/17 16:00:00","1006"
"0","60","1006","2021/12/24 15:59:59","15000000","10060602","對蘭法造成1500萬累積傷害","7001","10060602","2021/12/17 16:00:00","1006"
"0","60","1006","2021/12/24 15:59:59","24000000","10060603","對蘭法造成2400萬累積傷害","7001","10060603","2021/12/17 16:00:00","1006"
"2000000","61","1006","2021/12/24 15:59:59","1","10060611","在1場戰鬥中對蘭法造成200萬傷害","7002","10060611","2021/12/17 16:00:00","1006"
"5000000","61","1006","2021/12/24 15:59:59","1","10060612","在1場戰鬥中對蘭法造成500萬傷害","7002","10060612","2021/12/17 16:00:00","1006"
"0","70","1007","2021/12/24 15:59:59","3000000","10070701","對阿澤爾德造成300萬累積傷害","7001","10070701","2021/12/17 16:00:00","1007"
"0","70","1007","2021/12/24 15:59:59","9000000","10070702","對阿澤爾德造成900萬累積傷害","7001","10070702","2021/12/17 16:00:00","1007"
"0","70","1007","2021/12/24 15:59:59","15000000","10070703","對阿澤爾德造成1500萬累積傷害","7001","10070703","2021/12/17 16:00:00","1007"
"1000000","71","1007","2021/12/24 15:59:59","1","10070711","在1場戰鬥中對阿澤爾德造成100萬傷害","7002","10070711","2021/12/17 16:00:00","1007"
"3000000","71","1007","2021/12/24 15:59:59","1","10070712","在1場戰鬥中對阿澤爾德造成300萬傷害","7002","10070712","2021/12/17 16:00:00","1007"
"0","80","1008","2021/12/24 15:59:59","5000000","10080801","對卡里莎造成500萬累積傷害","7001","10080801","2021/12/17 16:00:00","1008"
"0","80","1008","2021/12/24 15:59:59","15000000","10080802","對卡里莎造成1500萬累積傷害","7001","10080802","2021/12/17 16:00:00","1008"
"0","80","1008","2021/12/24 15:59:59","24000000","10080803","對卡里莎造成2400萬累積傷害","7001","10080803","2021/12/17 16:00:00","1008"
"2000000","81","1008","2021/12/24 15:59:59","1","10080811","在1場戰鬥中對卡里莎造成200萬傷害","7002","10080811","2021/12/17 16:00:00","1008"
"5000000","81","1008","2021/12/24 15:59:59","1","10080812","在1場戰鬥中對卡里莎造成500萬傷害","7002","10080812","2021/12/17 16:00:00","1008"
