80549074ce3b48b2f2f3057e722e9f3fa8091cdff72f495c314e976d5c302c7a,b7e7d41fd629d56914e802a2ad5d5cf35a56382a09d5b525310409bf96fe2b97,4f504cb08988a0e19691de25c80ae2d86e9100325755418b54d071a796648d92,2ceb341620f54be11d90c09ba8233167d7127d05dbd4e8ef979f8ebde26776f9,c21842ae592036261a37e3a00359fecb8b785d420e71bd7b1b698912c26e59d1,d641ca83bb034b6bf1b4c64f090e2f49ebee97c95cb444d8116500c702fecf80,13e970b2efd39cd9d458c00f6d34aa39547b381a0aabd65b3564fed27bdfeaae,c9d171fc71b97c7b0860616052b89d1b3c8deb3cb78891afcd0ef8ff551b2e2a,c3c25a9e54c5f98babbc09054afbf4ab5b5584ed3b72600e641f21ea6621847e,cf57dbfe575b0420cf4a70c99d81c6897cfab15a33af736ab5e5383a437dfaed,a6a33215d784221e086e868647379dcbd496b2592e233a0d5c87627388d5f223,55e462e5cf05cb3df7e8f63be95e57dded6778d488853e135504defe870fbdd5,729657a4d691430e1acde24393c3c78aa73678f3e425f3db8352caf128025e28,cccce67291dee63310e1f4643bb3edd637b0cfc286ebaff3bc8cc85af771b0b2,2f116de98071168c4edbf18acb3d3b0f4852142d669bf4e9d82386110b874fea,d26715a919efe03218c6862dd4209fe4068b018825abac4f69d17bac49df45b4,c4fcb17cc2b8db3aa15619a342c8f7f2e817579027e9130620e332e119e6c468,4fb9ed10e1ac8b7595f447de3a1188a520e83396e19ceb13710fddda6b7e9b1e,2da4aa6d120366777eb961daa0c2073a8365c9f282e2ef8a5230868edc1e767c,0a78f0d835610f3060761cf61f12c0d7197d151f1a7b9f5645e3dbdc039aa2a6,f2046bebc03aac95dae634bc5c14e0934e050861a03998e22e05ba37671e7e9f
"2201101","0","8","0","黑社會公會，前往背面世界","2201008","0","1","2030/12/17 14:59:59","15063001","0","2015/04/01 15:00:00","0","0","分支劇情Ⅰ","8","5","0","0","20","91002"
"2201102","0","8","0","鍛鍊吧！　幻變少女","2201008","0","1","2030/12/17 14:59:59","15063002","0","2015/04/01 15:00:00","0","0","分支劇情Ⅱ","8","5","0","0","20","91002"
"2201103","0","8","0","到奇怪的國家校外教學","2201008","0","1","2030/12/17 14:59:59","15063003","0","2015/04/01 15:00:00","0","0","分支劇情Ⅲ","8","5","0","0","20","91002"
"2202101","0","8","0","擠公主遊戲！","2202003","0","1","2030/12/17 14:59:59","15063005","0","2015/04/01 15:00:00","0","0","分支劇情Ⅳ","8","5","0","0","20","91002"
"2202102","0","8","0","布丁幽靈與甜點城堡","2202003","0","1","2030/12/17 14:59:59","15063006","0","2015/04/01 15:00:00","0","0","分支劇情Ⅴ","8","5","0","0","20","91002"
"2202103","0","8","0","女僕‧In‧龍","2202006","0","1","2030/12/17 14:59:59","15064001","0","2015/04/01 15:00:00","0","0","分支劇情Ⅵ","8","5","0","0","20","91002"
"2202104","0","8","0","看招！鯛魚燒","2202006","0","1","2030/12/17 14:59:59","15064002","0","2015/04/01 15:00:00","0","0","分支劇情Ⅶ","8","5","0","0","20","91002"
"2203101","0","8","0","機械人族與騎士先生","2203003","0","1","2030/12/17 14:59:59","15064004","0","2015/04/01 15:00:00","0","0","分支劇情Ⅷ","8","5","0","0","20","91002"
"2203102","0","8","0","FUN FUN野餐♪","2203003","0","1","2030/12/17 14:59:59","15064005","0","2015/04/01 15:00:00","0","0","分支劇情Ⅸ","8","5","0","0","20","91002"
"2203103","0","8","0","突發狀況！？妹妹大戰","2203006","0","1","2030/12/17 14:59:59","15065001","0","2015/04/01 15:00:00","0","0","分支劇情Ⅹ","8","5","0","0","20","91002"
"2203104","0","8","0","軟綿綿的戀愛之路是草莓口味的","2203006","0","1","2030/12/17 14:59:59","15065002","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅠ","8","5","0","0","20","91002"
"2204101","0","8","0","魔法少女與蘑菇之亂","2204001","0","1","2030/12/17 14:59:59","15065004","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅡ","8","5","0","0","20","91002"
"2204102","0","8","0","「背面」的金槍鮪漁獲","2204002","0","1","2030/12/17 14:59:59","15065005","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅢ","8","5","0","0","20","91002"
"2204103","0","8","0","閃耀的石頭與商人精神","2204005","0","1","2030/12/17 14:59:59","15066001","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅣ","8","5","0","0","20","91002"
"2204104","0","8","0","公主的沐浴時間","2204005","0","1","2030/12/17 14:59:59","15066002","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅤ","8","5","0","0","20","91002"
"2204105","0","8","0","瘋狂改造！防範魔物教學會","2204098","0","1","2030/12/17 14:59:59","15066004","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅥ","8","5","0","0","20","91002"
"2204106","0","8","0","在背面世界尋找樂譜","2204098","0","1","2030/12/17 14:59:59","15066005","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅦ","8","5","0","0","20","91002"
"2204107","0","8","0","龍族雙胞胎服侍下的約會","2204098","0","1","2030/12/17 14:59:59","15066006","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅧ","8","5","0","0","20","91002"
"2205101","0","8","0","吉歐‧提格尼亞的美容法","2205003","0","1","2030/12/17 14:59:59","15067001","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅨ","8","5","0","0","20","91002"
"2205102","0","8","0","被虐狂與臭小鬼","2205003","0","1","2030/12/17 14:59:59","15067002","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅩ","8","5","0","0","20","91002"
"2205103","0","8","0","在吉歐‧格黑納的媽媽對決","2205099","0","1","2030/12/17 14:59:59","15067004","0","2015/04/01 15:00:00","0","0","分支劇情ⅩⅩⅠ","8","5","0","0","20","91002"
