1ff48a66459aa549174a2f1b91641dbd24516986593d93a9bc09efa51aa64480,48e6d595a598364280b5982a956c83a3fec187b04c588110c960759611d5747c,38679c965d8114c59b5784f5d3e0cfa28536babb230126f52679f235dd3920e3,546b04a673218e895c8b00ebd48d2d0c7bee9219b9165e16c3cd943ba2a5f328,3a89dbf0ba5e7b2ea78f02d116786c13374e9fdb5f46f41cc2095737c7f47e8d,39d6e5af84c0677009420cbece4f5f661eebbd7aad9ded0a170f1aebaea7dd0f,13031561faad65ca31ea64ee82d9a41118536fb986d354099c3798e8a1ff38da,bd99778007874039c8d7ad64c4b2cf58f63c6cbb1ebc11c8effcf799c6b56d39,a6ce73bca48aad2b337a936294929933b8306583d531268f8934bd71f78ea936,7727979c54b0aa286ef9bf2f64bca30792d1495db0698b0f186d31b59d677ce4
"1","1","1","5038600","","0","","11","0","20023105"
"1","0","2","0","高中部1年級　琪愛兒","0","理應繼承至次世代的新語言","12","0","20023105"
"1","0","3","0","高中部2年級　克蘿依","0","我超級不會寫作文","13","0","20023107"
"1","0","4","0","高中部3年級　優妮","0","直至飛翔為止","14","0","20023109"
"2","2","5","5038601","","0","","21","0","20023111"
"2","0","6","0","紀錄人　秋乃","0","靈光一閃了呢！","22","0","20023111"
"2","0","7","0","紀錄人　珠希","0","組合喵！","23","0","20023112"
"2","0","8","0","紀錄人　優花梨","0","我寫過這種東西嗎…？","24","0","20023113"
"2","0","9","0","紀錄人　美冬","0","不能放任繼續這樣下去了","25","0","20023114"
"2","0","10","0","總結","0","特別講座結束了","26","0","20023115"
"3","2","11","5038602","","0","","31","1","20023115"
"3","0","12","0","浪漫繼承計畫","0","開發記—考察","32","1","20023115"
"3","0","13","0","彌補不足計畫","0","開發記—試作機完成","33","2","20023115"
"3","0","14","0","畫龍點睛計畫","0","開發記—最終工程","34","3","20023115"
"3","3","15","5038603","","2022/05/25 16:00:00","","35","3","20023115"
