6842d8b07d9836deca5680f4df0da28e5823f9b490eb561d814a0cb17afb3c24,d1c0e12f490b3f8d3d02f7eed140a3c49eb837e8bb29e07305fa6f2e42248ca5,8d65aae5dfc6e387c9e5dc056553b1418bebba9ecf7e08100d140f6c3ebd6bb3,1e613963aa2a57c1e31388a4157e50cf08667a94f03aaaf1dcc073968fb34336,608ac84b2fb0685f77d92683e30dd10b4d86308b2861531bccafdbb9b4a98b6d,1fe8344e4c3faed240f1800670f4552c29add8eb5c98bcc3f5b7b63a6c828e88
"2000101","0","20001201","20001115","20001","2000102"
"2000102","2000101","0","0","20001","2000103"
"2000103","2000102","0","0","20001","0"
"2000201","0","20002201","20002115","20002","2000202"
"2000202","2000201","0","0","20002","2000203"
"2000203","2000202","0","0","20002","0"
"2000301","0","20003201","20003115","20003","2000302"
"2000302","2000301","0","0","20003","2000303"
"2000303","2000302","0","0","20003","0"
"2000401","0","20004201","20004115","20004","2000402"
"2000402","2000401","0","0","20004","2000403"
"2000403","2000402","0","0","20004","0"
"2000501","0","20005201","20005115","20005","2000502"
"2000502","2000501","0","0","20005","2000503"
"2000503","2000502","0","0","20005","0"
"2000601","0","20006201","20006115","20006","2000602"
"2000602","2000601","0","0","20006","2000603"
"2000603","2000602","0","0","20006","0"
"2000701","0","20007201","20007115","20007","2000702"
"2000702","2000701","0","0","20007","2000703"
"2000703","2000702","0","0","20007","0"
"2000801","0","20008201","20008115","20008","2000802"
"2000802","2000801","0","0","20008","2000803"
"2000803","2000802","0","0","20008","0"
"2000901","0","20009201","20009115","20009","2000902"
"2000902","2000901","0","0","20009","2000903"
"2000903","2000902","0","0","20009","0"
"2001001","0","20010201","20010115","20010","2001002"
"2001002","2001001","0","0","20010","2001003"
"2001003","2001002","0","0","20010","0"
"2001101","0","20011201","20011115","20011","2001102"
"2001102","2001101","0","0","20011","2001103"
"2001103","2001102","0","0","20011","0"
"2001201","0","20012201","20012115","20012","2001202"
"2001202","2001201","0","0","20012","2001203"
"2001203","2001202","0","0","20012","0"
"2001301","0","20013201","20013115","20013","2001302"
"2001302","2001301","0","0","20013","2001303"
"2001303","2001302","0","0","20013","0"
"2001401","0","20014201","20014115","20014","2001402"
"2001402","2001401","0","0","20014","2001403"
"2001403","2001402","0","0","20014","0"
"2001501","0","20015201","20015115","20015","2001502"
"2001502","2001501","0","0","20015","2001503"
"2001503","2001502","0","0","20015","0"
"2001601","0","20016201","20016115","20016","2001602"
"2001602","2001601","0","0","20016","2001603"
"2001603","2001602","0","0","20016","0"
"2001701","0","20017201","20017115","20017","2001702"
"2001702","2001701","0","0","20017","2001703"
"2001703","2001702","0","0","20017","0"
"2001801","0","20018201","20018115","20018","2001802"
"2001802","2001801","0","0","20018","2001803"
"2001803","2001802","0","0","20018","0"
"2001901","0","20019201","20019115","20019","2001902"
"2001902","2001901","0","0","20019","2001903"
"2001903","2001902","0","0","20019","0"
"2002001","0","20020201","20020115","20020","2002002"
"2002002","2002001","0","0","20020","2002003"
"2002003","2002002","0","0","20020","0"
"2002101","0","20021201","20021115","20021","2002102"
"2002102","2002101","0","0","20021","2002103"
"2002103","2002102","0","0","20021","0"
"2002201","0","20022201","20022115","20022","2002202"
"2002202","2002201","0","0","20022","2002203"
"2002203","2002202","0","0","20022","0"
"2002301","0","20023201","20023115","20023","2002302"
"2002302","2002301","0","0","20023","2002303"
"2002303","2002302","0","0","20023","0"
"2002401","0","20024201","20024115","20024","2002402"
"2002402","2002401","0","0","20024","2002403"
"2002403","2002402","0","0","20024","0"
"2002501","0","20025201","20025115","20025","2002502"
"2002502","2002501","0","0","20025","2002503"
"2002503","2002502","0","0","20025","0"
"2002601","0","20026201","20026115","20026","2002602"
"2002602","2002601","0","0","20026","2002603"
"2002603","2002602","0","0","20026","0"
"2002701","0","20027201","20027115","20027","2002702"
"2002702","2002701","0","0","20027","2002703"
"2002703","2002702","0","0","20027","0"
"2002801","0","20028201","20028115","20028","2002802"
"2002802","2002801","0","0","20028","2002803"
"2002803","2002802","0","0","20028","0"
"2002901","0","20029201","20029115","20029","2002902"
"2002902","2002901","0","0","20029","2002903"
"2002903","2002902","0","0","20029","0"
"2003001","0","20030201","20030115","20030","2003002"
"2003002","2003001","0","0","20030","2003003"
"2003003","2003002","0","0","20030","0"
"2003101","0","20031201","20031115","20031","2003102"
"2003102","2003101","0","0","20031","2003103"
"2003103","2003102","0","0","20031","0"
"2003201","0","20032201","20032115","20032","2003202"
"2003202","2003201","0","0","20032","2003203"
"2003203","2003202","0","0","20032","0"
"2003301","0","20033201","20033115","20033","2003302"
"2003302","2003301","0","0","20033","2003303"
"2003303","2003302","0","0","20033","0"
"2003401","0","20034201","20034115","20034","2003402"
"2003402","2003401","0","0","20034","2003403"
"2003403","2003402","0","0","20034","0"
"2003501","0","20035201","20035115","20035","2003502"
"2003502","2003501","0","0","20035","2003503"
"2003503","2003502","0","0","20035","0"
"2003601","0","20036201","20036115","20036","2003602"
"2003602","2003601","0","0","20036","2003603"
"2003603","2003602","0","0","20036","0"
"2003701","0","20037201","20037115","20037","2003702"
"2003702","2003701","0","0","20037","2003703"
"2003703","2003702","0","0","20037","0"
"2003801","0","20038201","20038115","20038","2003802"
"2003802","2003801","0","0","20038","2003803"
"2003803","2003802","0","0","20038","0"
"2003901","0","20039201","20039115","20039","2003902"
"2003902","2003901","0","0","20039","2003903"
"2003903","2003902","0","0","20039","0"
"2004001","0","20040201","20040115","20040","2004002"
"2004002","2004001","0","0","20040","2004003"
"2004003","2004002","0","0","20040","0"
"2004101","0","20041201","20041115","20041","2004102"
"2004102","2004101","0","0","20041","2004103"
"2004103","2004102","0","0","20041","0"
"2004201","0","20042201","20042115","20042","2004202"
"2004202","2004201","0","0","20042","2004203"
"2004203","2004202","0","0","20042","0"
"2004301","0","20043201","20043115","20043","2004302"
"2004302","2004301","0","0","20043","2004303"
"2004303","2004302","0","0","20043","0"
"2004401","0","20044201","20044115","20044","2004402"
"2004402","2004401","0","0","20044","2004403"
"2004403","2004402","0","0","20044","0"
"2004501","0","20045201","20045115","20045","2004502"
"2004502","2004501","0","0","20045","2004503"
"2004503","2004502","0","0","20045","0"
"2004601","0","20046201","20046115","20046","2004602"
"2004602","2004601","0","0","20046","2004603"
"2004603","2004602","0","0","20046","0"
"2004701","0","20047201","20047115","20047","2004702"
"2004702","2004701","0","0","20047","2004703"
"2004703","2004702","0","0","20047","0"
"2004801","0","20048201","20048115","20048","2004802"
"2004802","2004801","0","0","20048","2004803"
"2004803","2004802","0","0","20048","0"
"2004901","0","20049201","20049115","20049","2004902"
"2004902","2004901","0","0","20049","2004903"
"2004903","2004902","0","0","20049","2004904"
"2005001","0","20050201","20050115","20050","2005002"
"2005002","2005001","0","0","20050","2005003"
"2005003","2005002","0","0","20050","0"
"2005101","0","20051201","20051115","20051","2005102"
"2005102","2005101","0","0","20051","2005103"
"2005103","2005102","0","0","20051","0"
"2005201","0","20052201","20052115","20052","2005202"
"2005202","2005201","0","0","20052","2005203"
"2005203","2005202","0","0","20052","0"
"2005301","0","20053201","20053115","20053","2005302"
"2005302","2005301","0","0","20053","2005303"
"2005303","2005302","0","0","20053","0"
