be83ae5f3014fb21663d815b09ebbe345646db22e080b24100f54eca84a14ddc,cff6fd3773f64ef86bac31551bab8dec15e90ed9ac59f28b5ff9014a91c6fa31,768f3fdd982072d403489c04916e1de91c7206bce281515cdfa78132e6b6ec41,532c92d93d125f34e3b2f6707055448ea7a82d6c94682b66ddb899ec323175dd,2005e0a6fc98eb76b323bc3cedf7c34ad8bbad716f477583eafe794276b137f8,eee72046e3e6d9d0d2413471c967d72585e1532420f7a2e36c8421fe66a565ae,895cd74c37c6a0e76e54fd08c0a29d731183e471747ab426d2bcbf4a07f8878c,5b71f81e8ce0e2b29531f57f4c324f2077ffbc8ff17775b541beebc0df070b66,bf64bd2cd210ebdf191afe6b083453ecc60a305b524318893face4bb16432d21,375938abd10206c1aaeba464d1040fa5294709e8cc8c7091bbc3210834d50b7a,713cc0ca8a8a7552f84203ed218065dab97f5556a24573d4f8b15e75d907ff9b,e560e57f5ee36da66250911e088705a6e81060447fa0006f436082950dbbae11,8178602ef0f47de00fc22de289aa408e833b29f610aacc9bd3832acbb31c9c5a,fbb740da1041e562d316fbc03a551ecf55acdd663344df2f8420e830a9a102fe,83870c0ab558804289da87b12f5f9fc7400f8b1ab0fd2eef2683bf492b594bd2,5edf90c00f484e4d359347f3bd1406aacf886532f8ece32c19d3e80c913923a6,a05bc5af9bcefd27b48c671ce68a79357dc2762223a92812c0d761578790a242,d6a36390cc8f1eb5416de02d35322102d9a9a864fb6117d530740bd7fece56ef
"500000000000","王都滅亡前倒數　～04/01 23:59","bgm_M220","1","2020/04/01 07:59:59","1","100584","480","4004101","bgm_M220","0","2020/04/01","1001001","1","0","1001","250000000001","機械莉瑪來襲！"
"250000000000","王都滅亡前倒數　～04/01 23:59","bgm_M220","2","2020/04/01 12:59:59","1","100584","300","4004102","bgm_M220","0","2020/04/01 08:00:00","1001002","2","0","1001","150000000001","機械莉瑪來襲！"
"150000000000","王都滅亡前倒數　～04/01 23:59","bgm_M220","3","2020/04/01 17:59:59","1","100584","300","4004103","bgm_M220","0","2020/04/01 13:00:00","1001003","3","0","1001","50000000001","機械莉瑪來襲！"
"50000000000","王都滅亡前倒數　～04/01 23:59","bgm_M220","1","2020/04/01 19:59:59","1","100584","120","4004104","bgm_M220","0","2020/04/01 18:00:00","1001001","4","0","1001","25000000001","機械莉瑪來襲！"
"25000000000","王都滅亡前倒數　～04/01 23:59","bgm_M220","2","2020/04/01 23:59:59","1","100584","240","0","bgm_M220","0","2020/04/01 20:00:00","1001002","5","0","1001","0","機械莉瑪來襲！"
"0","王都滅亡前倒數　～04/01 23:59","bgm_M220","1","2020/04/01 07:59:59","1","100584","480","4004109","bgm_M220","0","2020/04/01","1001004","8","0","1001","0","機械莉瑪來襲！"
"0","王都滅亡前倒數　～04/01 23:59","bgm_M220","2","2020/04/01 12:59:59","1","100584","300","0","bgm_M220","0","2020/04/01 08:00:00","1001005","9","0","1001","0","機械莉瑪來襲！"
"0","王都滅亡前倒數　～04/01 23:59","bgm_M220","3","2020/04/01 17:59:59","1","100584","300","0","bgm_M220","0","2020/04/01 13:00:00","1001006","10","0","1001","0","機械莉瑪來襲！"
"0","王都滅亡前倒數　～04/01 23:59","bgm_M220","1","2020/04/01 20:59:59","1","100584","180","0","bgm_M220","0","2020/04/01 18:00:00","1001004","11","0","1001","0","機械莉瑪來襲！"
"0","王都滅亡前倒數　～04/01 23:59","bgm_M220","2","2020/04/01 23:59:59","1","100584","180","0","bgm_M220","0","2020/04/01 21:00:00","1001005","12","0","1001","0","機械莉瑪來襲！"
"2500000000000","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","1","2023/04/01 07:59:59","1","100584","480","4004101","bgm_M220","0","2023/04/01","1002001","15","0","1002","1250000000001","巨影復活"
"1250000000000","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","2","2023/04/01 12:59:59","1","100584","300","4004102","bgm_M220","0","2023/04/01 08:00:00","1002002","16","0","1002","750000000001","巨影復活"
"750000000000","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","3","2023/04/01 17:59:59","1","100584","300","4004103","bgm_M220","0","2023/04/01 13:00:00","1002003","17","0","1002","250000000001","巨影復活"
"250000000000","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","1","2023/04/01 19:59:59","1","100584","120","4004104","bgm_M220","0","2023/04/01 18:00:00","1002001","18","0","1002","125000000001","巨影復活"
"125000000000","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","2","2023/04/01 23:59:59","1","100584","240","0","bgm_M220","0","2023/04/01 20:00:00","1002002","19","0","1002","0","巨影復活"
"0","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","1","2023/04/01 07:59:59","1","100584","480","4004109","bgm_M220","0","2023/04/01","1002004","22","0","1002","0","巨影復活"
"0","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","2","2023/04/01 12:59:59","1","100584","300","0","bgm_M220","0","2023/04/01 08:00:00","1002005","23","0","1002","0","巨影復活"
"0","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","3","2023/04/01 17:59:59","1","100584","300","0","bgm_M220","0","2023/04/01 13:00:00","1002006","24","0","1002","0","巨影復活"
"0","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","1","2023/04/01 20:59:59","1","100584","180","0","bgm_M220","0","2023/04/01 18:00:00","1002004","25","0","1002","0","巨影復活"
"0","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","2","2023/04/01 21:59:59","1","100584","60","0","bgm_M220","0","2023/04/01 21:00:00","1002005","26","0","1002","0","巨影復活"
"0","蘭德索爾之戰 巨影復活　～04/01 23：59","bgm_M220","3","2023/04/01 22:59:59","1","100584","60","0","bgm_M220","0","2023/04/01 22:00:00","1002006","27","0","1002","0","巨影復活"
